dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_AP,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.3433466666666667,0.2876633333333333,-0.05568333333333334,-52.7554667134515,0.00035911295358167134,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv11s,YOLO,v11,v11,small,small,small,"42,123,2026",3,preliminary,0.3433466666666667,0.32620333333333335,-0.017143333333333326,-25.455717568397326,0.0015396620681434716,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv12n,YOLO,v12,v12,nano,nano,nano,"42,123,2026",3,preliminary,0.3433466666666667,0.29375666666666667,-0.04959,-40.04884374644663,0.0006228939450956945,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv12s,YOLO,v12,v12,small,small,small,"42,123,2026",3,preliminary,0.3433466666666667,0.33218333333333333,-0.01116333333333334,-26.094871581797214,0.0014653260849686336,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv5su,YOLO,v5,v5,small,small,small,"42,123,2026",3,preliminary,0.3433466666666667,0.32787666666666665,-0.015470000000000003,-13.267204152483895,0.005633253971909074,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv8n,YOLO,v8,v8,nano,nano,nano,"42,123,2026",3,preliminary,0.3433466666666667,0.2924733333333333,-0.05087333333333335,-54.76868705224087,0.00033321015685528523,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv8s,YOLO,v8,v8,small,small,small,"42,123,2026",3,preliminary,0.3433466666666667,0.33286666666666664,-0.010480000000000008,-6.643253510811543,0.02191671427020606,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.5544333333333333,0.47503,-0.07940333333333333,-23.63898323058583,0.0017847547200239837,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv11s,YOLO,v11,v11,small,small,small,"42,123,2026",3,preliminary,0.5544333333333333,0.5283666666666667,-0.026066666666666682,-26.277142814566762,0.0014451120302520716,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv12n,YOLO,v12,v12,nano,nano,nano,"42,123,2026",3,preliminary,0.5544333333333333,0.48390333333333335,-0.07053,-28.379287588590476,0.0012393360492934894,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv12s,YOLO,v12,v12,small,small,small,"42,123,2026",3,preliminary,0.5544333333333333,0.53857,-0.015863333333333302,-52.287232973388214,0.0003655699440803484,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv9s,YOLO,v9,v9,small,small,small,YOLOv5su,YOLO,v5,v5,small,small,small,"42,123,2026",3,preliminary,0.5544333333333333,0.5330533333333334,-0.021379999999999993,-9.319200132937343,0.011319305181566477,0.0,0.25
