model,seed,imgsz,conf,iou,nms_type,weight,run_name,status
ours,42,640,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_input_ours_seed42_imgsz640_conf0p001_iou0p55_classaware,queued
ours,42,960,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_input_ours_seed42_imgsz960_conf0p001_iou0p55_classaware,queued
ours,42,1280,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_input_ours_seed42_imgsz1280_conf0p001_iou0p55_classaware,queued
ours,42,1536,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,final_input_ours_seed42_imgsz1536_conf0p001_iou0p55_classaware,queued
ours,123,640,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_input_ours_seed123_imgsz640_conf0p001_iou0p55_classaware,queued
ours,123,960,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_input_ours_seed123_imgsz960_conf0p001_iou0p55_classaware,queued
ours,123,1280,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_input_ours_seed123_imgsz1280_conf0p001_iou0p55_classaware,queued
ours,123,1536,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,final_input_ours_seed123_imgsz1536_conf0p001_iou0p55_classaware,queued
ours,2026,640,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,final_input_ours_seed2026_imgsz640_conf0p001_iou0p55_classaware,queued
ours,2026,960,0.001,0.55,classaware,outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,final_input_ours_seed2026_imgsz960_conf0p001_iou0p55_classaware,queued
