model,model_key,method_raw,seed,imgsz,conf,iou,nms_type,AP,AP50,AP75,precision,recall,F1,latency_ms,FPS,params_m,run_dir
Ours,ours,Ours,42,640,0.001,0.55,classaware,0.2879755150068915,0.48111437758801723,0.2897261326417063,0.5857054852204869,0.4869998470493602,0.5318114362586099,5.27399622267588,189.60954042788973,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_000950_final_input_ours_seed42_imgsz640_conf0p001_iou0p55_classaware
Ours,ours,Ours,42,768,0.001,0.55,classaware,0.32268938070205877,0.5302822502285963,0.3295212421930116,0.6188893301650334,0.526422364049534,0.5689231777100379,6.4595737477533355,154.80897642012428,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_033903_final_input_ours_seed42_imgsz768_conf0p001_iou0p55_classaware
Ours,ours,Ours,42,960,0.001,0.55,classaware,0.35559762132287887,0.5718680826570741,0.3694931018266544,0.650045168305606,0.5612509250602549,0.6023935089705179,7.145135340970826,139.955361554303,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001004_final_input_ours_seed42_imgsz960_conf0p001_iou0p55_classaware
Ours,ours,Ours,42,1152,0.001,0.55,classaware,0.3763815402103587,0.5998426733623192,0.39420860028207433,0.6629177165798318,0.5816567461958487,0.6196343787441263,9.177408785300914,108.96321863766815,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_033918_final_input_ours_seed42_imgsz1152_conf0p001_iou0p55_classaware
Ours,ours,Ours,42,1280,0.001,0.55,classaware,0.3857503473617873,0.6126240405195215,0.40468427007960256,0.6804723663665473,0.588533853142889,0.6311726728806403,11.913153146186259,83.94083310514048,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001020_final_input_ours_seed42_imgsz1280_conf0p001_iou0p55_classaware
Ours,ours,Ours,42,1408,0.001,0.55,classaware,0.3852673738995827,0.6139382162420572,0.4038597902268048,0.6543852579015044,0.6033186958044545,0.6278152488707196,12.392995342014045,80.69074282710778,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_033937_final_input_ours_seed42_imgsz1408_conf0p001_iou0p55_classaware
Ours,ours,Ours,42,1536,0.001,0.55,classaware,0.3881369836426518,0.6182345296624233,0.40826806141096084,0.6668439510665762,0.5996332896875602,0.6314552195951028,15.952850630792389,62.68472156755406,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001039_final_input_ours_seed42_imgsz1536_conf0p001_iou0p55_classaware
Ours,ours,Ours,42,1600,0.001,0.55,classaware,0.3878269382612515,0.6172609863895513,0.4110602420638985,0.6730440753270347,0.598796901384765,0.6337532980627132,17.085247697736932,58.53002647028977,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_033958_final_input_ours_seed42_imgsz1600_conf0p001_iou0p55_classaware
Ours,ours,Ours,123,640,0.001,0.55,classaware,0.28326630087772176,0.47224915515519805,0.28809855512101884,0.5755403608458856,0.4693295512405656,0.5170368026719167,5.139046705525069,194.58861872667637,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001100_final_input_ours_seed123_imgsz640_conf0p001_iou0p55_classaware
Ours,ours,Ours,123,768,0.001,0.55,classaware,0.32084462683032433,0.5249195210290123,0.3283117420636487,0.6244928716669503,0.5126312891536917,0.5630600367138173,5.5439962502433,180.37530237436843,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034021_final_input_ours_seed123_imgsz768_conf0p001_iou0p55_classaware
Ours,ours,Ours,123,960,0.001,0.55,classaware,0.35187898807262774,0.5698703019139241,0.3651857381086882,0.6482621815773879,0.5590533098204651,0.6003619117363683,7.757882563818763,128.90115205710939,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001115_final_input_ours_seed123_imgsz960_conf0p001_iou0p55_classaware
Ours,ours,Ours,123,1152,0.001,0.55,classaware,0.3746012960539897,0.5993301371459828,0.3896351570228388,0.6622344578166308,0.5866900480101372,0.6221775039848515,10.853954135392705,92.13232224182595,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034037_final_input_ours_seed123_imgsz1152_conf0p001_iou0p55_classaware
Ours,ours,Ours,123,1280,0.001,0.55,classaware,0.38521217226595467,0.6129434605422696,0.40541965020273085,0.6574278933405676,0.6011932388249679,0.6280542959123123,11.702487871040638,85.45191509872298,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001130_final_input_ours_seed123_imgsz1280_conf0p001_iou0p55_classaware
Ours,ours,Ours,123,1408,0.001,0.55,classaware,0.38585259648260484,0.6172501659861809,0.4058151718686349,0.6575964937624249,0.6109658953436895,0.6334241564098952,14.412755163617595,69.38298671195913,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034056_final_input_ours_seed123_imgsz1408_conf0p001_iou0p55_classaware
Ours,ours,Ours,123,1536,0.001,0.55,classaware,0.3884660324074515,0.6199387627004811,0.4074979153744242,0.6599578832682494,0.6079462199334106,0.632885246502548,15.44557095855393,64.7434790648635,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001150_final_input_ours_seed123_imgsz1536_conf0p001_iou0p55_classaware
Ours,ours,Ours,123,1600,0.001,0.55,classaware,0.3881232389633361,0.6214016410715137,0.4082307629098187,0.6637948427506882,0.610103356021111,0.6358176213172393,17.086414621130015,58.52602913915855,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034116_final_input_ours_seed123_imgsz1600_conf0p001_iou0p55_classaware
Ours,ours,Ours,2026,640,0.001,0.55,classaware,0.2865148849000317,0.478732752430858,0.29109486401244283,0.5991320945472094,0.47139133454976384,0.5276403485320093,4.100247000320305,243.88774625574544,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001212_final_input_ours_seed2026_imgsz640_conf0p001_iou0p55_classaware
Ours,ours,Ours,2026,768,0.001,0.55,classaware,0.32325982990826285,0.5320892155930779,0.33109556732621787,0.6440271551229128,0.5111372155649333,0.5699383657785707,5.060456253853321,197.61064019445732,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034139_final_input_ours_seed2026_imgsz768_conf0p001_iou0p55_classaware
Ours,ours,Ours,2026,960,0.001,0.55,classaware,0.3591104964871302,0.5798096977000775,0.37187521090544695,0.6493403553551785,0.5629400339975874,0.603061280096778,7.350773263355568,136.0401095467211,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001226_final_input_ours_seed2026_imgsz960_conf0p001_iou0p55_classaware
Ours,ours,Ours,2026,1152,0.001,0.55,classaware,0.37833281714567346,0.6040289712348725,0.39469320630725324,0.6511562327441479,0.5958273363234816,0.6222643077429947,7.789007658274831,128.38605941510752,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034155_final_input_ours_seed2026_imgsz1152_conf0p001_iou0p55_classaware
Ours,ours,Ours,2026,1280,0.001,0.55,classaware,0.38636339114955914,0.6143639568463055,0.400832874578447,0.6722843032471337,0.5928506300158289,0.6300737767186022,11.625335574316637,86.01902229895693,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001242_final_input_ours_seed2026_imgsz1280_conf0p001_iou0p55_classaware
Ours,ours,Ours,2026,1408,0.001,0.55,classaware,0.38772379264101964,0.617865829698739,0.4052726654004924,0.6715452768784756,0.5983851925676219,0.6328578760663556,14.078886650101602,71.0283437073331,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034214_final_input_ours_seed2026_imgsz1408_conf0p001_iou0p55_classaware
Ours,ours,Ours,2026,1536,0.001,0.55,classaware,0.3902240475091028,0.6217990044715611,0.4058322516098645,0.6722556936235605,0.6014624157005413,0.6348917087625153,15.448117486785852,64.73280649602704,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001300_final_input_ours_seed2026_imgsz1536_conf0p001_iou0p55_classaware
Ours,ours,Ours,2026,1600,0.001,0.55,classaware,0.39092131231656163,0.6227222024774081,0.4105605145628079,0.6642708942523601,0.6111551818446445,0.6366070237692534,16.883088623336686,59.23086837427056,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034235_final_input_ours_seed2026_imgsz1600_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,640,0.001,0.55,classaware,0.260089406764644,0.4389127573166348,0.26020376153519764,0.5925926672721027,0.43487023269380193,0.5016257251095132,4.55103599743401,219.7301890303275,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001322_final_input_yolov9c_seed42_imgsz640_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,768,0.001,0.55,classaware,0.30048196260649995,0.4946168177259418,0.30582885246303937,0.6077155682834889,0.48835368694995507,0.541535376475677,3.9512629656420244,253.0836364715387,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034258_final_input_yolov9c_seed42_imgsz768_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,960,0.001,0.55,classaware,0.3372768678256055,0.5459338837877857,0.3466886848095084,0.6448665083495096,0.535739199477494,0.5852593540122659,4.765513001679422,209.84099710725548,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001335_final_input_yolov9c_seed42_imgsz960_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,1152,0.001,0.55,classaware,0.3672685699329395,0.5897343613883452,0.3789568133049438,0.6678106205381595,0.5725157451505429,0.6165024071298485,7.69594537236993,129.93855226548402,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034313_final_input_yolov9c_seed42_imgsz1152_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,1280,0.001,0.55,classaware,0.3753760581954746,0.5984439440376602,0.38983346292259824,0.6623338101199253,0.5925459956368824,0.625499342902868,7.571790724683445,132.0691546241602,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001350_final_input_yolov9c_seed42_imgsz1280_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,1408,0.001,0.55,classaware,0.3817462403418261,0.6046855488281313,0.4005441439416787,0.6743149416860388,0.5908062567136272,0.629804459916639,8.882038878195369,112.58676230914872,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034330_final_input_yolov9c_seed42_imgsz1408_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,1536,0.001,0.55,classaware,0.38717323094802075,0.6139112463770174,0.4058417236781061,0.6674452736767041,0.6046310329732718,0.6344872916296155,10.470378671069186,95.50752951878528,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001407_final_input_yolov9c_seed42_imgsz1536_conf0p001_iou0p55_classaware
