model,seed,imgsz,conf,iou,nms_type,run_name,status,started_at,finished_at
ours,42,640,0.001,0.55,classaware,final_input_ours_seed42_imgsz640_conf0p001_iou0p55_classaware,running,2026-06-27T00:09:46+09:00,
ours,42,640,0.001,0.55,classaware,final_input_ours_seed42_imgsz640_conf0p001_iou0p55_classaware,complete,2026-06-27T00:09:46+09:00,2026-06-27T00:10:00+09:00
ours,42,960,0.001,0.55,classaware,final_input_ours_seed42_imgsz960_conf0p001_iou0p55_classaware,running,2026-06-27T00:10:00+09:00,
ours,42,960,0.001,0.55,classaware,final_input_ours_seed42_imgsz960_conf0p001_iou0p55_classaware,complete,2026-06-27T00:10:00+09:00,2026-06-27T00:10:16+09:00
ours,42,1280,0.001,0.55,classaware,final_input_ours_seed42_imgsz1280_conf0p001_iou0p55_classaware,running,2026-06-27T00:10:16+09:00,
ours,42,1280,0.001,0.55,classaware,final_input_ours_seed42_imgsz1280_conf0p001_iou0p55_classaware,complete,2026-06-27T00:10:16+09:00,2026-06-27T00:10:35+09:00
ours,42,1536,0.001,0.55,classaware,final_input_ours_seed42_imgsz1536_conf0p001_iou0p55_classaware,running,2026-06-27T00:10:35+09:00,
ours,42,1536,0.001,0.55,classaware,final_input_ours_seed42_imgsz1536_conf0p001_iou0p55_classaware,complete,2026-06-27T00:10:35+09:00,2026-06-27T00:10:56+09:00
ours,123,640,0.001,0.55,classaware,final_input_ours_seed123_imgsz640_conf0p001_iou0p55_classaware,running,2026-06-27T00:10:56+09:00,
ours,123,640,0.001,0.55,classaware,final_input_ours_seed123_imgsz640_conf0p001_iou0p55_classaware,complete,2026-06-27T00:10:56+09:00,2026-06-27T00:11:11+09:00
ours,123,960,0.001,0.55,classaware,final_input_ours_seed123_imgsz960_conf0p001_iou0p55_classaware,running,2026-06-27T00:11:11+09:00,
ours,123,960,0.001,0.55,classaware,final_input_ours_seed123_imgsz960_conf0p001_iou0p55_classaware,complete,2026-06-27T00:11:11+09:00,2026-06-27T00:11:27+09:00
ours,123,1280,0.001,0.55,classaware,final_input_ours_seed123_imgsz1280_conf0p001_iou0p55_classaware,running,2026-06-27T00:11:27+09:00,
ours,123,1280,0.001,0.55,classaware,final_input_ours_seed123_imgsz1280_conf0p001_iou0p55_classaware,complete,2026-06-27T00:11:27+09:00,2026-06-27T00:11:45+09:00
ours,123,1536,0.001,0.55,classaware,final_input_ours_seed123_imgsz1536_conf0p001_iou0p55_classaware,running,2026-06-27T00:11:45+09:00,
ours,123,1536,0.001,0.55,classaware,final_input_ours_seed123_imgsz1536_conf0p001_iou0p55_classaware,complete,2026-06-27T00:11:45+09:00,2026-06-27T00:12:08+09:00
ours,2026,640,0.001,0.55,classaware,final_input_ours_seed2026_imgsz640_conf0p001_iou0p55_classaware,running,2026-06-27T00:12:08+09:00,
ours,2026,640,0.001,0.55,classaware,final_input_ours_seed2026_imgsz640_conf0p001_iou0p55_classaware,complete,2026-06-27T00:12:08+09:00,2026-06-27T00:12:22+09:00
ours,2026,960,0.001,0.55,classaware,final_input_ours_seed2026_imgsz960_conf0p001_iou0p55_classaware,running,2026-06-27T00:12:22+09:00,
ours,2026,960,0.001,0.55,classaware,final_input_ours_seed2026_imgsz960_conf0p001_iou0p55_classaware,complete,2026-06-27T00:12:22+09:00,2026-06-27T00:12:38+09:00
ours,2026,1280,0.001,0.55,classaware,final_input_ours_seed2026_imgsz1280_conf0p001_iou0p55_classaware,running,2026-06-27T00:12:38+09:00,
ours,2026,1280,0.001,0.55,classaware,final_input_ours_seed2026_imgsz1280_conf0p001_iou0p55_classaware,complete,2026-06-27T00:12:38+09:00,2026-06-27T00:12:56+09:00
ours,2026,1536,0.001,0.55,classaware,final_input_ours_seed2026_imgsz1536_conf0p001_iou0p55_classaware,running,2026-06-27T00:12:56+09:00,
