model,model_key,imgsz,conf,iou,nms_type,seeds,n,params_m,AP_mean,AP_std,AP50_mean,AP50_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,latency_ms_mean,latency_ms_std,FPS_mean,FPS_std
Ours,ours,640,0.001,0.55,classaware,42 123 2026,3,20.82,0.2859189002615483,0.002410512952791192,0.47736542839135776,0.004588052252054953,0.5867926468711939,0.011833381389088274,0.47590691094656323,0.009661918087992421,0.5254961958208453,0.0076171183883313245,4.837763309507085,0.6422620748434211,209.36196847010385,30.00366317558556
Ours,ours,768,0.001,0.55,classaware,42 123 2026,3,20.82,0.3222646124802153,0.001262387622181461,0.5290969956168955,0.003728907535246272,0.6291364523182988,0.01319657879347631,0.5167302895893864,0.008426760615915317,0.5673071934008086,0.0037130050695513605,5.688008750616652,0.7105892911042939,177.59830632965,21.535537739676936
Ours,ours,960,0.001,0.55,classaware,42 123 2026,3,20.82,0.35552903529421226,0.0036162420438559215,0.5738493607570252,0.0052575654375823615,0.6492159017460575,0.0008979849352121108,0.5610814229594357,0.0019488982602725482,0.6019389002678881,0.0014059335655269183,7.417930389381719,0.3118450728471337,134.96554105271116,5.60490053330124
Ours,ours,1152,0.001,0.55,classaware,42 123 2026,3,20.82,0.37643855113667396,0.0018664136997755168,0.6010672605810582,0.0025776871107549386,0.6587694690468702,0.00660210086905591,0.5880580435098225,0.007183659576198684,0.6213587301573241,0.0014939627071165584,9.27345685965615,1.534729015604979,109.82720009820054,18.1423045044022
Ours,ours,1280,0.001,0.55,classaware,42 123 2026,3,20.82,0.3857753035924337,0.0005760150515203066,0.6133104859693655,0.0009262062157822374,0.6700615209847496,0.011681930705185401,0.5941925739945619,0.0064354970043850905,0.6297669151705183,0.0015816737136397352,11.746992197181179,0.1489805858263047,85.13725683427346,1.0742322602043024
Ours,ours,1408,0.001,0.55,classaware,42 123 2026,3,20.82,0.3862812543410691,0.0012830857056479105,0.616351403975659,0.0021124314734317206,0.6611756761808016,0.009122744812309312,0.6042232612385886,0.006338943094350306,0.6313657604489902,0.003087841917495894,13.628212385244414,1.082676269248766,73.70069108213333,6.109207596621818
Ours,ours,1536,0.001,0.55,classaware,42 123 2026,3,20.82,0.38894235451973536,0.0011221055929141633,0.6199907656114885,0.001782806325238223,0.6663525093194621,0.0061636167245298495,0.6030139751071707,0.004368261068470902,0.6330773916200554,0.0017262833658100375,15.61551302537739,0.2921457105997843,64.05366904281486,1.1855552996164258
Ours,ours,1600,0.001,0.55,classaware,42 123 2026,3,20.82,0.3889571631803831,0.0017074425022170418,0.6204616099794911,0.0028493796044127668,0.6670366041100276,0.005208064810986604,0.6066851464168401,0.006851634232451868,0.6353926477164019,0.0014735635456601677,17.018250314067878,0.1170549119368214,58.76230799457296,0.40579011413637295
YOLOv9c,yolov9c,640,0.001,0.55,classaware,42 123 2026,3,25.326958,0.26063458201918127,0.003018127214668367,0.4387802500991226,0.004300775012761195,0.581947952678455,0.009257319654014258,0.4379808610891939,0.0035442186977678153,0.4997606256817946,0.001992540923663162,3.6611999685302776,0.7923265022675123,281.2040895658534,56.15517649659381
YOLOv9c,yolov9c,768,0.001,0.55,classaware,42 123 2026,3,25.326958,0.30189405131697333,0.002120799712982086,0.4969714233097229,0.002845047006335413,0.6201479823924219,0.010814516977400613,0.4898404533688667,0.0032906002935816623,0.5473203256958072,0.005233405064177625,4.787857116000623,0.929697901947253,214.03872607747596,40.21445010834751
YOLOv9c,yolov9c,960,0.001,0.55,classaware,42 123 2026,3,25.326958,0.33909668528555276,0.0015783459105243114,0.5500524083048688,0.003908515579511496,0.6457980772246814,0.00581489457519579,0.5399084766192627,0.00791215692666389,0.5880753917844532,0.0030127453071022766,5.779690591424677,0.900255773200469,176.094494034087,29.650686261877706
YOLOv9c,yolov9c,1152,0.001,0.55,classaware,42 123 2026,3,25.326958,0.3668900626479893,0.00032795658161469067,0.5892046696175363,0.0010663939685849996,0.6672062214401039,0.001263892038261041,0.574461406419976,0.003183473871918205,0.617364450451312,0.0012990156219626543,6.770467238360222,1.0158178648602596,150.0482045871653,23.542207953177527
YOLOv9c,yolov9c,1280,0.001,0.55,classaware,42 123 2026,3,25.326958,0.3763695189482691,0.0008766576688638376,0.6006277213656468,0.002618098531548579,0.664306062334501,0.0030229607178668167,0.5892277673124238,0.0029136481998221653,0.6245119308471164,0.001613642945592991,7.646310559123836,0.14186281515082833,130.8117319310047,2.401553579111014
YOLOv9c,yolov9c,1408,0.001,0.55,classaware,42 123 2026,3,25.326958,0.3816452796969493,0.0002813582378031181,0.6060338362336933,0.0012124445797599497,0.6689166954734831,0.005719479803135952,0.5936822300135051,0.0026652415328792395,0.6290437370568115,0.002102234565658457,8.523518954904482,0.44276727730468507,117.53867113668903,6.245274128967579
YOLOv9c,yolov9c,1536,0.001,0.55,classaware,42 123 2026,3,25.326958,0.38705139971727354,0.0012353595666831098,0.6148806198604163,0.0027926475986219204,0.6631677308973338,0.0039620459437032275,0.6034623235140493,0.002598433536972238,0.6319058953737307,0.002965668918953339,10.710388732169937,0.20817310961163238,93.39107688820006,1.835525373940576
YOLOv9c,yolov9c,1600,0.001,0.55,classaware,42 123 2026,3,25.326958,0.38808632232429785,0.0020911623816531853,0.6163580819905429,0.002717833178991755,0.6690220522194431,0.0036185838878349153,0.6012485775074125,0.0055609741971643836,0.6333184143608744,0.0038812245273230923,11.396842809289767,0.4233238104415293,87.8228138965541,3.1991008246930037
