model,model_key,method_raw,seed,conf,iou,nms_type,AP,AP50,AP75,precision,recall,F1,latency_ms,FPS,params_m,run_dir
Ours,ours,Ours: P2P4-SelfAttnFR,42,0.001,0.45,classaware,0.3853570490240667,0.6130906478959942,0.40486812749256956,0.678970161115688,0.5904277902352867,0.6316109954905584,10.286078675748632,97.21877807115051,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235223_final_nms_ours_seed42_conf0p001_iou0p45_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,42,0.001,0.55,classaware,0.3857503473617873,0.6126240405195215,0.40468427007960256,0.6804723663665473,0.588533853142889,0.6311726728806403,10.810548475311293,92.5022446625868,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235243_final_nms_ours_seed42_conf0p001_iou0p55_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,42,0.001,0.65,classaware,0.38553176026238495,0.609141714121844,0.40627781698968973,0.6802998772542872,0.5882382248355383,0.6309284545614063,10.036614526362314,99.63519046919515,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235301_final_nms_ours_seed42_conf0p001_iou0p65_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,42,0.001,0.75,classaware,0.38340033403042256,0.6007923270083049,0.40738435816272045,0.6798616229709579,0.5837978169881642,0.6281783189263634,10.883310678870465,91.88380535175405,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235320_final_nms_ours_seed42_conf0p001_iou0p75_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,123,0.001,0.45,classaware,0.3851259820568421,0.6147541043969464,0.4055748957919927,0.6573724988361761,0.6024674826298483,0.6287235845032666,11.519150938889704,86.81195387621051,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235338_final_nms_ours_seed123_conf0p001_iou0p45_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,123,0.001,0.55,classaware,0.38521217226595467,0.6129434605422696,0.40541965020273085,0.6574278933405676,0.6011932388249679,0.6280542959123123,11.790581036488234,84.81346228021388,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235356_final_nms_ours_seed123_conf0p001_iou0p55_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,123,0.001,0.65,classaware,0.38499158723230814,0.6095176080951143,0.40728813841114775,0.6663360841921941,0.5933776924374503,0.6277441357887364,10.850119760538703,92.1648813165128,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235415_final_nms_ours_seed123_conf0p001_iou0p65_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,123,0.001,0.75,classaware,0.38280747084532135,0.601429595467703,0.40807734072656787,0.6714427062803511,0.5823489966724863,0.6237303778682443,10.579007099056277,94.52682946863767,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235434_final_nms_ours_seed123_conf0p001_iou0p75_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,2026,0.001,0.45,classaware,0.38603196092221914,0.6150667379630808,0.4004073978554027,0.6711219343114287,0.5934217750462807,0.6298847032086632,11.927202420842827,83.84195762893205,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235452_final_nms_ours_seed2026_conf0p001_iou0p45_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,2026,0.001,0.55,classaware,0.38636339114955914,0.6143639568463055,0.400832874578447,0.6722843032471337,0.5928506300158289,0.6300737767186022,11.905072448540642,83.9978088602546,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235511_final_nms_ours_seed2026_conf0p001_iou0p55_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,2026,0.001,0.65,classaware,0.38614797799590694,0.6108523021527729,0.4021140154792941,0.6710465647409407,0.5920886236697582,0.6290997837463421,11.746858821053356,85.12914092469944,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235529_final_nms_ours_seed2026_conf0p001_iou0p65_classaware
Ours,ours,Ours: P2P4-SelfAttnFR,2026,0.001,0.75,classaware,0.38419436533583445,0.6026297723856622,0.40325749933953736,0.6731004418731933,0.5855212224405542,0.6262638006723917,11.754536093297638,85.07354029651529,20.82,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235547_final_nms_ours_seed2026_conf0p001_iou0p75_classaware
YOLOv9c,yolov9c,YOLOv9c,42,0.001,0.45,classaware,0.3744445521256173,0.597908952722513,0.38904094025517066,0.6615134225623146,0.5928136913551105,0.6252822083792331,8.678954159229123,115.22125611605044,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235606_final_nms_yolov9c_seed42_conf0p001_iou0p45_classaware
YOLOv9c,yolov9c,YOLOv9c,42,0.001,0.55,classaware,0.3753760581954746,0.5984439440376602,0.38983346292259824,0.6623338101199253,0.5925459956368824,0.625499342902868,7.699010302278682,129.88682450574578,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235623_final_nms_yolov9c_seed42_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,0.001,0.65,classaware,0.37542936142153943,0.5958313086551439,0.39126354626071247,0.6603819477654798,0.5895340437074053,0.6229500905877503,7.5593631146101785,132.2862766133398,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235640_final_nms_yolov9c_seed42_conf0p001_iou0p65_classaware
YOLOv9c,yolov9c,YOLOv9c,42,0.001,0.75,classaware,0.3741919818649131,0.5890610226732451,0.3924554283085855,0.6568385628354054,0.5842660019072854,0.618430472191412,7.28391202584752,137.2888629697096,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235656_final_nms_yolov9c_seed42_conf0p001_iou0p75_classaware
YOLOv9c,yolov9c,YOLOv9c,123,0.001,0.45,classaware,0.3758710477339718,0.600006110334067,0.39352790863204357,0.6586911987526041,0.5907133227994067,0.6228529831643924,8.523326403678931,117.3250856107504,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235712_final_nms_yolov9c_seed123_conf0p001_iou0p45_classaware
YOLOv9c,yolov9c,YOLOv9c,123,0.001,0.55,classaware,0.3766980070354805,0.5999091467305849,0.3950967331203364,0.6627980037246233,0.5870876475136397,0.6226497926397084,6.783733938915831,147.4114416933956,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235729_final_nms_yolov9c_seed123_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,0.001,0.65,classaware,0.3768888005882031,0.5974979975096085,0.3964368705743826,0.6638032120964962,0.5844488953458862,0.6216036836208679,7.7791776712881875,128.5482916389549,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235746_final_nms_yolov9c_seed123_conf0p001_iou0p65_classaware
YOLOv9c,yolov9c,YOLOv9c,123,0.001,0.75,classaware,0.3751916593386445,0.5902463489221248,0.39781505336547146,0.6631567528741178,0.5762259162497048,0.6166426513164199,7.67817074325901,130.23935432510956,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235802_final_nms_yolov9c_seed123_conf0p001_iou0p75_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,0.001,0.45,classaware,0.3763707977378415,0.6032027459023108,0.3901867610758836,0.6655002229651001,0.5904955180665008,0.6257583303752003,6.694985365403313,149.36552440690195,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235819_final_nms_yolov9c_seed2026_conf0p001_iou0p45_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,0.001,0.55,classaware,0.3770344916138522,0.6035300733286952,0.39021227602621034,0.6677863731589543,0.5880496587867492,0.6253866569987729,7.436039555906216,134.4801883424263,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235836_final_nms_yolov9c_seed2026_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,0.001,0.65,classaware,0.3766515107093199,0.5999176332840139,0.39158789879587935,0.6707647368664155,0.5842583804917718,0.6245301993759403,8.379346989758014,119.34104187620936,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235853_final_nms_yolov9c_seed2026_conf0p001_iou0p65_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,0.001,0.75,classaware,0.3752610016763558,0.5934252977266992,0.3930444017605179,0.6687865161524778,0.5773746745058734,0.6197278489686469,7.6318319277654325,131.03013922016436,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_nms_robustness_sweep/20260626_235910_final_nms_yolov9c_seed2026_conf0p001_iou0p75_classaware
