model,model_key,conf,iou,nms_type,seeds,n,params_m,AP_mean,AP_std,AP50_mean,AP50_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,latency_ms_mean,latency_ms_std,FPS_mean,FPS_std
Ours,ours,0.001,0.45,classaware,42 42 42 123 123 123 2026 2026 2026,9,20.82,0.3845226035400922,0.0008427282476395351,0.6122467476290173,0.0017187932041230895,0.669154864754431,0.009467712605211719,0.5954390159704719,0.005428431676040736,0.6300730944008294,0.001258244009527096,11.403727551987538,0.6986714275106419,87.98611365983724,5.4360493727795625
Ours,ours,0.01,0.5,classaware,42 42 123 123 2026 2026,6,20.82,0.38442967993336724,0.0004201658946927419,0.6112280502821162,0.00047928761630826707,0.6692983281266881,0.009450300823115656,0.5954634274508067,0.005460814537544643,0.6301549408238248,0.001252984566470288,11.473980530447252,0.7323562449570074,87.43941468923198,5.3721368629252835
Ours,ours,0.001,0.55,classaware,42 42 42 123 123 123 2026 2026 2026,9,20.82,0.3849551985289993,0.0008081636445517842,0.611669392144145,0.0014315400658037856,0.6700615209847496,0.01011684875594002,0.5941925739945619,0.005573303891776143,0.6297669151705183,0.0013697696165100842,11.288104718352766,0.7694946706938073,88.96241601692894,6.172008575018044
Ours,ours,0.01,0.6,classaware,42 42 123 123 2026 2026,6,20.82,0.3846756959998754,0.0005761045329844911,0.6100302603176537,0.0010252631850728832,0.6703150288691732,0.010252298111888764,0.593921149789307,0.0056980696863415175,0.6297289936440835,0.0013685928666615672,11.384050084511385,0.5863935365425269,88.04018321043901,4.615161879347995
Ours,ours,0.001,0.65,classaware,42 42 42 123 123 123 2026 2026 2026,9,20.82,0.38488471604706864,0.0006988023537257168,0.6087070505748385,0.0012246099612026754,0.672560842062474,0.00615223471746987,0.5912348469809157,0.002315744931482737,0.6292574580321616,0.0013839122253960848,11.420117888300522,0.7947074884655417,87.95651862154814,6.342836161299828
Ours,ours,0.001,0.75,classaware,42 42 42 123 123 123 2026 2026 2026,9,20.82,0.3830853980404146,0.0006198872277541277,0.6010429372282616,0.0009412687172778227,0.6748015903748341,0.0038623149692885387,0.5838893453670683,0.001375328278268599,0.6260574991556664,0.0019322199313829347,11.49120481830394,0.6683031796613855,87.28332721566383,5.0396292595867935
YOLOv9c,yolov9c,0.001,0.45,classaware,42 42 42 123 123 123 2026 2026 2026,9,25.326958,0.3747303818791524,0.00103489328761752,0.5983936474807491,0.002606030558733447,0.6619016147600063,0.0029627338601810353,0.5913408440736727,0.0011086542725016473,0.624631173972942,0.001349484610638956,8.021344779376907,0.8126032561776207,125.94149101018655,14.174123530342136
YOLOv9c,yolov9c,0.01,0.5,classaware,42 42 123 123 2026 2026,6,25.326958,0.3747875668550538,0.0007330251911750294,0.598162877166578,0.0026506292355132116,0.6627411846195493,0.0009263338876778733,0.5909326362916244,0.0020888640605298482,0.6247793848505474,0.0014840408823085503,8.029873164227899,0.6374098617996028,125.16662701509829,9.568140700225493
YOLOv9c,yolov9c,0.001,0.55,classaware,42 42 42 123 123 123 2026 2026 2026,9,25.326958,0.3756786141303685,0.0008799626533622563,0.599233687915207,0.0023765731919883288,0.664306062334501,0.0026179607763151067,0.5892277673124238,0.0025232933587367935,0.6245119308471164,0.001397455783521081,7.4711500160775275,0.5244151653185624,134.4422354469662,9.539675515768156
YOLOv9c,yolov9c,0.01,0.6,classaware,42 42 123 123 2026 2026,6,25.326958,0.37552588798114195,0.0007718597353542331,0.5976337534223825,0.002025633263007964,0.6635756691675685,0.0023326323112209785,0.5883998929613798,0.001564941911571545,0.6237272020728477,0.0010132370680923238,8.019942799192194,0.9023867324451276,125.93370486329859,13.278121564929334
YOLOv9c,yolov9c,0.001,0.65,classaware,42 42 42 123 123 123 2026 2026 2026,9,25.326958,0.3757922291877451,0.0008211131593489409,0.5967962848584346,0.001973922392997584,0.6649832989094638,0.004582169058690905,0.5860804398483545,0.0025915162582233146,0.6230279911948529,0.0012685646400396706,7.767721838727578,0.7348230488524712,129.7763805664044,12.408088480191656
YOLOv9c,yolov9c,0.001,0.75,classaware,42 42 42 123 123 123 2026 2026 2026,9,25.326958,0.37447984226068365,0.0005957667295358147,0.5901533179685347,0.0019463533924087657,0.6629272772873337,0.005176477426814904,0.5792888642209545,0.0037658501076417127,0.618266990825493,0.0013415445639482233,7.611388103135341,0.5503241279513459,132.00114690851865,9.68172119630071
