dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.38643,0.38137,-0.005060000000000009,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.38643,0.38194,-0.004489999999999994,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.38643,0.37945,-0.006979999999999986,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4HeadOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.38643,0.37837,-0.008060000000000012,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv10m,YOLO,v10,v10,medium,medium,medium,42,1,insufficient_for_pvalue,0.38643,0.35531,-0.03111999999999998,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv10n,YOLO,v10,v10,nano,nano,nano,42,1,insufficient_for_pvalue,0.38643,0.2869,-0.09953000000000001,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv10s,YOLO,v10,v10,small,small,small,42,1,insufficient_for_pvalue,0.38643,0.32656,-0.05986999999999998,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv11m,YOLO,v11,v11,medium,medium,medium,42,1,insufficient_for_pvalue,0.38643,0.366,-0.020430000000000004,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv11n,YOLO,v11,v11,nano,nano,nano,42,1,insufficient_for_pvalue,0.38643,0.2896,-0.09682999999999997,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv11s,YOLO,v11,v11,small,small,small,42,1,insufficient_for_pvalue,0.38643,0.32818,-0.05824999999999997,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv12m,YOLO,v12,v12,medium,medium,medium,42,1,insufficient_for_pvalue,0.38643,0.36746,-0.018969999999999987,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv12n,YOLO,v12,v12,nano,nano,nano,42,1,insufficient_for_pvalue,0.38643,0.29586,-0.09056999999999998,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv12s,YOLO,v12,v12,small,small,small,42,1,insufficient_for_pvalue,0.38643,0.33532,-0.05110999999999999,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv26m,YOLO,v26,v26,medium,medium,medium,42,1,insufficient_for_pvalue,0.38643,0.36491,-0.021519999999999984,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv26n,YOLO,v26,v26,nano,nano,nano,42,1,insufficient_for_pvalue,0.38643,0.2815,-0.10493000000000002,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv26s,YOLO,v26,v26,small,small,small,42,1,insufficient_for_pvalue,0.38643,0.3261,-0.060329999999999995,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv5lu,YOLO,v5,v5,large,large,large,42,1,insufficient_for_pvalue,0.38643,0.37045,-0.015979999999999994,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv5mu,YOLO,v5,v5,medium,medium,medium,42,1,insufficient_for_pvalue,0.38643,0.35571,-0.03071999999999997,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv5nu,YOLO,v5,v5,nano,nano,nano,42,1,insufficient_for_pvalue,0.38643,0.28383,-0.10259999999999997,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv5su,YOLO,v5,v5,small,small,small,42,1,insufficient_for_pvalue,0.38643,0.32741,-0.05902000000000002,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv8l,YOLO,v8,v8,large,large,large,42,1,insufficient_for_pvalue,0.38643,0.3766,-0.009830000000000005,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv8m,YOLO,v8,v8,medium,medium,medium,42,1,insufficient_for_pvalue,0.38643,0.3591,-0.02733000000000002,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv8n,YOLO,v8,v8,nano,nano,nano,42,1,insufficient_for_pvalue,0.38643,0.29287,-0.09355999999999998,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv8s,YOLO,v8,v8,small,small,small,42,1,insufficient_for_pvalue,0.38643,0.33286,-0.053570000000000007,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv9m,YOLO,v9,v9,medium,medium,medium,42,1,insufficient_for_pvalue,0.38643,0.36974,-0.016689999999999983,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,YOLOv9s,YOLO,v9,v9,small,small,small,42,1,insufficient_for_pvalue,0.38643,0.34507,-0.04136000000000001,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,yolov9c,Other,unknown,,unknown,medium,medium,42,1,insufficient_for_pvalue,0.38643,0.37288,-0.013550000000000006,,,,
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,yolov9t,Other,unknown,,unknown,nano,nano,42,1,insufficient_for_pvalue,0.38643,0.30571,-0.08072000000000001,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.61393,0.60426,-0.009669999999999956,,,,
