method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv5nu,yolov5nu.pt,yolov5nu.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_161211_yolov5nu_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_161211_yolov5nu_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_161211_yolov5nu_visdrone_seed123/ultralytics/weights/best.pt,84.0,0.28387,0.47135,,,0.59257,0.44971,0.511349454465211,100.0,0.28064,0.46794,,,0.57339,0.46538,0.5137696279253348,0.8724031260375881,,,2510414,7.2
YOLOv5nu,yolov5nu.pt,yolov5nu.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_161211_yolov5nu_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_161211_yolov5nu_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_161211_yolov5nu_visdrone_seed42/ultralytics/weights/best.pt,90.0,0.28383,0.46838,,,0.56521,0.46551,0.510538084251785,100.0,0.28167,0.46577,,,0.56975,0.46203,0.5102669028281224,0.8704769210392873,,,2510414,7.2
YOLOv8n,yolov8n.pt,yolov8n.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_183137_yolov8n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_183137_yolov8n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_183137_yolov8n_visdrone_seed42/ultralytics/weights/best.pt,84.0,0.29287,0.48245,,,0.58004,0.47587,0.5228165938384901,100.0,0.28941,0.47808,,,0.5767,0.47348,0.5200173608333809,0.8755600568869777,,,3012798,8.2
YOLOv5nu,yolov5nu.pt,yolov5nu.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_183139_yolov5nu_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_183139_yolov5nu_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_183139_yolov5nu_visdrone_seed2026/ultralytics/weights/best.pt,90.0,0.28273,0.46912,,,0.57642,0.46382,0.5140258486503115,100.0,0.28088,0.46706,,,0.57088,0.4628,0.5111896602430153,0.8686486220091976,,,2510414,7.2
YOLOv8n,yolov8n.pt,yolov8n.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_204913_yolov8n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_204913_yolov8n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_204913_yolov8n_visdrone_seed2026/ultralytics/weights/best.pt,83.0,0.29169,0.48229,,,0.58044,0.47628,0.5232265182829889,100.0,0.28911,0.48024,,,0.59478,0.46992,0.5250286796280643,0.8686797566905426,,,3012798,8.2
YOLOv8n,yolov8n.pt,yolov8n.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_204943_yolov8n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_204943_yolov8n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_204943_yolov8n_visdrone_seed123/ultralytics/weights/best.pt,85.0,0.2917,0.48081,,,0.5845,0.47907,0.5265594460167173,100.0,0.28884,0.4776,,,0.58354,0.47552,0.5240211901119861,0.8723938274782486,,,3012798,8.2
yolov9t,yolov9t.pt,yolov9t.pt,,,,false,implemented,Other,non_yolo,unknown,,false,unknown,unknown,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_230735_yolov9t_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_230735_yolov9t_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_230735_yolov9t_visdrone_seed123/ultralytics/weights/best.pt,90.0,0.30499,0.49885,,,0.59387,0.49204,0.5381805026199225,100.0,0.30293,0.49684,,,0.59137,0.48986,0.5358499268425774,0.8732256476862801,,,2007358,7.9
yolov9t,yolov9t.pt,yolov9t.pt,,,,false,implemented,Other,non_yolo,unknown,,false,unknown,unknown,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_230802_yolov9t_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_230802_yolov9t_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260612_230802_yolov9t_visdrone_seed42/ultralytics/weights/best.pt,95.0,0.30571,0.49871,,,0.59058,0.49773,0.5401942156187116,100.0,0.304,0.49657,,,0.59776,0.48962,0.5383127355662234,0.8739362263733795,,,2007358,7.9
yolov9t,yolov9t.pt,yolov9t.pt,,,,false,implemented,Other,non_yolo,unknown,,false,unknown,unknown,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_023316_yolov9t_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_023316_yolov9t_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_023316_yolov9t_visdrone_seed2026/ultralytics/weights/best.pt,90.0,0.30223,0.49318,,,0.6021,0.48164,0.5351753077306365,100.0,0.30181,0.49382,,,0.59679,0.48514,0.5352041270692189,0.8740572778790829,,,2007358,7.9
YOLOv10n,yolov10n.pt,yolov10n.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_023519_yolov10n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_023519_yolov10n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_023519_yolov10n_visdrone_seed42/ultralytics/weights/best.pt,82.0,0.2869,0.47012,,,0.57615,0.46703,0.5158828476389502,100.0,0.28401,0.46716,,,0.57411,0.46549,0.5141255557906887,0.8871616762916912,,,2710940,8.4
