method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed_count,seeds,analysis_level,best_AP_mean,best_AP_std,best_AP_n,best_AP_mean_std,best_AP50_mean,best_AP50_std,best_AP50_n,best_AP50_mean_std,best_precision_mean,best_precision_std,best_precision_n,best_precision_mean_std,best_recall_mean,best_recall_std,best_recall_n,best_recall_mean_std,best_F1_mean,best_F1_std,best_F1_n,best_F1_mean_std,ROC-AUC_mean,ROC-AUC_std,ROC-AUC_n,ROC-AUC_mean_std,Params_mean,Params_std,Params_n,Params_mean_std,GFLOPs_mean,GFLOPs_std,GFLOPs_n,GFLOPs_mean_std
ProposedSize-P2P4BalancedDynFreqP2TinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_dynfreq_p2_tiny_frelu,p2p4_balanced_head+dynfreq_c3_p2+tiny_frelu_neck,"dynfreq_c3_p2,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38013,0.0,1,0.3801 +/- 0.0000,0.60091,0.0,1,0.6009 +/- 0.0000,0.67768,0.0,1,0.6777 +/- 0.0000,0.57362,0.0,1,0.5736 +/- 0.0000,0.6213231065292096,0.0,1,0.6213 +/- 0.0000,0.901481754535071,0.0,1,0.9015 +/- 0.0000,,,,,,,,
ProposedSize-P2P4BalancedDynFreqSmallTinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_dynfreq_small_tiny_frelu,p2p4_balanced_head+dynfreq_c3_small+tiny_frelu_neck,"dynfreq_c3_small,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38149,0.0,1,0.3815 +/- 0.0000,0.60335,0.0,1,0.6034 +/- 0.0000,0.6752,0.0,1,0.6752 +/- 0.0000,0.57877,0.0,1,0.5788 +/- 0.0000,0.6232772777658158,0.0,1,0.6233 +/- 0.0000,0.901239179591301,0.0,1,0.9012 +/- 0.0000,,,,,,,,
ProposedSize-P2P4BalancedSETinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_se_tiny_frelu,p2p4_balanced_head+se_neck+tiny_frelu_neck,"se_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38035,0.0,1,0.3804 +/- 0.0000,0.60083,0.0,1,0.6008 +/- 0.0000,0.66258,0.0,1,0.6626 +/- 0.0000,0.59019,0.0,1,0.5902 +/- 0.0000,0.624293509902057,0.0,1,0.6243 +/- 0.0000,0.8986217699506389,0.0,1,0.8986 +/- 0.0000,,,,,,,,
ProposedSize-P2P4BalancedSelfAttnOnly-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_selfattn_only,p2p4_balanced_head+lite_self_attention_neck,lite_self_attention_neck,true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,3,"123,2026,42",preliminary,0.38147333333333333,0.00043431939092486123,3,0.3815 +/- 0.0004,0.6038066666666667,0.001120996580428919,3,0.6038 +/- 0.0011,0.6638833333333333,0.005808875393166309,3,0.6639 +/- 0.0058,0.59152,0.0030363958898668416,3,0.5915 +/- 0.0030,0.6256020850999956,0.0025241468659749655,3,0.6256 +/- 0.0025,0.9006571837619727,0.0035425363639613153,3,0.9007 +/- 0.0035,,,,,,,,
ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_selfattn_tiny_frelu,p2p4_balanced_head+lite_self_attention_neck+tiny_frelu_neck,"lite_self_attention_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3822425,0.0005646459067415558,4,0.3822 +/- 0.0006,0.6053975,0.001048566481758145,4,0.6054 +/- 0.0010,0.67274,0.0042250207100084395,4,0.6727 +/- 0.0042,0.5871124999999999,0.001552081935122402,4,0.5871 +/- 0.0016,0.6270083051485623,0.0013860761668697884,4,0.6270 +/- 0.0014,0.9003756542411884,0.0013534830269749116,4,0.9004 +/- 0.0014,,,,,,,,
ProposedSize-P2P4BalancedTinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_tiny_frelu,p2p4_balanced_head+tiny_frelu_neck,tiny_frelu_neck,true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,3,"123,2026,42",preliminary,0.37842,0.0009305374790947581,3,0.3784 +/- 0.0009,0.5986766666666666,0.0018351112591157115,3,0.5987 +/- 0.0018,0.6578433333333333,0.008422483798342002,3,0.6578 +/- 0.0084,0.58614,0.004326534409894369,3,0.5861 +/- 0.0043,0.6198896575538978,0.0027663284055960387,3,0.6199 +/- 0.0028,0.897259722532722,0.0010122165323986792,3,0.8973 +/- 0.0010,,,,,,,,
ProposedSize-P2P4HeadOnly-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_head_only,p2p4_balanced_head,,true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,3,"123,2026,42",preliminary,0.38067999999999996,0.0020057666863321846,3,0.3807 +/- 0.0020,0.6027966666666666,0.004309110503727351,3,0.6028 +/- 0.0043,0.6681133333333333,0.009362351912491467,3,0.6681 +/- 0.0094,0.5868666666666666,0.011252467877462825,3,0.5869 +/- 0.0113,0.6247579597054875,0.004189868442810849,3,0.6248 +/- 0.0042,0.902676847914302,0.002993065286060979,3,0.9027 +/- 0.0030,,,,,,,,
YOLOv10m,yolov10m.pt,yolov10m.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.35464333333333337,0.0006214767359550457,3,0.3546 +/- 0.0006,0.5674066666666667,0.0016342990342447302,3,0.5674 +/- 0.0016,0.64609,0.005319295066077842,3,0.6461 +/- 0.0053,0.5530366666666666,0.004501792235691583,3,0.5530 +/- 0.0045,0.5959386561504382,0.0033182226239849453,3,0.5959 +/- 0.0033,0.9038992105178679,0.002769424373537188,3,0.9039 +/- 0.0028,16495708.0,0.0,3,16495708.0000 +/- 0.0000,64.0,0.0,3,64.0000 +/- 0.0000
YOLOv10n,yolov10n.pt,yolov10n.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.28562,0.002234367919569192,3,0.2856 +/- 0.0022,0.4702733333333333,0.003892265835388607,3,0.4703 +/- 0.0039,0.5764566666666666,0.007714572790072903,3,0.5765 +/- 0.0077,0.46709,0.0011811435137187897,3,0.4671 +/- 0.0012,0.5160208524351061,0.0023715608989007112,3,0.5160 +/- 0.0024,0.8848183375838156,0.002313500708694927,3,0.8848 +/- 0.0023,2710940.0,0.0,3,2710940.0000 +/- 0.0000,8.4,0.0,3,8.4000 +/- 0.0000
YOLOv10s,yolov10s.pt,yolov10s.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3246966666666667,0.0018078255815573972,3,0.3247 +/- 0.0018,0.5260833333333333,0.003345778434584879,3,0.5261 +/- 0.0033,0.6249833333333333,0.002649232593286864,3,0.6250 +/- 0.0026,0.5160233333333334,0.0035350011786891115,3,0.5160 +/- 0.0035,0.5652893935389149,0.001073999944264027,3,0.5653 +/- 0.0011,0.896494928925846,0.00018053625547278704,3,0.8965 +/- 0.0002,8074092.0,0.0,3,8074092.0000 +/- 0.0000,24.8,0.0,3,24.8000 +/- 0.0000
