dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-DCT-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38251,-0.0022999999999999687,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-SE-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38237,-0.0024399999999999977,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-Wavelet-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.37944,-0.005369999999999986,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-WaveletCBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38429,-0.0005199999999999649,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2BalancedV2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38082,-0.0039899999999999936,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3DynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38213,-0.00267999999999996,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3SETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38247,-0.0023400000000000087,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.3799,-0.00490999999999997,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3DynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38194,-0.0028699999999999837,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3SETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38132,-0.003489999999999993,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.37996,-0.0048499999999999654,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedDynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38013,-0.004679999999999962,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedDynFreqSmallTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38149,-0.0033199999999999896,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedSETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38035,-0.004459999999999964,,,,
VisDrone2019-DET,best_AP,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.38481,0.38164,-0.003170000000000006,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-DCT-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60369,-0.0042400000000000215,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-SE-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60515,-0.0027800000000000047,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-Wavelet-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60151,-0.006419999999999981,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-WaveletCBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60547,-0.0024600000000000177,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2BalancedV2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60285,-0.005079999999999973,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3DynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.6047,-0.003229999999999955,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3SETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.6039,-0.004029999999999978,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60214,-0.005789999999999962,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3DynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60637,-0.0015600000000000058,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3SETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60759,-0.00034000000000000696,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60088,-0.007050000000000001,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedDynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60091,-0.007019999999999915,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedDynFreqSmallTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60335,-0.0045799999999999175,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedSETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60083,-0.007099999999999995,,,,
VisDrone2019-DET,best_AP50,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.60793,0.60512,-0.002809999999999979,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-DCT-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.58607,-0.007099999999999995,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-SE-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.59356,0.00039000000000000146,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-Wavelet-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.58556,-0.007610000000000006,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-WaveletCBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.58583,-0.007340000000000013,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2BalancedV2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.59162,-0.0015499999999999403,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3DynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.59223,-0.0009399999999999409,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3SETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.5907,-0.0024699999999999722,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2CompressV3TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.5878,-0.005369999999999986,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3DynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.58996,-0.003209999999999935,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3SETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.60024,0.007070000000000021,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2EfficientV3TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.58667,-0.00649999999999995,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedDynFreqP2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.57362,-0.019549999999999956,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedDynFreqSmallTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.57877,-0.014399999999999968,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedSETinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.59019,-0.0029799999999999827,,,,
VisDrone2019-DET,best_recall,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.59317,0.58714,-0.00602999999999998,,,,
VisDrone2019-DET,best_F1,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-DCT-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.6242692817776642,0.6225927136731625,-0.0016765681045016745,,,,
VisDrone2019-DET,best_F1,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-SE-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.6242692817776642,0.6303315279094759,0.0060622461318117216,,,,
VisDrone2019-DET,best_F1,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-Wavelet-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.6242692817776642,0.6244572974610387,0.00018801568337456498,,,,
VisDrone2019-DET,best_F1,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedP2FR-WaveletCBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.6242692817776642,0.6256725538515384,0.001403272073874251,,,,
VisDrone2019-DET,best_F1,ProposedP2FR-CBAM-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2BalancedV2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,123,1,insufficient_for_pvalue,0.6242692817776642,0.6265750439747443,0.002305762197080119,,,,
