method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_selfattn_tiny_frelu,p2p4_balanced_head+lite_self_attention_neck+tiny_frelu_neck,"lite_self_attention_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_073629_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_073629_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_073629_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,48.0,0.38248,0.60607,,,0.67141,0.58671,0.6262088848440529,68.0,0.37701,0.59864,,,0.66536,0.59407,0.6276973157698322,0.9016072291247264,,,,
proposed_p2p4_balanced_se_tiny_frelu_yolo11l,proposed_p2p4_balanced_se_tiny_frelu_yolo11l,proposed_p2p4_balanced_se_tiny_frelu_yolo11l,,,,false,,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_073632_proposed_p2p4_balanced_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_073632_proposed_p2p4_balanced_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_073632_proposed_p2p4_balanced_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,54.0,0.38041,0.60189,,,0.66433,0.59149,0.6257975692376296,70.0,0.37229,0.59137,,,0.67011,0.58203,0.6229720690977048,,,,,
ProposedSize-P2P4BalancedDynFreqP2TinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_dynfreq_p2_tiny_frelu,p2p4_balanced_head+dynfreq_c3_p2+tiny_frelu_neck,"dynfreq_c3_p2,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_142259_proposed_p2p4_balanced_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_142259_proposed_p2p4_balanced_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_142259_proposed_p2p4_balanced_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,53.0,0.38013,0.60091,,,0.67768,0.57362,0.6213231065292096,73.0,0.37297,0.59201,,,0.65327,0.58791,0.6188690853864872,0.901481754535071,,,,
ProposedSize-P2P4BalancedDynFreqSmallTinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_dynfreq_small_tiny_frelu,p2p4_balanced_head+dynfreq_c3_small+tiny_frelu_neck,"dynfreq_c3_small,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_160858_proposed_p2p4_balanced_dynfreq_small_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_160858_proposed_p2p4_balanced_dynfreq_small_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_160858_proposed_p2p4_balanced_dynfreq_small_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,46.0,0.38149,0.60335,,,0.6752,0.57877,0.6232772777658158,66.0,0.37586,0.59794,,,0.66836,0.59029,0.626903784848846,0.901239179591301,,,,
ProposedSize-P2P4BalancedSETinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_se_tiny_frelu,p2p4_balanced_head+se_neck+tiny_frelu_neck,"se_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,52.0,0.38035,0.60083,,,0.66258,0.59019,0.624293509902057,72.0,0.37665,0.59716,,,0.66692,0.58509,0.6233308404884945,0.8986217699506389,,,,
ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_selfattn_tiny_frelu,p2p4_balanced_head+lite_self_attention_neck+tiny_frelu_neck,"lite_self_attention_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,41.0,0.38164,0.60512,,,0.66949,0.58714,0.6256167027685159,61.0,0.3741,0.59544,,,0.66165,0.58732,0.6222731979150821,0.9027465330599085,,,,
ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_selfattn_tiny_frelu,p2p4_balanced_head+lite_self_attention_neck+tiny_frelu_neck,"lite_self_attention_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026/ultralytics/weights/best.pt,51.0,0.38291,0.60636,,,0.67111,0.58917,0.6274762413114546,71.0,0.37701,0.59743,,,0.65984,0.58992,0.6229241019075663,0.9007067265649571,,,,
ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,p2p4_balanced_selfattn_tiny_frelu,p2p4_balanced_head+lite_self_attention_neck+tiny_frelu_neck,"lite_self_attention_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42/ultralytics/weights/best.pt,50.0,0.38194,0.60404,,,0.67895,0.58543,0.6287313916702257,70.0,0.37193,0.59328,,,0.67508,0.58258,0.625428345339758,0.9001200427543837,,,,
ProposedP2FR-CBAM-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_cbam_frelu,p2_head+cbam_neck+tiny_frelu_neck,"cbam_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,70,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_070012_proposed_p2_cbam_frelu_yolo11l_visdrone_p2fr_module_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_070012_proposed_p2_cbam_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_070012_proposed_p2_cbam_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/weights/best.pt,51.0,0.38481,0.60793,,,0.65881,0.59317,0.6242692817776642,59.0,0.38339,0.6052,,,0.67075,0.58923,0.6273528508389021,,,,,
ProposedP2FR-Wavelet-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_wavelet_frelu,p2_head+wavelet_stem+tiny_frelu_neck,"wavelet_stem,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,70,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_070012_proposed_p2_wavelet_frelu_yolo11l_visdrone_p2fr_module_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_070012_proposed_p2_wavelet_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_070012_proposed_p2_wavelet_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/weights/best.pt,51.0,0.38217,0.60354,,,0.66322,0.58742,0.6230229201049062,59.0,0.37993,0.60061,,,0.65819,0.59075,0.6226491945169503,,,,,
