method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed_count,seeds,analysis_level,best_AP_mean,best_AP_std,best_AP_n,best_AP_mean_std,best_AP50_mean,best_AP50_std,best_AP50_n,best_AP50_mean_std,best_precision_mean,best_precision_std,best_precision_n,best_precision_mean_std,best_recall_mean,best_recall_std,best_recall_n,best_recall_mean_std,best_F1_mean,best_F1_std,best_F1_n,best_F1_mean_std,ROC-AUC_mean,ROC-AUC_std,ROC-AUC_n,ROC-AUC_mean_std
ProposedP2FR-CBAM-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_cbam_frelu,p2_head+cbam_neck+tiny_frelu_neck,"cbam_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38481,0.0,1,0.3848 +/- 0.0000,0.60793,0.0,1,0.6079 +/- 0.0000,0.65881,0.0,1,0.6588 +/- 0.0000,0.59317,0.0,1,0.5932 +/- 0.0000,0.6242692817776642,0.0,1,0.6243 +/- 0.0000,,,,
ProposedP2FR-DCT-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_dct_frelu,p2_head+dct_stem+tiny_frelu_neck,"dct_stem,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.383635,0.0015909902576697137,2,0.3836 +/- 0.0016,0.60457,0.0012445079348883908,2,0.6046 +/- 0.0012,0.66507,0.0015556349186104687,2,0.6651 +/- 0.0016,0.58962,0.005020458146424484,2,0.5896 +/- 0.0050,0.6250734614310514,0.0035083071240330846,2,0.6251 +/- 0.0035,,,,
ProposedP2FR-SE-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_se_frelu,p2_head+se_neck+tiny_frelu_neck,"se_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38237,0.0,1,0.3824 +/- 0.0000,0.60515,0.0,1,0.6051 +/- 0.0000,0.67196,0.0,1,0.6720 +/- 0.0000,0.59356,0.0,1,0.5936 +/- 0.0000,0.6303315279094759,0.0,1,0.6303 +/- 0.0000,,,,
ProposedP2FR-Wavelet-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_wavelet_frelu,p2_head+wavelet_stem+tiny_frelu_neck,"wavelet_stem,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.380805,0.001930401512639282,2,0.3808 +/- 0.0019,0.602525,0.0014354267658086746,2,0.6025 +/- 0.0014,0.6660550000000001,0.004009295449327691,2,0.6661 +/- 0.0040,0.58649,0.0013152186130070377,2,0.5865 +/- 0.0013,0.6237401087829725,0.0010142579553017216,2,0.6237 +/- 0.0010,,,,
ProposedP2FR-WaveletCBAM-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_wavelet_cbam_frelu,p2_head+wavelet_stem+cbam_neck+tiny_frelu_neck,"wavelet_stem,cbam_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38429,0.0,1,0.3843 +/- 0.0000,0.60547,0.0,1,0.6055 +/- 0.0000,0.67133,0.0,1,0.6713 +/- 0.0000,0.58583,0.0,1,0.5858 +/- 0.0000,0.6256725538515384,0.0,1,0.6257 +/- 0.0000,,,,
ProposedSize-P2BalancedV2TinyFReLU-yolo11l,configs/detector/yolo11l-p2-balanced-v2.yaml,yolo11l.pt,p2_balanced_v2_tiny_frelu,p2_balanced_v2_head+tiny_frelu_neck,tiny_frelu_neck,true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3800733333333333,0.0016334421732443866,3,0.3801 +/- 0.0016,0.6011433333333334,0.003016858189132107,3,0.6011 +/- 0.0030,0.6653399999999999,0.0008373768566183298,3,0.6653 +/- 0.0008,0.5873966666666667,0.009359253887641536,3,0.5874 +/- 0.0094,0.6239210490223766,0.005656479079374861,3,0.6239 +/- 0.0057,0.9017362746492926,0.0,1,0.9017 +/- 0.0000
ProposedSize-P2CompressV3DynFreqP2TinyFReLU-yolo11l,configs/detector/yolo11l-p2-compress-v3.yaml,yolo11l.pt,p2_compress_v3_dynfreq_p2_tiny_frelu,p2_compress_v3_head+dynfreq_c3_p2+tiny_frelu_neck,"dynfreq_c3_p2,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38213,0.0,1,0.3821 +/- 0.0000,0.6047,0.0,1,0.6047 +/- 0.0000,0.66783,0.0,1,0.6678 +/- 0.0000,0.59223,0.0,1,0.5922 +/- 0.0000,0.6277621079948573,0.0,1,0.6278 +/- 0.0000,0.8996245687515868,0.0,1,0.8996 +/- 0.0000
ProposedSize-P2CompressV3SETinyFReLU-yolo11l,configs/detector/yolo11l-p2-compress-v3.yaml,yolo11l.pt,p2_compress_v3_se_tiny_frelu,p2_compress_v3_head+se_neck+tiny_frelu_neck,"se_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38247,0.0,1,0.3825 +/- 0.0000,0.6039,0.0,1,0.6039 +/- 0.0000,0.66912,0.0,1,0.6691 +/- 0.0000,0.5907,0.0,1,0.5907 +/- 0.0000,0.6274692956136592,0.0,1,0.6275 +/- 0.0000,0.8955677302636043,0.0,1,0.8956 +/- 0.0000
ProposedSize-P2CompressV3TinyFReLU-yolo11l,configs/detector/yolo11l-p2-compress-v3.yaml,yolo11l.pt,p2_compress_v3_tiny_frelu,p2_compress_v3_head+tiny_frelu_neck,tiny_frelu_neck,true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.3799,0.0,1,0.3799 +/- 0.0000,0.60214,0.0,1,0.6021 +/- 0.0000,0.66878,0.0,1,0.6688 +/- 0.0000,0.5878,0.0,1,0.5878 +/- 0.0000,0.6256806315554919,0.0,1,0.6257 +/- 0.0000,0.9018814833558345,0.0,1,0.9019 +/- 0.0000
ProposedSize-P2EfficientV3DynFreqP2TinyFReLU-yolo11l,configs/detector/yolo11l-p2-efficient-v3.yaml,yolo11l.pt,p2_efficient_v3_dynfreq_p2_tiny_frelu,p2_efficient_v3_head+dynfreq_c3_p2+tiny_frelu_neck,"dynfreq_c3_p2,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,123,preliminary,0.38194,0.0,1,0.3819 +/- 0.0000,0.60637,0.0,1,0.6064 +/- 0.0000,0.66837,0.0,1,0.6684 +/- 0.0000,0.58996,0.0,1,0.5900 +/- 0.0000,0.626722028720606,0.0,1,0.6267 +/- 0.0000,0.897934845557787,0.0,1,0.8979 +/- 0.0000
