created_at,session,ablation,method,base_model,train_model,proposed_module,implementation_status,seed,physical_gpu,imgsz,batch,epochs,data_yaml,run_name,log_file,status,skip_reason,command
2026-05-19T11:33:33+09:00,proposed-check,control,Proposed-Control-yolo11s,yolo11s.pt,yolo11s.pt,control,implemented,42,0,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_control_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_control_yolo11s_visdrone_seed42.log,queued,,conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 1 --imgsz 640 --batch 1 --device 0 --seed 42 --project outputs/detectors/server_proposed_ablation --name proposed_control_yolo11s_visdrone_seed42 --method Proposed-Control-yolo11s --ablation control --base-model yolo11s.pt --proposed-module control --implementation-status implemented
2026-05-19T11:33:33+09:00,proposed-check,wavelet_stem,Proposed-WaveletStem-yolo11s,yolo11s.pt,configs/detector/proposed/yolo11s_wavelet_stem.yaml,wavelet_stem,planned,42,,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_wavelet_stem_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_wavelet_stem_yolo11s_visdrone_seed42.log,skipped_not_implemented,Custom wavelet stem module is planned but not registered with Ultralytics yet.,
2026-05-19T11:33:33+09:00,proposed-check,partial_deformable_neck,Proposed-DeformableNeck-yolo11s,yolo11s.pt,configs/detector/proposed/yolo11s_partial_deformable_neck.yaml,partial_deformable_neck,planned,42,,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_partial_deformable_neck_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_partial_deformable_neck_yolo11s_visdrone_seed42.log,skipped_not_implemented,Partial deformable neck blocks need a real module implementation before training.,
2026-05-19T11:33:33+09:00,proposed-check,tiling_inference,Proposed-TilingInference-yolo11s,yolo11s.pt,yolo11s.pt,tiling_inference,planned_eval_only,42,,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_tiling_inference_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_tiling_inference_yolo11s_visdrone_seed42.log,skipped_not_implemented,"Tiling inference should be evaluated with a tiled detector evaluator, not by retraining the unchanged base model.",
2026-05-19T11:33:33+09:00,proposed-check,full_proposed,Proposed-Full-yolo11s,yolo11s.pt,configs/detector/proposed/yolo11s_wavelet_deformable.yaml,wavelet_stem+partial_deformable_neck+tiling_inference,planned,42,,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_full_proposed_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_full_proposed_yolo11s_visdrone_seed42.log,skipped_not_implemented,"Full module waits for wavelet stem, deformable neck, and tiled evaluation implementation.",
2026-05-19T11:34:17+09:00,proposed-check,control,Proposed-Control-yolo11s,yolo11s.pt,yolo11s.pt,control,implemented,42,0,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_control_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_control_yolo11s_visdrone_seed42.log,queued,,conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 1 --imgsz 640 --batch 1 --device 0 --seed 42 --project outputs/detectors/server_proposed_ablation --name proposed_control_yolo11s_visdrone_seed42 --method Proposed-Control-yolo11s --ablation control --base-model yolo11s.pt --proposed-module control --implementation-status implemented
2026-05-19T11:34:17+09:00,proposed-check,wavelet_stem,Proposed-WaveletStem-yolo11s,yolo11s.pt,configs/detector/proposed/yolo11s_wavelet_stem.yaml,wavelet_stem,planned,42,,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_wavelet_stem_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_wavelet_stem_yolo11s_visdrone_seed42.log,skipped_not_implemented,Custom wavelet stem module is planned but not registered with Ultralytics yet.,
2026-05-19T11:34:17+09:00,proposed-check,partial_deformable_neck,Proposed-DeformableNeck-yolo11s,yolo11s.pt,configs/detector/proposed/yolo11s_partial_deformable_neck.yaml,partial_deformable_neck,planned,42,,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_partial_deformable_neck_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_partial_deformable_neck_yolo11s_visdrone_seed42.log,skipped_not_implemented,Partial deformable neck blocks need a real module implementation before training.,
2026-05-19T11:34:17+09:00,proposed-check,tiling_inference,Proposed-TilingInference-yolo11s,yolo11s.pt,yolo11s.pt,tiling_inference,planned_eval_only,42,,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_tiling_inference_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_tiling_inference_yolo11s_visdrone_seed42.log,skipped_not_implemented,"Tiling inference should be evaluated with a tiled detector evaluator, not by retraining the unchanged base model.",
2026-05-19T11:34:17+09:00,proposed-check,full_proposed,Proposed-Full-yolo11s,yolo11s.pt,configs/detector/proposed/yolo11s_wavelet_deformable.yaml,wavelet_stem+partial_deformable_neck+tiling_inference,planned,42,,640,1,1,configs/detector/visdrone_yolo_data.yaml,proposed_full_proposed_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_full_proposed_yolo11s_visdrone_seed42.log,skipped_not_implemented,"Full module waits for wavelet stem, deformable neck, and tiled evaluation implementation.",
2026-05-24T13:57:35+09:00,server-proposed-ablation,control,Proposed-Control-yolo11s,yolo11s.pt,yolo11s.pt,control,,implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_control_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_control_yolo11s_visdrone_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_proposed_ablation --name proposed_control_yolo11s_visdrone_seed42 --method Proposed-Control-yolo11s --ablation control --base-model yolo11s.pt --proposed-module control --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,control,Proposed-Control-yolo11s,yolo11s.pt,yolo11s.pt,control,,implemented,123,1,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_control_yolo11s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_control_yolo11s_visdrone_seed123.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 123 --project outputs/detectors/server_proposed_ablation --name proposed_control_yolo11s_visdrone_seed123 --method Proposed-Control-yolo11s --ablation control --base-model yolo11s.pt --proposed-module control --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,control,Proposed-Control-yolo11s,yolo11s.pt,yolo11s.pt,control,,implemented,2026,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_control_yolo11s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_control_yolo11s_visdrone_seed2026.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 2026 --project outputs/detectors/server_proposed_ablation --name proposed_control_yolo11s_visdrone_seed2026 --method Proposed-Control-yolo11s --ablation control --base-model yolo11s.pt --proposed-module control --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,wavelet_stem,Proposed-WaveletStem-yolo11s,yolo11s.pt,yolo11s.pt,wavelet_stem,wavelet_stem,implemented,42,1,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_wavelet_stem_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_wavelet_stem_yolo11s_visdrone_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_proposed_ablation --name proposed_wavelet_stem_yolo11s_visdrone_seed42 --method Proposed-WaveletStem-yolo11s --ablation wavelet_stem --base-model yolo11s.pt --proposed-module wavelet_stem --model-patches wavelet_stem --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,wavelet_stem,Proposed-WaveletStem-yolo11s,yolo11s.pt,yolo11s.pt,wavelet_stem,wavelet_stem,implemented,123,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_wavelet_stem_yolo11s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_wavelet_stem_yolo11s_visdrone_seed123.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 123 --project outputs/detectors/server_proposed_ablation --name proposed_wavelet_stem_yolo11s_visdrone_seed123 --method Proposed-WaveletStem-yolo11s --ablation wavelet_stem --base-model yolo11s.pt --proposed-module wavelet_stem --model-patches wavelet_stem --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,wavelet_stem,Proposed-WaveletStem-yolo11s,yolo11s.pt,yolo11s.pt,wavelet_stem,wavelet_stem,implemented,2026,1,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_wavelet_stem_yolo11s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_wavelet_stem_yolo11s_visdrone_seed2026.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 2026 --project outputs/detectors/server_proposed_ablation --name proposed_wavelet_stem_yolo11s_visdrone_seed2026 --method Proposed-WaveletStem-yolo11s --ablation wavelet_stem --base-model yolo11s.pt --proposed-module wavelet_stem --model-patches wavelet_stem --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,se_neck,Proposed-SE-yolo11s,yolo11s.pt,yolo11s.pt,se_neck,se_neck,implemented,42,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_se_neck_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_se_neck_yolo11s_visdrone_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_proposed_ablation --name proposed_se_neck_yolo11s_visdrone_seed42 --method Proposed-SE-yolo11s --ablation se_neck --base-model yolo11s.pt --proposed-module se_neck --model-patches se_neck --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,se_neck,Proposed-SE-yolo11s,yolo11s.pt,yolo11s.pt,se_neck,se_neck,implemented,123,1,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_se_neck_yolo11s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_se_neck_yolo11s_visdrone_seed123.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 123 --project outputs/detectors/server_proposed_ablation --name proposed_se_neck_yolo11s_visdrone_seed123 --method Proposed-SE-yolo11s --ablation se_neck --base-model yolo11s.pt --proposed-module se_neck --model-patches se_neck --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,se_neck,Proposed-SE-yolo11s,yolo11s.pt,yolo11s.pt,se_neck,se_neck,implemented,2026,0,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_se_neck_yolo11s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_se_neck_yolo11s_visdrone_seed2026.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=0 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 2026 --project outputs/detectors/server_proposed_ablation --name proposed_se_neck_yolo11s_visdrone_seed2026 --method Proposed-SE-yolo11s --ablation se_neck --base-model yolo11s.pt --proposed-module se_neck --model-patches se_neck --implementation-status implemented
2026-05-24T13:57:35+09:00,server-proposed-ablation,cbam_neck,Proposed-CBAM-yolo11s,yolo11s.pt,yolo11s.pt,cbam_neck,cbam_neck,implemented,42,1,0,1280,8,100,configs/detector/visdrone_yolo_data.yaml,proposed_cbam_neck_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/logs/server_baselines/proposed_cbam_neck_yolo11s_visdrone_seed42.log,queued,,CUDA_DEVICE_ORDER=PCI_BUS_ID CUDA_VISIBLE_DEVICES=1 conda run --no-capture-output -n com3d-ace python -m detectors.train_yolo train --model yolo11s.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 8 --device 0 --seed 42 --project outputs/detectors/server_proposed_ablation --name proposed_cbam_neck_yolo11s_visdrone_seed42 --method Proposed-CBAM-yolo11s --ablation cbam_neck --base-model yolo11s.pt --proposed-module cbam_neck --model-patches cbam_neck --implementation-status implemented
