created_at,model,seed,protocol,status,note
2026-06-21T00:00:00+09:00,CSFPR-RTDETR,42/123/2026,"VisDrone 1280 related-work consistency queue",QUEUED,"Only Sec. 2.1 cited runnable/staged model remains in strict paper-facing queue."
2026-06-21T00:00:00+09:00,LEAF-YOLO-N/S,42,"VisDrone 1280 scratch run already started before strict Sec. 2.1 filter",INTERNAL_ONLY,"Not cited in current Sec. 2.1; keep result out of paper related-work comparison unless the paper is later revised to cite LEAF-YOLO."
"2026-06-21T03:49:33+09:00","UAVDet","audit","Sec. 2.1 cited model; clone/audit before GPU training","PENDING_ADAPTER_AUDIT","official repo candidate identified; MMDetection/Mamba dependency and RGB-only fairness need validation"
"2026-06-21T03:49:33+09:00","SFFEF-YOLO/FMFN/DS/BPD/LRDS/DG/D2A/UFO/CFIA/HF-D-FINE/DFFormer/RT-UAV-SOD","citation","Sec. 2.1 cited models without staged runnable assets","CITATION_ONLY","keep in coverage table; do not spend GPU until assets are confirmed"
"2026-06-21T03:49:33+09:00","LEAF-YOLO-N/S","excluded","not cited in current Sec. 2.1","INTERNAL_ONLY","remove from paper-facing related-work queue unless the manuscript is revised to cite LEAF-YOLO"
"2026-06-21T03:49:33+09:00","CSFPR-RTDETR","42","VisDrone 1280 train/val, scratch, 100e, patience=5","STARTED","strict Sec. 2.1 related-work reproduction"
"2026-06-21T13:06:02+09:00","MFFSODNet","42","VisDrone 1280 train/val, scratch, 100e, patience=5","STARTED","single GPU split job"
"2026-06-21T13:06:31+09:00","MFFSODNet","42","VisDrone 1280 train/val, scratch, 100e, patience=5","FAILED","rc=1; see outputs/logs/related_work_consistency"
"2026-06-21T13:09:03+09:00","MFFSODNet","42","VisDrone 1280 train/val, scratch, 100e, patience=5","STARTED","single GPU split job"
"2026-06-21T13:10:34+09:00","MFFSODNet","42","VisDrone 1280 train/val, scratch, 100e, patience=5","FAILED","rc=1; see outputs/logs/related_work_consistency"
"2026-06-21T13:12:42+09:00","MFFSODNet","42","VisDrone 1280 train/val, scratch, 100e, patience=5","STARTED","single GPU split job"
"2026-06-21T19:51:25+09:00","MFFSODNet","42","VisDrone 1280 train/val, scratch, 100e, patience=5","FAILED","rc=1; see outputs/logs/related_work_consistency"
"2026-06-21T22:42:43+09:00","MFFSODNet","123","VisDrone 1280 train/val, scratch, 100e, patience=5","STARTED","single GPU split job"
"2026-06-22T05:41:26+09:00","MFFSODNet","123","VisDrone 1280 train/val, scratch, 100e, patience=5","FAILED","rc=1; see outputs/logs/related_work_consistency"
"2026-06-22T06:03:38+09:00","CSFPR-RTDETR","123","VisDrone 1280 train/val, scratch, 100e, patience=5","STARTED","single GPU split job"
"2026-06-22T06:03:39+09:00","MFFSODNet","2026","VisDrone 1280 train/val, scratch, 100e, patience=5","STARTED","single GPU split job"
"2026-06-22T12:42:42+09:00","MFFSODNet","2026","VisDrone 1280 train/val, scratch, 100e, patience=5","FINISHED","outputs/detectors/related_work_consistency/mffsodnet/mffsodnet_img1280_seed2026"
"2026-06-22T15:21:02+09:00","CSFPR-RTDETR","2026","VisDrone 1280 train/val, scratch, 100e, patience=5","STARTED","single GPU split job"
"2026-06-23T03:14:13+09:00","CSFPR-RTDETR","123","VisDrone 1280 train/val, scratch, 100e, patience=5","FINISHED","outputs/detectors/related_work_consistency/csfpr_rtdetr/csfpr_rtdetr_img1280_seed123"
"2026-06-23T13:35:31+09:00","CSFPR-RTDETR","2026","VisDrone 1280 train/val, scratch, 100e, patience=5","FINISHED","outputs/detectors/related_work_consistency/csfpr_rtdetr/csfpr_rtdetr_img1280_seed2026"
