metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
best_AP,YOLOv8s,YOLO,v8,v8,small,small,small,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,"42,123,2026",3,preliminary,0.33286666666666664,0.3020833333333333,-0.03078333333333333,-2.668481068142938,0.11641594735667916,0.0,0.25
best_AP,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.33286666666666664,0.2876633333333333,-0.04520333333333334,-49.42855029107017,0.0004090512434971003,0.0,0.25
best_AP,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv11s,YOLO,v11,v11,small,small,small,"42,123,2026",3,preliminary,0.33286666666666664,0.32620333333333335,-0.006663333333333317,-3.1140660675425864,0.08949357874689796,0.0,0.25
best_AP,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv12n,YOLO,v12,v12,nano,nano,nano,"42,123,2026",3,preliminary,0.33286666666666664,0.29375666666666667,-0.03911,-18.091300609286378,0.0030414143655870325,0.0,0.25
best_AP,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv12s,YOLO,v12,v12,small,small,small,"42,123,2026",3,preliminary,0.33286666666666664,0.33218333333333333,-0.0006833333333333321,-0.3589911884782825,0.7539582874730404,2.0,0.75
best_AP,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv8n,YOLO,v8,v8,nano,nano,nano,"42,123,2026",3,preliminary,0.33286666666666664,0.2924733333333333,-0.04039333333333334,-17.464358850208324,0.0032626106673641466,0.0,0.25
best_AP50,YOLOv8s,YOLO,v8,v8,small,small,small,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,"42,123,2026",3,preliminary,0.54006,0.5137233333333333,-0.026336666666666713,-2.976797762518057,0.096750088625686,0.0,0.25
best_AP50,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.54006,0.47503,-0.06503000000000002,-40.387149665272574,0.000612511763743186,0.0,0.25
best_AP50,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv11s,YOLO,v11,v11,small,small,small,"42,123,2026",3,preliminary,0.54006,0.5283666666666667,-0.01169333333333337,-3.8309889553426553,0.061879225067573734,0.0,0.25
best_AP50,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv12n,YOLO,v12,v12,nano,nano,nano,"42,123,2026",3,preliminary,0.54006,0.48390333333333335,-0.05615666666666669,-17.883311339091343,0.003112239379151868,0.0,0.25
best_AP50,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv12s,YOLO,v12,v12,small,small,small,"42,123,2026",3,preliminary,0.54006,0.53857,-0.0014899999999999913,-0.8250280227583764,0.4960970247454233,2.0,0.75
best_AP50,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv8n,YOLO,v8,v8,nano,nano,nano,"42,123,2026",3,preliminary,0.54006,0.48124,-0.05882000000000002,-18.742466647848843,0.0028346330652764093,0.0,0.25
best_recall,YOLOv8s,YOLO,v8,v8,small,small,small,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,"42,123,2026",3,preliminary,0.53179,0.5294866666666667,-0.002303333333333398,-0.2350690035149725,0.8360308096635769,3.0,1.0
best_recall,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.53179,0.4698966666666667,-0.061893333333333335,-21.28463642945369,0.002200049646111247,0.0,0.25
best_recall,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv11s,YOLO,v11,v11,small,small,small,"42,123,2026",3,preliminary,0.53179,0.5161566666666666,-0.015633333333333388,-4.065045212268914,0.055523736508710266,0.0,0.25
best_recall,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv12n,YOLO,v12,v12,nano,nano,nano,"42,123,2026",3,preliminary,0.53179,0.47756333333333334,-0.05422666666666668,-16.277671810436757,0.0037528851301320025,0.0,0.25
best_recall,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv12s,YOLO,v12,v12,small,small,small,"42,123,2026",3,preliminary,0.53179,0.5267833333333333,-0.005006666666666715,-1.5903977921272718,0.2527135670823758,1.0,0.5
best_recall,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv8n,YOLO,v8,v8,nano,nano,nano,"42,123,2026",3,preliminary,0.53179,0.4724466666666667,-0.05934333333333336,-9.486892530661198,0.010929154939455092,0.0,0.25
best_F1,YOLOv8s,YOLO,v8,v8,small,small,small,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,"42,123,2026",3,preliminary,0.576808899435321,0.5634731244110176,-0.01333577502430335,-3.843350847468908,0.061517722532506966,0.0,0.25
best_F1,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.576808899435321,0.5217298866445906,-0.05507901279073035,-19.131979063279715,0.002720851949005471,0.0,0.25
best_F1,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv11s,YOLO,v11,v11,small,small,small,"42,123,2026",3,preliminary,0.576808899435321,0.5682324960061548,-0.008576403429166176,-3.158535517358602,0.08730938141074907,0.0,0.25
best_F1,YOLOv8s,YOLO,v8,v8,small,small,small,YOLOv12n,YOLO,v12,v12,nano,nano,nano,"42,123,2026",3,preliminary,0.576808899435321,0.5293836404802507,-0.047425258955070326,-28.54425071836732,0.0012250789199465626,0.0,0.25
