method,model,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv8n,yolov8n.pt,YOLO,yolo,v8,v8,true,nano,nano,nano,nano,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_190824_yolov8n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_190824_yolov8n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_190824_yolov8n_visdrone_seed123/ultralytics/weights/best.pt,73.0,0.29107,0.47839,,,0.58874,0.46571,0.5200476179999052,100.0,0.28882,0.47765,,,0.58103,0.47443,0.5223467737289903,0.8677829512170963,,,3012798,8.2
YOLOv8n,yolov8n.pt,YOLO,yolo,v8,v8,true,nano,nano,nano,nano,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_190824_yolov8n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_190824_yolov8n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_190824_yolov8n_visdrone_seed42/ultralytics/weights/best.pt,90.0,0.29251,0.48196,,,0.59647,0.46967,0.5255296019284521,100.0,0.2912,0.47985,,,0.58191,0.47461,0.5228113146935223,0.8728629106318351,,,3012798,8.2
YOLOv8n,yolov8n.pt,YOLO,yolo,v8,v8,true,nano,nano,nano,nano,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_212013_yolov8n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_212013_yolov8n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_212013_yolov8n_visdrone_seed2026/ultralytics/weights/best.pt,90.0,0.29384,0.48337,,,0.58663,0.48196,0.5291687079235254,100.0,0.29126,0.48013,,,0.57701,0.48229,0.5254151853110546,0.8695389049079966,,,3012798,8.2
YOLOv8s,yolov8s.pt,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_212013_yolov8s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_212013_yolov8s_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_212013_yolov8s_visdrone_seed42/ultralytics/weights/best.pt,71.0,0.33009,0.53639,,,0.62616,0.53256,0.5755795526097763,100.0,0.3205,0.52308,,,0.61237,0.52693,0.5664462812253138,0.8799828192380417,,,11139470,28.7
YOLOv8s,yolov8s.pt,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_232538_yolov8s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_232538_yolov8s_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_232538_yolov8s_visdrone_seed123/ultralytics/weights/best.pt,55.0,0.33605,0.54329,,,0.63114,0.53367,0.5783269096247456,100.0,0.32353,0.52753,,,0.63273,0.52269,0.57247,0.8880531839195772,,,11139470,28.7
YOLOv8s,yolov8s.pt,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_235625_yolov8s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_235625_yolov8s_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_235625_yolov8s_visdrone_seed2026/ultralytics/weights/best.pt,62.0,0.33246,0.5405,,,0.63322,0.52914,0.5765202360714409,100.0,0.32165,0.52457,,,0.62187,0.52174,0.5674215052334275,0.8874936276070005,,,11139470,28.7
YOLOv11n,yolo11n.pt,YOLO,yolo,v11,v11,true,nano,nano,nano,nano,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_015654_yolo11n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_015654_yolo11n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_015654_yolo11n_visdrone_seed42/ultralytics/weights/best.pt,78.0,0.28671,0.47073,,,0.57961,0.46499,0.5160115908481716,100.0,0.28252,0.46474,,,0.58004,0.46483,0.5160833274952865,0.8666369563902885,,,2591790,6.5
YOLOv11n,yolo11n.pt,YOLO,yolo,v11,v11,true,nano,nano,nano,nano,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_023108_yolo11n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_023108_yolo11n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_023108_yolo11n_visdrone_seed123/ultralytics/weights/best.pt,89.0,0.29006,0.48131,,,0.59476,0.47571,0.5286150561902715,100.0,0.28629,0.47377,,,0.59218,0.46786,0.522729962642919,0.8707009603846245,,,2591790,6.5
YOLOv11n,yolo11n.pt,YOLO,yolo,v11,v11,true,nano,nano,nano,nano,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_041939_yolo11n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_041939_yolo11n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_041939_yolo11n_visdrone_seed2026/ultralytics/weights/best.pt,90.0,0.28622,0.47305,,,0.58488,0.46899,0.5205630128953287,100.0,0.28265,0.46682,,,0.5885,0.45981,0.5162560406749911,0.8699253746639242,,,2591790,6.5
YOLOv11s,yolo11s.pt,YOLO,yolo,v11,v11,true,small,small,small,small,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_045333_yolo11s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_045333_yolo11s_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_045333_yolo11s_visdrone_seed42/ultralytics/weights/best.pt,62.0,0.32734,0.53006,,,0.62332,0.5224,0.5684152637642705,100.0,0.31317,0.51162,,,0.62037,0.50705,0.5580149518369375,0.884086597500079,,,9431662,21.6
YOLOv11s,yolo11s.pt,YOLO,yolo,v11,v11,true,small,small,small,small,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_063726_yolo11s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_063726_yolo11s_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_063726_yolo11s_visdrone_seed123/ultralytics/weights/best.pt,43.0,0.32593,0.52639,,,0.6311,0.51062,0.5645031741582875,100.0,0.31033,0.50617,,,0.61834,0.5057,0.556376175225081,0.8853984447409982,,,9431662,21.6
YOLOv11s,yolo11s.pt,YOLO,yolo,v11,v11,true,small,small,small,small,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_074115_yolo11s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_074115_yolo11s_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_074115_yolo11s_visdrone_seed2026/ultralytics/weights/best.pt,59.0,0.32534,0.52865,,,0.64193,0.51545,0.5717790500959062,100.0,0.31008,0.51074,,,0.62954,0.50151,0.5582787770655585,0.8866268032357925,,,9431662,21.6
YOLOv12n,yolo12n.pt,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_092107_yolo12n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_092107_yolo12n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_092107_yolo12n_visdrone_seed42/ultralytics/weights/best.pt,59.0,0.29247,0.48103,,,0.59751,0.47258,0.5277523868085862,100.0,0.28362,0.4715,,,0.57277,0.47741,0.520760490011236,0.8743640879461282,,,2569998,6.5
YOLOv12n,yolo12n.pt,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_102503_yolo12n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_102503_yolo12n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_102503_yolo12n_visdrone_seed123/ultralytics/weights/best.pt,65.0,0.29268,0.48134,,,0.58816,0.47941,0.5282459896774919,100.0,0.28627,0.47521,,,0.58188,0.47177,0.521071565700185,0.876523001646641,,,2569998,6.5
YOLOv12n,yolo12n.pt,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_130024_yolo12n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_130024_yolo12n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_130024_yolo12n_visdrone_seed2026/ultralytics/weights/best.pt,74.0,0.29612,0.48934,,,0.59594,0.4807,0.5321525449546738,100.0,0.29,0.48129,,,0.5873,0.48159,0.529217799773597,0.8763672907680065,,,2569998,6.5
YOLOv12s,yolo12s.pt,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_140628_yolo12s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_140628_yolo12s_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_140628_yolo12s_visdrone_seed42/ultralytics/weights/best.pt,53.0,0.33282,0.53785,,,0.63224,0.52557,0.5739912020106926,100.0,0.31057,0.50983,,,0.62039,0.50987,0.5597265218622264,0.8895311706201898,,,9257006,21.5
YOLOv12s,yolo12s.pt,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_163722_yolo12s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_163722_yolo12s_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_163722_yolo12s_visdrone_seed123/ultralytics/weights/best.pt,46.0,0.3322,0.53852,,,0.63114,0.52448,0.5728878129488932,100.0,0.31176,0.5095,,,0.61272,0.51764,0.5611811826320818,0.8880660752878985,,,9257006,21.5
YOLOv12s,yolo12s.pt,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_194708_yolo12s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_194708_yolo12s_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_194708_yolo12s_visdrone_seed2026/ultralytics/weights/best.pt,60.0,0.33153,0.53934,,,0.63895,0.5303,0.5795769681419713,100.0,0.31304,0.51349,,,0.63166,0.51209,0.5656249519562841,0.8905663935717305,,,9257006,21.5
RT-DETR-L,rtdetr-l.pt,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,42,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_221147_rtdetr-l_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_221147_rtdetr-l_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_221147_rtdetr-l_visdrone_seed42/ultralytics/weights/best.pt,1.0,0.10494,0.18777,,,0.5194,0.24353,0.3315886962106615,3.0,0.0552,0.16073,,,0.32336,0.20907,0.2539484071145503,,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,123,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_012653_rtdetr-l_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_012653_rtdetr-l_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_012653_rtdetr-l_visdrone_seed123/ultralytics/weights/best.pt,1.0,0.13901,0.2379,,,0.4381,0.28329,0.34408391854614007,1.0,0.13901,0.2379,,,0.4381,0.28329,0.34408391854614007,,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123/ultralytics/weights/best.pt,100.0,0.28292,0.50042,,,0.61057,0.51838,0.5607108846273086,100.0,0.28292,0.50042,,,0.61057,0.51838,0.5607108846273086,0.8904800250215535,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42/ultralytics/weights/best.pt,62.0,0.30551,0.51286,,,0.60046,0.52404,0.5596532830591374,100.0,0.15235,0.34992,,,0.50789,0.38447,0.43764504975570395,0.8898405635471152,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026/ultralytics/weights/best.pt,83.0,0.31782,0.52789,,,0.59628,0.54604,0.5700552055466068,100.0,0.31015,0.52543,,,0.60353,0.53658,0.5680892675268175,0.8986826370064556,,,32826626,108.0
YOLOv8s,yolov8s.pt,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,7,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144832_yolov8s_visdrone_seed7,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144832_yolov8s_visdrone_seed7/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144832_yolov8s_visdrone_seed7/ultralytics/weights/best.pt,15.0,0.30173,0.4971,,,0.59329,0.48661,0.5346807054356885,15.0,0.30173,0.4971,,,0.59329,0.48661,0.5346807054356885,,,,11139470,28.7
YOLOv8s,yolov8s.pt,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,3407,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144833_yolov8s_visdrone_seed3407,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144833_yolov8s_visdrone_seed3407/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144833_yolov8s_visdrone_seed3407/ultralytics/weights/best.pt,14.0,0.30197,0.49931,,,0.58738,0.49572,0.5376715235896963,15.0,0.3,0.4934,,,0.60353,0.47868,0.5339032912281351,,,,11139470,28.7
