method,model,base_model,ablation,proposed_module,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed_count,seeds,analysis_level,best_AP_mean,best_AP_std,best_AP_n,best_AP_mean_std,best_AP50_mean,best_AP50_std,best_AP50_n,best_AP50_mean_std,best_precision_mean,best_precision_std,best_precision_n,best_precision_mean_std,best_recall_mean,best_recall_std,best_recall_n,best_recall_mean_std,best_F1_mean,best_F1_std,best_F1_n,best_F1_mean_std,ROC-AUC_mean,ROC-AUC_std,ROC-AUC_n,ROC-AUC_mean_std,Params_mean,Params_std,Params_n,Params_mean_std,GFLOPs_mean,GFLOPs_std,GFLOPs_n,GFLOPs_mean_std
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,implemented,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,1,2026,preliminary,0.31858,0.0,1,0.3186 +/- 0.0000,0.52791,0.0,1,0.5279 +/- 0.0000,0.61267,0.0,1,0.6127 +/- 0.0000,0.53818,0.0,1,0.5382 +/- 0.0000,0.5730142774471043,0.0,1,0.5730 +/- 0.0000,0.8948188612600042,0.0,1,0.8948 +/- 0.0000,32826626.0,0.0,1,32826626.0000 +/- 0.0000,108.0,0.0,1,108.0000 +/- 0.0000
YOLOv10m,yolov10m.pt,yolov10m.pt,,,false,implemented,YOLO,yolo,v10,v10,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.35393,0.0020154652068443218,3,0.3539 +/- 0.0020,0.5674566666666667,0.0028464070919903867,3,0.5675 +/- 0.0028,0.6431033333333334,0.005959147030685952,3,0.6431 +/- 0.0060,0.5572566666666666,0.0005139390365922155,3,0.5573 +/- 0.0005,0.5971016779081006,0.0025910212750778904,3,0.5971 +/- 0.0026,0.9016888023930508,0.003745580119390383,3,0.9017 +/- 0.0037,16495708.0,0.0,3,16495708.0000 +/- 0.0000,64.0,0.0,3,64.0000 +/- 0.0000
YOLOv10n,yolov10n.pt,yolov10n.pt,,,false,implemented,YOLO,yolo,v10,v10,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.28382666666666667,0.0015573802789727977,3,0.2838 +/- 0.0016,0.46659666666666666,0.00208835661067102,3,0.4666 +/- 0.0021,0.5666533333333333,0.0051320983362882966,3,0.5667 +/- 0.0051,0.4697233333333333,0.00374456049935547,3,0.4697 +/- 0.0037,0.5136395181913519,0.002564890390888268,3,0.5136 +/- 0.0026,0.883447318173801,0.0020374583348661537,3,0.8834 +/- 0.0020,2710940.0,0.0,3,2710940.0000 +/- 0.0000,8.4,0.0,3,8.4000 +/- 0.0000
YOLOv10s,yolov10s.pt,yolov10s.pt,,,false,implemented,YOLO,yolo,v10,v10,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3247833333333333,0.0020139099615755843,3,0.3248 +/- 0.0020,0.5260033333333334,0.0011600143677271359,3,0.5260 +/- 0.0012,0.6238666666666667,0.002171550905075299,3,0.6239 +/- 0.0022,0.5138566666666666,0.002516988941837711,3,0.5139 +/- 0.0025,0.5635384141802381,0.0014037547647434568,3,0.5635 +/- 0.0014,0.8953281529925501,0.0022844373018741423,3,0.8953 +/- 0.0023,8074092.0,0.0,3,8074092.0000 +/- 0.0000,24.8,0.0,3,24.8000 +/- 0.0000
YOLOv11n,yolo11n.pt,yolo11n.pt,,,false,implemented,YOLO,yolo,v11,v11,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.2876633333333333,0.0020899840509758234,3,0.2877 +/- 0.0021,0.47503,0.005560971138209596,3,0.4750 +/- 0.0056,0.5864166666666666,0.0076910099033438584,3,0.5864 +/- 0.0077,0.4698966666666667,0.005417207152521803,3,0.4699 +/- 0.0054,0.5217298866445906,0.006382243368707875,3,0.5217 +/- 0.0064,0.8690877638129457,0.0021575972909123812,3,0.8691 +/- 0.0022,2591790.0,0.0,3,2591790.0000 +/- 0.0000,6.5,0.0,3,6.5000 +/- 0.0000
YOLOv11s,yolo11s.pt,yolo11s.pt,,,false,implemented,YOLO,yolo,v11,v11,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.32620333333333335,0.0010276348248932307,3,0.3262 +/- 0.0010,0.5283666666666667,0.0018513328531988057,3,0.5284 +/- 0.0019,0.6321166666666667,0.00934656264801844,3,0.6321 +/- 0.0093,0.5161566666666666,0.005921708649818345,3,0.5162 +/- 0.0059,0.5682324960061548,0.0036413796430693228,3,0.5682 +/- 0.0036,0.8853706151589565,0.001270331515457811,3,0.8854 +/- 0.0013,9431662.0,0.0,3,9431662.0000 +/- 0.0000,21.6,0.0,3,21.6000 +/- 0.0000
YOLOv12m,yolo12m.pt,yolo12m.pt,,,false,implemented,YOLO,yolo,v12,v12,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3668766666666667,0.0008511364951248007,3,0.3669 +/- 0.0009,0.58482,0.0032546121120649433,3,0.5848 +/- 0.0033,0.6645866666666667,0.005915119046421054,3,0.6646 +/- 0.0059,0.56939,0.00150771350063598,3,0.5694 +/- 0.0015,0.6133048513601007,0.0021690074169235336,3,0.6133 +/- 0.0022,0.8967115412003545,0.003605623569524866,3,0.8967 +/- 0.0036,20145198.0,0.0,3,20145198.0000 +/- 0.0000,67.8,0.0,3,67.8000 +/- 0.0000
YOLOv12n,yolo12n.pt,yolo12n.pt,,,false,implemented,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.29375666666666667,0.002049398285676387,3,0.2938 +/- 0.0020,0.48390333333333335,0.004710842104479125,3,0.4839 +/- 0.0047,0.59387,0.005006925204154733,3,0.5939 +/- 0.0050,0.47756333333333334,0.004363626167917388,3,0.4776 +/- 0.0044,0.5293836404802507,0.0024106088316872294,3,0.5294 +/- 0.0024,0.8757514601202585,0.0012040193651244476,3,0.8758 +/- 0.0012,2569998.0,0.0,3,2569998.0000 +/- 0.0000,6.5,0.0,3,6.5000 +/- 0.0000
YOLOv12s,yolo12s.pt,yolo12s.pt,,,false,implemented,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.33218333333333333,0.0006451614784946029,3,0.3322 +/- 0.0006,0.53857,0.0007462573282722226,3,0.5386 +/- 0.0007,0.6341100000000001,0.004227493347126633,3,0.6341 +/- 0.0042,0.5267833333333333,0.0030939026056638333,3,0.5268 +/- 0.0031,0.5754853277005191,0.003586155041548043,3,0.5755 +/- 0.0036,0.8893878798266063,0.0012563029366997917,3,0.8894 +/- 0.0013,9257006.0,0.0,3,9257006.0000 +/- 0.0000,21.5,0.0,3,21.5000 +/- 0.0000
YOLOv26n,yolo26n.pt,yolo26n.pt,,,false,implemented,YOLO,yolo,v26,v26,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.2838333333333333,0.00027300793639257613,3,0.2838 +/- 0.0003,0.46676666666666666,0.0010869375940381063,3,0.4668 +/- 0.0011,0.5780433333333334,0.006115826463637892,3,0.5780 +/- 0.0061,0.4625033333333333,0.0031347142347163508,3,0.4625 +/- 0.0031,0.513838825611535,0.0021207039477955723,3,0.5138 +/- 0.0021,0.8791166532703868,0.006648447729778636,3,0.8791 +/- 0.0066,2507700.0,0.0,3,2507700.0000 +/- 0.0000,5.8,0.0,3,5.8000 +/- 0.0000
