dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,ProposedTop3-SE-yolo12m,YOLO,v12,v12,medium,medium,medium,42,1,preliminary,0.36746,0.36436,-0.0030999999999999917,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,2026,1,preliminary,0.36727,0.31858,-0.04869000000000001,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10m,YOLO,v10,v10,medium,medium,medium,"42,123,2026",3,preliminary,0.3668766666666667,0.35393,-0.012946666666666662,-9.11696899785947,0.011818074691067335,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10n,YOLO,v10,v10,nano,nano,nano,"42,123,2026",3,preliminary,0.3668766666666667,0.28382666666666667,-0.08305,-95.86380086280884,0.00010879772941243156,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10s,YOLO,v10,v10,small,small,small,"42,123,2026",3,preliminary,0.3668766666666667,0.3247833333333333,-0.04209333333333334,-39.461921948736496,0.0006415425254842426,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.3668766666666667,0.2876633333333333,-0.07921333333333334,-46.90264172927795,0.00045426511358699254,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv11s,YOLO,v11,v11,small,small,small,"42,123,2026",3,preliminary,0.3668766666666667,0.32620333333333335,-0.04067333333333332,-64.57892779308493,0.000239696763173968,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv12n,YOLO,v12,v12,nano,nano,nano,"42,123,2026",3,preliminary,0.3668766666666667,0.29375666666666667,-0.07312,-65.89527017939086,0.0002302191888985028,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv12s,YOLO,v12,v12,small,small,small,"42,123,2026",3,preliminary,0.3668766666666667,0.33218333333333333,-0.03469333333333333,-58.852061661299864,0.00028859486737891103,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv26n,YOLO,v26,v26,nano,nano,nano,"42,123,2026",3,preliminary,0.3668766666666667,0.2838333333333333,-0.08304333333333334,-248.7943540303665,1.6155054769907943e-05,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv26s,YOLO,v26,v26,small,small,small,"42,123,2026",3,preliminary,0.3668766666666667,0.3229033333333333,-0.04397333333333333,-35.08547864204054,0.0008113652087959894,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv5su,YOLO,v5,v5,small,small,small,"42,123,2026",3,preliminary,0.3668766666666667,0.32787666666666665,-0.039,-23.947119664176423,0.0017392390086010939,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv8n,YOLO,v8,v8,nano,nano,nano,"42,123,2026",3,preliminary,0.3668766666666667,0.2924733333333333,-0.07440333333333334,-152.4977259897284,4.299770279976782e-05,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv8s,YOLO,v8,v8,small,small,small,"42,123,2026",3,preliminary,0.3668766666666667,0.33286666666666664,-0.034010000000000006,-15.407395205000201,0.0041860834959975375,0.0,0.25
VisDrone2019-DET,best_AP,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv9s,YOLO,v9,v9,small,small,small,"42,123,2026",3,preliminary,0.3668766666666667,0.3433466666666667,-0.023529999999999995,-36.1771734823992,0.0007631911735103326,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,ProposedTop3-SE-yolo12m,YOLO,v12,v12,medium,medium,medium,42,1,preliminary,0.58817,0.58038,-0.007789999999999964,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,2026,1,preliminary,0.58167,0.52791,-0.05376000000000003,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10m,YOLO,v10,v10,medium,medium,medium,"42,123,2026",3,preliminary,0.58482,0.5674566666666667,-0.017363333333333324,-4.98344331859406,0.03798666601365641,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10n,YOLO,v10,v10,nano,nano,nano,"42,123,2026",3,preliminary,0.58482,0.46659666666666666,-0.11822333333333335,-175.57275379154012,3.2438788471986185e-05,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10s,YOLO,v10,v10,small,small,small,"42,123,2026",3,preliminary,0.58482,0.5260033333333334,-0.05881666666666666,-45.5585866521155,0.00048144401683601526,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.58482,0.47503,-0.10979,-26.643428263459324,0.001405734433378711,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv11s,YOLO,v11,v11,small,small,small,"42,123,2026",3,preliminary,0.58482,0.5283666666666667,-0.056453333333333355,-32.878743438813444,0.0009237776817275238,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv12n,YOLO,v12,v12,nano,nano,nano,"42,123,2026",3,preliminary,0.58482,0.48390333333333335,-0.10091666666666667,-22.75164286187398,0.001926274646857139,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv12s,YOLO,v12,v12,small,small,small,"42,123,2026",3,preliminary,0.58482,0.53857,-0.04624999999999998,-20.041310008749296,0.00248044487958578,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv26n,YOLO,v26,v26,nano,nano,nano,"42,123,2026",3,preliminary,0.58482,0.46676666666666666,-0.11805333333333333,-90.00232332693339,0.00012342756105396987,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv26s,YOLO,v26,v26,small,small,small,"42,123,2026",3,preliminary,0.58482,0.5229366666666667,-0.061883333333333325,-24.339363389355572,0.0016837732730094058,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv5su,YOLO,v5,v5,small,small,small,"42,123,2026",3,preliminary,0.58482,0.5330533333333334,-0.05176666666666666,-13.013968511277756,0.005852679547799799,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv8n,YOLO,v8,v8,nano,nano,nano,"42,123,2026",3,preliminary,0.58482,0.48124,-0.10358,-39.23475466141584,0.0006489857798347207,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv8s,YOLO,v8,v8,small,small,small,"42,123,2026",3,preliminary,0.58482,0.54006,-0.04475999999999999,-12.751032823358521,0.006094316501730581,0.0,0.25
VisDrone2019-DET,best_AP50,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv9s,YOLO,v9,v9,small,small,small,"42,123,2026",3,preliminary,0.58482,0.5544333333333333,-0.030386666666666673,-14.834810328768727,0.004513236873182167,0.0,0.25
VisDrone2019-DET,best_recall,YOLOv12m,YOLO,v12,v12,medium,medium,medium,ProposedTop3-SE-yolo12m,YOLO,v12,v12,medium,medium,medium,42,1,preliminary,0.56765,0.56988,0.0022300000000000653,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,YOLOv12m,YOLO,v12,v12,medium,medium,medium,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,2026,1,preliminary,0.57031,0.53818,-0.03212999999999999,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10m,YOLO,v10,v10,medium,medium,medium,"42,123,2026",3,preliminary,0.56939,0.5572566666666666,-0.012133333333333366,-15.5176268559117,0.00412718823149353,0.0,0.25
VisDrone2019-DET,best_recall,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10n,YOLO,v10,v10,nano,nano,nano,"42,123,2026",3,preliminary,0.56939,0.4697233333333333,-0.09966666666666667,-32.95831031326778,0.0009193288994034902,0.0,0.25
VisDrone2019-DET,best_recall,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv10s,YOLO,v10,v10,small,small,small,"42,123,2026",3,preliminary,0.56939,0.5138566666666666,-0.05553333333333332,-46.34523487063624,0.0004652502973663557,0.0,0.25
VisDrone2019-DET,best_recall,YOLOv12m,YOLO,v12,v12,medium,medium,medium,YOLOv11n,YOLO,v11,v11,nano,nano,nano,"42,123,2026",3,preliminary,0.56939,0.4698966666666667,-0.09949333333333331,-39.38059876307125,0.0006441923428159235,0.0,0.25
