method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv10s,yolov10s.pt,yolov10s.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_131805_yolov10s_visdrone_fresh_fresh_20260519_131739_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_131805_yolov10s_visdrone_fresh_fresh_20260519_131739_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_131805_yolov10s_visdrone_fresh_fresh_20260519_131739_seed123/ultralytics/weights/best.pt,44.0,0.3241,0.52541,,,0.62637,0.51252,0.5637544493322445,100.0,0.30948,0.50773,,,0.61696,0.51202,0.5596128526634663,0.8927203645654908,,,8074092,24.8
YOLOv10s,yolov10s.pt,yolov10s.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_131805_yolov10s_visdrone_fresh_fresh_20260519_131739_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_131805_yolov10s_visdrone_fresh_fresh_20260519_131739_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_131805_yolov10s_visdrone_fresh_fresh_20260519_131739_seed42/ultralytics/weights/best.pt,41.0,0.32705,0.52734,,,0.62249,0.51229,0.5620391654770087,100.0,0.30636,0.50087,,,0.61471,0.50007,0.5514954155976964,0.896288196328568,,,8074092,24.8
YOLOv10n,yolov10n.pt,yolov10n.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_164707_yolov10n_visdrone_fresh_fresh_20260519_131739_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_164707_yolov10n_visdrone_fresh_fresh_20260519_131739_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_164707_yolov10n_visdrone_fresh_fresh_20260519_131739_seed42/ultralytics/weights/best.pt,80.0,0.28555,0.46875,,,0.56563,0.47401,0.5157829177407564,100.0,0.28066,0.46509,,,0.57038,0.46829,0.5143178299171055,0.8810995247196056,,,2710940,8.4
YOLOv10s,yolov10s.pt,yolov10s.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_164721_yolov10s_visdrone_fresh_fresh_20260519_131739_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_164721_yolov10s_visdrone_fresh_fresh_20260519_131739_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_164721_yolov10s_visdrone_fresh_fresh_20260519_131739_seed2026/ultralytics/weights/best.pt,63.0,0.3232,0.52526,,,0.62274,0.51676,0.5648216277314612,100.0,0.31028,0.50897,,,0.62505,0.50711,0.5599369444248163,0.8969758980835915,,,8074092,24.8
YOLOv10n,yolov10n.pt,yolov10n.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_194055_yolov10n_visdrone_fresh_fresh_20260519_131739_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_194055_yolov10n_visdrone_fresh_fresh_20260519_131739_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_194055_yolov10n_visdrone_fresh_fresh_20260519_131739_seed2026/ultralytics/weights/best.pt,77.0,0.28252,0.46458,,,0.56211,0.46807,0.510797778446485,100.0,0.27909,0.46019,,,0.566,0.4596,0.5072808112324493,0.8844903107808582,,,2710940,8.4
YOLOv10n,yolov10n.pt,yolov10n.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_201924_yolov10n_visdrone_fresh_fresh_20260519_131739_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_201924_yolov10n_visdrone_fresh_fresh_20260519_131739_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_201924_yolov10n_visdrone_fresh_fresh_20260519_131739_seed123/ultralytics/weights/best.pt,75.0,0.28341,0.46646,,,0.57222,0.46709,0.5143378583868143,100.0,0.27901,0.46014,,,0.57546,0.46044,0.5115644413553431,0.8847521190209392,,,2710940,8.4
YOLOv9s,yolov9s.pt,yolov9s.pt,,,,false,implemented,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_224020_yolov9s_visdrone_fresh_fresh_20260519_131739_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_224020_yolov9s_visdrone_fresh_fresh_20260519_131739_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_224020_yolov9s_visdrone_fresh_fresh_20260519_131739_seed123/ultralytics/weights/best.pt,86.0,0.34366,0.55407,,,0.6376,0.54743,0.5890844417440909,100.0,0.33906,0.54845,,,0.63278,0.54017,0.5828189992753314,0.888693306390517,,,7291278,27.4
YOLOv9s,yolov9s.pt,yolov9s.pt,,,,false,implemented,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_231530_yolov9s_visdrone_fresh_fresh_20260519_131739_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_231530_yolov9s_visdrone_fresh_fresh_20260519_131739_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260519_231530_yolov9s_visdrone_fresh_fresh_20260519_131739_seed42/ultralytics/weights/best.pt,67.0,0.34314,0.55432,,,0.62694,0.54673,0.5840941767277004,100.0,0.33436,0.54422,,,0.62961,0.53852,0.5805134312105673,0.8870378649497651,,,7291278,27.4
YOLOv5su,yolov5su.pt,yolov5su.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260520_023727_yolov5su_visdrone_fresh_fresh_20260519_131739_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260520_023727_yolov5su_visdrone_fresh_fresh_20260519_131739_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260520_023727_yolov5su_visdrone_fresh_fresh_20260519_131739_seed42/ultralytics/weights/best.pt,60.0,0.32534,0.52851,,,0.62289,0.52101,0.5674130936270654,100.0,0.31898,0.52183,,,0.62544,0.51601,0.5654795118489641,0.8818966160051976,,,9126062,24.1
YOLOv9s,yolov9s.pt,yolov9s.pt,,,,false,implemented,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260520_031305_yolov9s_visdrone_fresh_fresh_20260519_131739_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260520_031305_yolov9s_visdrone_fresh_fresh_20260519_131739_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131739/20260520_031305_yolov9s_visdrone_fresh_fresh_20260519_131739_seed2026/ultralytics/weights/best.pt,70.0,0.34324,0.55491,,,0.64418,0.54025,0.5876552350075565,100.0,0.33672,0.54684,,,0.63261,0.53718,0.5810024701869567,0.889162880051612,,,7291278,27.4
