dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-CBAMTinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.38168,0.37497,-0.006709999999999994,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-P2FullLight-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.38168,0.38077,-0.0009100000000000219,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-TinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.38168,0.37702,-0.0046599999999999975,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2SlimTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.38168,0.37919,-0.0024899999999999922,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2SlimWaveTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.38168,0.37731,-0.0043700000000000405,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,"42,123,2026",3,preliminary,0.3823166666666667,0.3200733333333333,-0.06224333333333334,-2.717091016131356,0.11296048792175307,0.0,0.25
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv10l,YOLO,v10,v10,large,medium,medium,"42,123,2026",3,preliminary,0.3823166666666667,0.3727833333333333,-0.009533333333333357,-6.4959245489324475,0.022887879298558872,0.0,0.25
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv11l,YOLO,v11,v11,large,medium,medium,"42,123,2026",3,preliminary,0.3823166666666667,0.3776566666666667,-0.0046599999999999975,-23.708540853556023,0.0017743254438063634,0.0,0.25
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv12l,YOLO,v12,v12,large,medium,medium,"42,123,2026",3,preliminary,0.3823166666666667,0.37710333333333335,-0.005213333333333329,-6.526475080335857,0.022681321606387004,0.0,0.25
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv26l,YOLO,v26,v26,large,medium,medium,"42,123,2026",3,preliminary,0.3823166666666667,0.37317666666666666,-0.00914,-7.046352368580177,0.01955181549602391,0.0,0.25
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv8l,YOLO,v8,v8,large,large,large,"42,123,2026",3,preliminary,0.3823166666666667,0.37654333333333334,-0.005773333333333334,-15.877885120575613,0.003943120515355457,0.0,0.25
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-CBAMTinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.60305,0.59561,-0.007440000000000002,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-P2FullLight-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.60305,0.60442,0.0013699999999999823,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-TinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.60305,0.5963,-0.006749999999999923,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2SlimTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.60305,0.60009,-0.0029599999999999627,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2SlimWaveTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.60305,0.59947,-0.0035800000000000276,nan,nan,0.0,1.0
