method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv8l,yolov8l.pt,yolov8l.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,large,large,large,large,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_021454_yolov8l_visdrone_large_fresh_large_20260524_140922_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_021454_yolov8l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_021454_yolov8l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/weights/best.pt,46.0,0.3766,0.5961,,,0.66698,0.57829,0.619476682486529,100.0,0.35475,0.5689,,,0.65501,0.565,0.6066846173392022,0.8975100109656069,,,43637550,165.4
YOLOv8l,yolov8l.pt,yolov8l.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,large,large,large,large,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_085637_yolov8l_visdrone_large_fresh_large_20260524_140922_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_085637_yolov8l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_085637_yolov8l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/weights/best.pt,51.0,0.37679,0.59716,,,0.66583,0.58088,0.6204607814166887,100.0,0.35132,0.56515,,,0.65478,0.56334,0.6056279598069156,0.895770818997686,,,43637550,165.4
YOLOv8l,yolov8l.pt,yolov8l.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,large,large,large,large,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_153805_yolov8l_visdrone_large_fresh_large_20260524_140922_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_153805_yolov8l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_153805_yolov8l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/weights/best.pt,46.0,0.37624,0.59562,,,0.67567,0.57172,0.6193637152774993,100.0,0.35534,0.57256,,,0.65311,0.56846,0.6078520438452156,0.8931520114133056,,,43637550,165.4
YOLOv10l,yolov10l.pt,yolov10l.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_223410_yolov10l_visdrone_large_fresh_large_20260524_140922_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_223410_yolov10l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260526_223410_yolov10l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/weights/best.pt,52.0,0.37332,0.58908,,,0.66239,0.57749,0.6170332630577153,100.0,0.35263,0.5642,,,0.666,0.55855,0.6075608182597689,0.907035886946877,,,25780748,127.3
YOLOv10l,yolov10l.pt,yolov10l.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260527_084742_yolov10l_visdrone_large_fresh_large_20260524_140922_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260527_084742_yolov10l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260527_084742_yolov10l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/weights/best.pt,54.0,0.37065,0.58695,,,0.66642,0.57231,0.6157900917875566,100.0,0.34902,0.56054,,,0.67268,0.55194,0.6063578893044373,0.9052614795838337,,,25780748,127.3
YOLOv10l,yolov10l.pt,yolov10l.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260527_183709_yolov10l_visdrone_large_fresh_large_20260524_140922_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260527_183709_yolov10l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260527_183709_yolov10l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/weights/best.pt,49.0,0.37438,0.59093,,,0.67415,0.56887,0.6170515526701099,100.0,0.35227,0.56478,,,0.66814,0.55117,0.6040444576030706,0.9076822682067915,,,25780748,127.3
YOLOv11l,yolo11l.pt,yolo11l.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260528_072152_yolo11l_visdrone_large_fresh_large_20260524_140922_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260528_072152_yolo11l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260528_072152_yolo11l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/weights/best.pt,67.0,0.37732,0.59788,,,0.65461,0.59691,0.6244299013998977,100.0,0.35981,0.57652,,,0.66524,0.57802,0.6185705722053312,0.9027035657845854,,,25318190,87.3
YOLOv11l,yolo11l.pt,yolo11l.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260528_162621_yolo11l_visdrone_large_fresh_large_20260524_140922_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260528_162621_yolo11l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260528_162621_yolo11l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/weights/best.pt,53.0,0.37807,0.59926,,,0.66774,0.58815,0.625423056159377,100.0,0.35917,0.5778,,,0.66914,0.56722,0.6139790850561325,0.8991317161186865,,,25318190,87.3
YOLOv11l,yolo11l.pt,yolo11l.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260529_011625_yolo11l_visdrone_large_fresh_large_20260524_140922_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260529_011625_yolo11l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260529_011625_yolo11l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/weights/best.pt,61.0,0.37758,0.59713,,,0.67735,0.57913,0.6244010338405704,100.0,0.35889,0.57513,,,0.65947,0.57238,0.6128464319519421,0.8938899540647662,,,25318190,87.3
YOLOv12l,yolo12l.pt,yolo12l.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260529_100628_yolo12l_visdrone_large_fresh_large_20260524_140922_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260529_100628_yolo12l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260529_100628_yolo12l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/weights/best.pt,65.0,0.37597,0.59435,,,0.66956,0.58193,0.6226770502361185,100.0,0.36148,0.57497,,,0.66289,0.56911,0.6124307271103896,0.8916929024998884,,,26396814,89.4
