dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-CBAMTinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.38168,0.37497,-0.006709999999999994,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-P2FullLight-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.38168,0.38077,-0.0009100000000000219,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-TinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.38168,0.37702,-0.0046599999999999975,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,42,1,preliminary,0.38168,0.34603,-0.035650000000000015,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv10l,YOLO,v10,v10,large,medium,medium,42,1,preliminary,0.38168,0.37332,-0.008360000000000034,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv11l,YOLO,v11,v11,large,medium,medium,42,1,preliminary,0.38168,0.37732,-0.0043600000000000305,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv12l,YOLO,v12,v12,large,medium,medium,42,1,preliminary,0.38168,0.37597,-0.005709999999999993,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv26l,YOLO,v26,v26,large,medium,medium,42,1,preliminary,0.38168,0.37468,-0.007000000000000006,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv8l,YOLO,v8,v8,large,large,large,42,1,preliminary,0.38168,0.3766,-0.005080000000000029,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-CBAMTinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.60305,0.59561,-0.007440000000000002,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-P2FullLight-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.60305,0.60442,0.0013699999999999823,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-TinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.60305,0.5963,-0.006749999999999923,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,42,1,preliminary,0.60305,0.56225,-0.04079999999999995,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv10l,YOLO,v10,v10,large,medium,medium,42,1,preliminary,0.60305,0.58908,-0.013969999999999927,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv11l,YOLO,v11,v11,large,medium,medium,42,1,preliminary,0.60305,0.59788,-0.005170000000000008,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv12l,YOLO,v12,v12,large,medium,medium,42,1,preliminary,0.60305,0.59435,-0.00869999999999993,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv26l,YOLO,v26,v26,large,medium,medium,42,1,preliminary,0.60305,0.58862,-0.014429999999999943,nan,nan,0.0,1.0
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv8l,YOLO,v8,v8,large,large,large,42,1,preliminary,0.60305,0.5961,-0.006950000000000012,nan,nan,0.0,1.0
