method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed_count,seeds,analysis_level,best_AP_mean,best_AP_std,best_AP_n,best_AP_mean_std,best_AP50_mean,best_AP50_std,best_AP50_n,best_AP50_mean_std,best_precision_mean,best_precision_std,best_precision_n,best_precision_mean_std,best_recall_mean,best_recall_std,best_recall_n,best_recall_mean_std,best_F1_mean,best_F1_std,best_F1_n,best_F1_mean_std,ROC-AUC_mean,ROC-AUC_std,ROC-AUC_n,ROC-AUC_mean_std,Params_mean,Params_std,Params_n,Params_mean_std,GFLOPs_mean,GFLOPs_std,GFLOPs_n,GFLOPs_mean_std
ProposedNext-CBAMTinyFReLU-yolo11l,yolo11l.pt,yolo11l.pt,cbam_tiny_frelu,cbam_neck+tiny_frelu_neck,"cbam_neck,tiny_frelu_neck",true,implemented,YOLO,yolo,v11,v11,true,large,large,unknown,large,VisDrone2019-DET,1,42,preliminary,0.37497,0.0,1,0.3750 +/- 0.0000,0.59561,0.0,1,0.5956 +/- 0.0000,0.66633,0.0,1,0.6663 +/- 0.0000,0.58165,0.0,1,0.5817 +/- 0.0000,0.621117076395455,0.0,1,0.6211 +/- 0.0000,,,,,,,,,,,,
ProposedNext-P2FullLight-yolo11l,configs/detector/yolo11l-p2.yaml,yolo11l.pt,p2_full_light,p2_head+wavelet_stem+cbam_neck+tiny_frelu_neck,"wavelet_stem,cbam_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,42,preliminary,0.38077,0.0,1,0.3808 +/- 0.0000,0.60442,0.0,1,0.6044 +/- 0.0000,0.66147,0.0,1,0.6615 +/- 0.0000,0.5886,0.0,1,0.5886 +/- 0.0000,0.6229111041781661,0.0,1,0.6229 +/- 0.0000,,,,,,,,,,,,
ProposedNext-P2TinyFReLU-yolo11l,configs/detector/yolo11l-p2.yaml,yolo11l.pt,p2_tiny_frelu,p2_head+tiny_frelu_neck,tiny_frelu_neck,true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,1,42,preliminary,0.38168,0.0,1,0.3817 +/- 0.0000,0.60305,0.0,1,0.6030 +/- 0.0000,0.6667,0.0,1,0.6667 +/- 0.0000,0.58682,0.0,1,0.5868 +/- 0.0000,0.624214841406599,0.0,1,0.6242 +/- 0.0000,,,,,,,,,,,,
ProposedNext-TinyFReLU-yolo11l,yolo11l.pt,yolo11l.pt,tiny_frelu_neck,tiny_frelu_neck,tiny_frelu_neck,true,implemented,YOLO,yolo,v11,v11,true,large,large,unknown,large,VisDrone2019-DET,1,42,preliminary,0.37702,0.0,1,0.3770 +/- 0.0000,0.5963,0.0,1,0.5963 +/- 0.0000,0.66471,0.0,1,0.6647 +/- 0.0000,0.58532,0.0,1,0.5853 +/- 0.0000,0.62249395166516,0.0,1,0.6225 +/- 0.0000,,,,,,,,,,,,
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,,false,implemented,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3200733333333333,0.039743075287820055,3,0.3201 +/- 0.0397,0.5355,0.04503099043991817,3,0.5355 +/- 0.0450,0.61886,0.03575512690510271,3,0.6189 +/- 0.0358,0.54107,0.033983962394046996,3,0.5411 +/- 0.0340,0.5773496290950711,0.03484923322554754,3,0.5773 +/- 0.0348,0.8964592166621642,0.006696053567785781,3,0.8965 +/- 0.0067,32826626.0,0.0,3,32826626.0000 +/- 0.0000,108.0,0.0,3,108.0000 +/- 0.0000
YOLOv10l,yolov10l.pt,yolov10l.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,large,large,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3727833333333333,0.0019220388480291845,3,0.3728 +/- 0.0019,0.5889866666666667,0.0019916408645469464,3,0.5890 +/- 0.0020,0.6676533333333333,0.005976222329643812,3,0.6677 +/- 0.0060,0.57289,0.004339170427627823,3,0.5729 +/- 0.0043,0.616624969171794,0.0007230828531459045,3,0.6166 +/- 0.0007,0.906659878245834,0.001253431807760381,3,0.9067 +/- 0.0013,25780748.0,0.0,3,25780748.0000 +/- 0.0000,127.3,0.0,3,127.3000 +/- 0.0000
YOLOv11l,yolo11l.pt,yolo11l.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,large,large,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3776566666666667,0.0003808324215890004,3,0.3777 +/- 0.0004,0.59809,0.0010804165863221356,3,0.5981 +/- 0.0011,0.6665666666666666,0.011415315735157442,3,0.6666 +/- 0.0114,0.5880633333333334,0.008890316829749853,3,0.5881 +/- 0.0089,0.624751330466615,0.0005819105504566433,3,0.6248 +/- 0.0006,0.8985750786560127,0.00443309393489158,3,0.8986 +/- 0.0044,25318190.0,0.0,3,25318190.0000 +/- 0.0000,87.3,0.0,3,87.3000 +/- 0.0000
YOLOv12l,yolo12l.pt,yolo12l.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,large,large,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.37710333333333335,0.0020326665573411995,3,0.3771 +/- 0.0020,0.5958133333333333,0.0024656101340911874,3,0.5958 +/- 0.0025,0.6697866666666666,0.006802832743301348,3,0.6698 +/- 0.0068,0.5804666666666667,0.001748723343852104,3,0.5805 +/- 0.0017,0.6219200435053417,0.002328766163004046,3,0.6219 +/- 0.0023,0.8953244866428832,0.003161015473423319,3,0.8953 +/- 0.0032,26396814.0,0.0,3,26396814.0000 +/- 0.0000,89.4,0.0,3,89.4000 +/- 0.0000
YOLOv26l,yolo26l.pt,yolo26l.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,large,large,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.37317666666666666,0.0015306970089907878,3,0.3732 +/- 0.0015,0.58769,0.0009669022701390154,3,0.5877 +/- 0.0010,0.6602366666666667,0.006101412404790681,3,0.6602 +/- 0.0061,0.57311,0.005257309197678982,3,0.5731 +/- 0.0053,0.613561520741617,0.0004953083358314351,3,0.6136 +/- 0.0005,0.9074178474056955,0.0016637919225608831,3,0.9074 +/- 0.0017,26191764.0,0.0,3,26191764.0000 +/- 0.0000,93.2,0.0,3,93.2000 +/- 0.0000
YOLOv8l,yolov8l.pt,yolov8l.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,large,large,large,large,VisDrone2019-DET,3,"123,2026,42",preliminary,0.37654333333333334,0.00027934447074057234,3,0.3765 +/- 0.0003,0.5962933333333333,0.0007879932317814256,3,0.5963 +/- 0.0008,0.6694933333333334,0.005379965923064302,3,0.6695 +/- 0.0054,0.5769633333333333,0.004721909924313791,3,0.5770 +/- 0.0047,0.6197670597269057,0.0006034299750058408,3,0.6198 +/- 0.0006,0.8954776137921995,0.0021937449701042956,3,0.8955 +/- 0.0022,43637550.0,0.0,3,43637550.0000 +/- 0.0000,165.4,0.0,3,165.4000 +/- 0.0000
