rank,name,group,method,ablation,seed,seeds,seed_count,n,status,AP,AP50,P,R,F1,ParamsM,GFLOPs,dAP,tradeoff,gated_tradeoff,note
1,Ours: P2P4-SelfAttnFR,Ours final candidate,Ours: P2P4-SelfAttnFR,,,"42,123,2026",3,3,completed_3seed,0.382163,0.605173,0.673183,0.587247,0.627275,20.8200,109.3,0.004507,0.654483,1.228135,deduped latest official seed runs
2,UAVDet [16],Cited related work,UAVDet [16],,,"42,123,2026",3,3,completed_3seed,0.381184,0.600516,0.654156,0.589924,0.620340,33.5504,201.2,0.003527,0.402983,0.757589,"inspired reproduction from cited UAVDet design; not official checkpoint; 1280, 3-seed"
3,BPD-YOLO [7],Cited related work,BPD-YOLO [7],,,"42,123,2026",3,3,completed_3seed,0.380420,0.598560,0.662640,0.580236,0.618703,24.5296,109.5,0.002764,0.549682,1.033629,"paper-faithful reimplementation; not official checkpoint; 1280, 3-seed"
4,YOLOv11l,Best YOLO baseline,YOLOv11l,,,"123,2026,42",3,3,completed_3seed,0.377657,0.598090,0.666567,0.588063,0.624751,25.3182,87.3,0.000000,0.533499,1.000000,official comparison row
5,YOLOv12l,YOLO large,YOLOv12l,,,"123,2026,42",3,3,completed_3seed,0.377103,0.595813,0.669787,0.580467,0.621920,26.3968,89.4,-0.000553,0.509890,,official comparison row
6,YOLOv8l,YOLO large,YOLOv8l,,,"123,2026,42",3,3,completed_3seed,0.376543,0.596293,0.669493,0.576963,0.619767,43.6375,165.4,-0.001113,0.308006,,"current 1280 comparison sweep, completed 3-seed"
7,SFFEF-YOLO [4],Cited related work,SFFEF-YOLO [4],,,"42,123,2026",3,3,completed_3seed,0.374935,0.591412,0.654013,0.578120,0.613727,20.8743,108.7,-0.002722,0.638818,,"paper-faithful reimplementation; not official checkpoint; 1280, 3-seed"
8,YOLOv9c,YOLO family,YOLOv9c,,,"123,2026,42",3,3,completed_3seed,0.373763,0.594210,0.664113,0.583107,0.620969,25.5369,103.7,-0.003893,0.525111,,"current 1280 comparison sweep, completed 3-seed"
9,YOLOv26l,YOLO large,YOLOv26l,,,"123,2026,42",3,3,completed_3seed,0.373177,0.587690,0.660237,0.573110,0.613562,26.1918,93.2,-0.004480,0.507305,,official comparison row
10,YOLOv10l,YOLO large,YOLOv10l,,,"123,2026,42",3,3,completed_3seed,0.372783,0.588987,0.667653,0.572890,0.616625,25.7807,127.3,-0.004873,0.516693,,official comparison row
11,YOLOv5lu,YOLO large,YOLOv5lu,,,"123,2026,42",3,3,completed_3seed,0.370937,0.589687,0.661413,0.573227,0.614143,53.1711,135.3,-0.006720,0.249949,,"current 1280 comparison sweep, completed 3-seed"
12,YOLOv9m,YOLO medium,YOLOv9m,,,"123,2026,42",3,3,completed_3seed,0.369950,0.591020,0.670810,0.574950,0.619159,20.1655,77.6,-0.007707,0.661295,,"current 1280 comparison sweep, completed 3-seed"
13,YOLOv12m,YOLO medium,YOLOv12m,,,"123,2026,42",3,3,completed_3seed,0.366783,0.585090,0.663850,0.566317,0.611215,20.1452,67.8,-0.010873,0.654822,,"current 1280 comparison sweep, completed 3-seed"
14,YOLOv11m,YOLO medium,YOLOv11m,,,"123,2026,42",3,3,completed_3seed,0.365713,0.584597,0.661193,0.572820,0.613816,20.0607,68.2,-0.011943,0.658017,,"current 1280 comparison sweep, completed 3-seed"
