rank,name,group,method,ablation,seed,seeds,seed_count,n,status,AP,AP50,P,R,F1,ParamsM,GFLOPs,dAP,tradeoff,gated_tradeoff,note
1,P2P4-SelfAttnFR,proposed_run,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,p2p4_balanced_selfattn_tiny_frelu,2026,,,,completed,0.382910,0.606360,0.671110,0.589170,0.627476,20.8200,109.3,0.005253,0.655349,1.230039,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026
2,P2P4-SelfAttnFR,proposed_run,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,p2p4_balanced_selfattn_tiny_frelu,123,,,,completed,0.382480,0.606070,0.671410,0.586710,0.626209,20.8200,109.3,0.004823,0.654543,1.228582,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_073629_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
3,P2P4-SelfAttnFR,proposed_run,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,p2p4_balanced_selfattn_tiny_frelu,42,,,,completed,0.381940,0.604040,0.678950,0.585430,0.628731,20.8200,109.3,0.004283,0.654524,1.227909,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260612_065130_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42
4,P2P4-SelfAttnFR,proposed_run,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,p2p4_balanced_selfattn_tiny_frelu,123,,,,completed,0.381640,0.605120,0.669490,0.587140,0.625617,20.8200,109.3,0.003983,0.653578,1.226459,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_selfattn_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
5,proposed_p2p4_balanced_se_tiny_frelu_yolo11l,proposed_run,proposed_p2p4_balanced_se_tiny_frelu_yolo11l,,123,,,,incomplete,0.380410,0.601890,0.664330,0.591490,0.625798,20.8200,109.3,0.002753,0.651843,1.222925,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_073632_proposed_p2p4_balanced_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
6,P2P4-DynSmallFR,proposed_run,ProposedSize-P2P4BalancedDynFreqSmallTinyFReLU-yolo11l,p2p4_balanced_dynfreq_small_tiny_frelu,123,,,,completed,0.381490,0.603350,0.675200,0.578770,0.623277,20.8400,109.5,0.003833,0.651226,1.223005,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_160858_proposed_p2p4_balanced_dynfreq_small_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
7,P2P4-SEFR,proposed_run,ProposedSize-P2P4BalancedSETinyFReLU-yolo11l,p2p4_balanced_se_tiny_frelu,123,,,,completed,0.380350,0.600830,0.662580,0.590190,0.624294,20.8200,109.3,0.002693,0.650779,1.221558,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260611_103331_proposed_p2p4_balanced_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
8,P2P4-DynP2FR,proposed_run,ProposedSize-P2P4BalancedDynFreqP2TinyFReLU-yolo11l,p2p4_balanced_dynfreq_p2_tiny_frelu,123,,,,completed,0.380130,0.600910,0.677680,0.573620,0.621323,20.8300,109.4,0.002473,0.649207,1.219213,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2p4_balanced/20260610_142259_proposed_p2p4_balanced_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
9,P2EffV3-SEFR,proposed_run,ProposedSize-P2EfficientV3SETinyFReLU-yolo11l,p2_efficient_v3_se_tiny_frelu,123,,,,completed,0.381320,0.607590,0.667790,0.600240,0.632216,23.1500,103.2,0.003663,0.590986,1.106572,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260608_225711_proposed_p2_efficient_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
10,P2EffV3-DynP2FR,proposed_run,ProposedSize-P2EfficientV3DynFreqP2TinyFReLU-yolo11l,p2_efficient_v3_dynfreq_p2_tiny_frelu,123,,,,completed,0.381940,0.606370,0.668370,0.589960,0.626722,23.1500,103.2,0.004283,0.588764,1.104508,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260608_225555_proposed_p2_efficient_v3_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
11,P2EffV3-FR,proposed_run,ProposedSize-P2EfficientV3TinyFReLU-yolo11l,p2_efficient_v3_tiny_frelu,123,,,,completed,0.379960,0.600880,0.670320,0.586670,0.625712,23.1500,103.2,0.002303,0.585673,1.098689,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compression/20260608_081158_proposed_p2_efficient_v3_tiny_frelu_yolo11l_visdrone_yolov11_p2_compression_seed123
12,proposed_p2_efficient_v3_se_tiny_frelu_yolo11l,proposed_run,proposed_p2_efficient_v3_se_tiny_frelu_yolo11l,,123,,,,incomplete,0.372600,0.590210,0.650890,0.580440,0.613650,23.1500,103.2,-0.005057,0.574703,,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_055603_proposed_p2_efficient_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
13,P2CompV3-DynP2FR,proposed_run,ProposedSize-P2CompressV3DynFreqP2TinyFReLU-yolo11l,p2_compress_v3_dynfreq_p2_tiny_frelu,123,,,,completed,0.382130,0.604700,0.667830,0.592230,0.627762,24.0800,110.0,0.004473,0.565871,1.061819,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_092628_proposed_p2_compress_v3_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
14,P2CompV3-SEFR,proposed_run,ProposedSize-P2CompressV3SETinyFReLU-yolo11l,p2_compress_v3_se_tiny_frelu,123,,,,completed,0.382470,0.603900,0.669120,0.590700,0.627469,24.0800,110.0,0.004813,0.565608,1.061817,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_092630_proposed_p2_compress_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
