rank,name,group,method,ablation,seed,seeds,seed_count,n,status,AP,AP50,P,R,F1,ParamsM,GFLOPs,dAP,tradeoff,gated_tradeoff,note
1,P2P4-SelfAttnFR,proposed_summary,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,p2p4_balanced_selfattn_tiny_frelu,,"123,2026,42",3,4,,0.382242,0.605398,0.672740,0.587112,0.627008,20.8200,109.3,0.004586,0.654498,1.228247,grouped summary
2,P2P4-DynSmallFR,proposed_summary,ProposedSize-P2P4BalancedDynFreqSmallTinyFReLU-yolo11l,p2p4_balanced_dynfreq_small_tiny_frelu,,123,1,1,,0.381490,0.603350,0.675200,0.578770,0.623277,20.8400,109.5,0.003833,0.651226,1.223005,grouped summary
3,P2P4-SEFR,proposed_summary,ProposedSize-P2P4BalancedSETinyFReLU-yolo11l,p2p4_balanced_se_tiny_frelu,,123,1,1,,0.380350,0.600830,0.662580,0.590190,0.624294,20.8200,109.3,0.002693,0.650779,1.221558,grouped summary
4,P2P4-DynP2FR,proposed_summary,ProposedSize-P2P4BalancedDynFreqP2TinyFReLU-yolo11l,p2p4_balanced_dynfreq_p2_tiny_frelu,,123,1,1,,0.380130,0.600910,0.677680,0.573620,0.621323,20.8300,109.4,0.002473,0.649207,1.219213,grouped summary
5,P2EffV3-SEFR,proposed_summary,ProposedSize-P2EfficientV3SETinyFReLU-yolo11l,p2_efficient_v3_se_tiny_frelu,,123,1,1,,0.381320,0.607590,0.667790,0.600240,0.632216,23.1500,103.2,0.003663,0.590986,1.106572,grouped summary
6,P2EffV3-DynP2FR,proposed_summary,ProposedSize-P2EfficientV3DynFreqP2TinyFReLU-yolo11l,p2_efficient_v3_dynfreq_p2_tiny_frelu,,123,1,1,,0.381940,0.606370,0.668370,0.589960,0.626722,23.1500,103.2,0.004283,0.588764,1.104508,grouped summary
7,P2EffV3-FR,proposed_summary,ProposedSize-P2EfficientV3TinyFReLU-yolo11l,p2_efficient_v3_tiny_frelu,,123,1,1,,0.379960,0.600880,0.670320,0.586670,0.625712,23.1500,103.2,0.002303,0.585673,1.098689,grouped summary
8,P2CompV3-DynP2FR,proposed_summary,ProposedSize-P2CompressV3DynFreqP2TinyFReLU-yolo11l,p2_compress_v3_dynfreq_p2_tiny_frelu,,123,1,1,,0.382130,0.604700,0.667830,0.592230,0.627762,24.0800,110.0,0.004473,0.565871,1.061819,grouped summary
9,P2CompV3-SEFR,proposed_summary,ProposedSize-P2CompressV3SETinyFReLU-yolo11l,p2_compress_v3_se_tiny_frelu,,123,1,1,,0.382470,0.603900,0.669120,0.590700,0.627469,24.0800,110.0,0.004813,0.565608,1.061817,grouped summary
10,P2CompV3-FR,proposed_summary,ProposedSize-P2CompressV3TinyFReLU-yolo11l,p2_compress_v3_tiny_frelu,,123,1,1,,0.379900,0.602140,0.668780,0.587800,0.625681,24.0800,110.0,0.002243,0.563463,1.056714,grouped summary
11,P2BalV2-FR,proposed_summary,ProposedSize-P2BalancedV2TinyFReLU-yolo11l,p2_balanced_v2_tiny_frelu,,"123,2026,42",3,3,,0.380073,0.601143,0.665340,0.587397,0.623921,24.4100,110.1,0.002417,0.554953,1.041503,grouped summary
12,P2-SE-FR,proposed_summary,ProposedP2FR-SE-yolo11l,p2_se_frelu,,123,1,1,,0.382370,0.605150,0.671960,0.593560,0.630332,26.1400,113.1,0.004713,0.522329,0.979626,grouped summary
13,P2-DCT-FR,proposed_summary,ProposedP2FR-DCT-yolo11l,p2_dct_frelu,,123,1,2,,0.383635,0.604570,0.665070,0.589620,0.625073,26.0800,112.9,0.005978,0.522051,0.981228,grouped summary
14,P2-CBAM-FR,proposed_summary,ProposedP2FR-CBAM-yolo11l,p2_cbam_frelu,,123,1,1,,0.384810,0.607930,0.658810,0.593170,0.624269,26.2200,113.4,0.007153,0.520465,0.978536,grouped summary
15,P2-Wavelet-FR,proposed_summary,ProposedP2FR-Wavelet-yolo11l,p2_wavelet_frelu,,123,1,2,,0.380805,0.602525,0.666055,0.586490,0.623740,26.0800,112.9,0.003148,0.520042,0.976243,grouped summary
16,P2-WaveletCBAM-FR,proposed_summary,ProposedP2FR-WaveletCBAM-yolo11l,p2_wavelet_cbam_frelu,,123,1,1,,0.384290,0.605470,0.671330,0.585830,0.625673,26.2200,113.4,0.006633,0.519957,0.977421,grouped summary
