rank,section,group,method,protocol,seeds,seed_count,AP,AP_std,AP50,AP50_std,precision,recall,F1,params_m,gflops,delta_AP_vs_YOLOv11l,note
1,main_1280_completed_3seed,Ours final candidate,Ours: P2P4-SelfAttnFR,"VisDrone val, 1280, 3-seed","42,123,2026",3,0.382163,0.000664,0.605173,0.001161,0.673183,0.587247,0.627275,20.8200,109.3000,0.004507,deduped latest official seed runs
2,main_1280_completed_3seed,Best YOLO baseline,YOLOv11l,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.377657,0.000381,0.598090,0.001080,0.666567,0.588063,0.624751,25.3182,87.3000,0.000000,official comparison row
3,main_1280_completed_3seed,YOLO large,YOLOv12l,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.377103,0.002033,0.595813,0.002466,0.669787,0.580467,0.621920,26.3968,89.4000,-0.000553,official comparison row
4,main_1280_completed_3seed,YOLO large,YOLOv8l,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.376543,0.000279,0.596293,0.000788,0.669493,0.576963,0.619767,43.6375,165.4000,-0.001113,official comparison row
5,main_1280_completed_3seed,YOLO large,YOLOv26l,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.373177,0.001531,0.587690,0.000967,0.660237,0.573110,0.613562,26.1918,93.2000,-0.004480,official comparison row
6,main_1280_completed_3seed,YOLO large,YOLOv10l,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.372783,0.001922,0.588987,0.001992,0.667653,0.572890,0.616625,25.7807,127.3000,-0.004873,official comparison row
7,main_1280_completed_3seed,YOLO medium,YOLOv12m,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.366877,0.000851,0.584820,0.003255,0.664587,0.569390,0.613305,20.1452,67.8000,-0.010780,official comparison row
8,main_1280_completed_3seed,YOLO medium,YOLOv10m,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.353930,0.002015,0.567457,0.002846,0.643103,0.557257,0.597102,16.4957,64.0000,-0.023727,official comparison row
9,main_1280_completed_3seed,YOLO small,YOLOv9s,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.343347,0.000276,0.554433,0.000431,0.636240,0.544803,0.586945,7.2913,27.4000,-0.034310,official comparison row
10,main_1280_completed_3seed,YOLO small,YOLOv8s,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.332867,0.003001,0.540060,0.003471,0.630173,0.531790,0.576809,11.1395,28.7000,-0.044790,official comparison row
11,main_1280_completed_3seed,YOLO small,YOLOv12s,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.332183,0.000645,0.538570,0.000746,0.634110,0.526783,0.575485,9.2570,21.5000,-0.045473,official comparison row
12,main_1280_completed_3seed,YOLO small,YOLOv5su,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.327877,0.002200,0.533053,0.003982,0.626120,0.522723,0.569745,9.1261,24.1000,-0.049780,official comparison row
13,main_1280_completed_3seed,YOLO small,YOLOv11s,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.326203,0.001028,0.528367,0.001851,0.632117,0.516157,0.568232,9.4317,21.6000,-0.051453,official comparison row
14,main_1280_completed_3seed,YOLO small,YOLOv10s,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.324783,0.002014,0.526003,0.001160,0.623867,0.513857,0.563538,8.0741,24.8000,-0.052873,official comparison row
15,main_1280_completed_3seed,YOLO small,YOLOv26s,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.322903,0.001335,0.522937,0.002494,0.606133,0.512017,0.555112,9.9556,22.5000,-0.054753,official comparison row
16,main_1280_completed_3seed,Transformer baseline,RT-DETR-L,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.320073,0.039743,0.535500,0.045031,0.618860,0.541070,0.577350,32.8266,108.0000,-0.057583,official comparison row
17,main_1280_completed_3seed,YOLO nano,YOLOv9t,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.304310,0.001837,0.496913,0.003234,0.595517,0.490470,0.537850,2.0074,7.9000,-0.073347,"current 1280 comparison sweep, completed 3-seed"
18,main_1280_completed_3seed,YOLO nano,YOLOv12n,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.296183,0.001718,0.486783,0.001966,0.595560,0.479030,0.530851,2.5700,6.5000,-0.081473,"current 1280 comparison sweep, completed 3-seed"
19,main_1280_completed_3seed,YOLO nano,YOLOv8n,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.292087,0.000678,0.481850,0.000904,0.581660,0.477073,0.524201,3.0128,8.2000,-0.085570,"current 1280 comparison sweep, completed 3-seed"
20,main_1280_completed_3seed,YOLO nano,YOLOv11n,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.287920,0.001532,0.473850,0.002163,0.580713,0.470310,0.519696,2.5918,6.5000,-0.089737,"current 1280 comparison sweep, completed 3-seed"
21,main_1280_completed_3seed,YOLO nano,YOLOv10n,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.285620,0.002234,0.470273,0.003892,0.576457,0.467090,0.516021,2.7109,8.4000,-0.092037,"current 1280 comparison sweep, completed 3-seed"
22,main_1280_completed_3seed,YOLO nano,YOLOv5nu,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.283477,0.000647,0.469617,0.001546,0.578067,0.459680,0.511971,2.5104,7.2000,-0.094180,"current 1280 comparison sweep, completed 3-seed"
23,main_1280_completed_3seed,YOLO nano,YOLOv26n,"VisDrone val, 1280, 3-seed","123,2026,42",3,0.283453,0.001876,0.467260,0.002656,0.570737,0.471503,0.516358,2.5077,5.8000,-0.094203,"current 1280 comparison sweep, completed 3-seed"
1,current_1280_sweep_status,YOLO small,YOLOv5su,"VisDrone val, 1280, partial 2/3 seeds","123,42",2,0.326605,0.002199,0.530835,0.003330,0.619855,0.523070,0.567362,9.1261,24.1000,-0.051052,current 202606 sweep; partial 2/3 seeds; status=incomplete
2,current_1280_sweep_status,YOLO nano,YOLOv9t,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.304310,0.001837,0.496913,0.003234,0.595517,0.490470,0.537850,2.0074,7.9000,-0.073347,current 202606 sweep; completed 3-seed; status=completed
3,current_1280_sweep_status,YOLO nano,YOLOv12n,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.296183,0.001718,0.486783,0.001966,0.595560,0.479030,0.530851,2.5700,6.5000,-0.081473,current 202606 sweep; completed 3-seed; status=completed
4,current_1280_sweep_status,YOLO nano,YOLOv8n,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.292087,0.000678,0.481850,0.000904,0.581660,0.477073,0.524201,3.0128,8.2000,-0.085570,current 202606 sweep; completed 3-seed; status=completed
5,current_1280_sweep_status,YOLO nano,YOLOv11n,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.287920,0.001532,0.473850,0.002163,0.580713,0.470310,0.519696,2.5918,6.5000,-0.089737,current 202606 sweep; completed 3-seed; status=completed
