rank,section,group,method,protocol,seeds,seed_count,AP,AP_std,AP50,AP50_std,precision,recall,F1,params_m,gflops,delta_AP_vs_YOLOv11l,note
1,current_1280_sweep_status,YOLO large,YOLOv8l,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.376543,0.000279,0.596293,0.000788,0.669493,0.576963,0.619767,43.6375,165.4000,-0.001113,current 202606 sweep; completed 3-seed; status=completed
2,current_1280_sweep_status,YOLO family,YOLOv9c,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.373763,0.000885,0.594210,0.001963,0.664113,0.583107,0.620969,25.5369,103.7000,-0.003893,current 202606 sweep; completed 3-seed; status=completed
3,current_1280_sweep_status,YOLO large,YOLOv5lu,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.370937,0.001058,0.589687,0.001691,0.661413,0.573227,0.614143,53.1711,135.3000,-0.006720,current 202606 sweep; completed 3-seed; status=completed
4,current_1280_sweep_status,YOLO medium,YOLOv9m,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.369950,0.000297,0.591020,0.001231,0.670810,0.574950,0.619159,20.1655,77.6000,-0.007707,current 202606 sweep; completed 3-seed; status=completed
5,current_1280_sweep_status,YOLO medium,YOLOv12m,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.366783,0.000800,0.585090,0.002874,0.663850,0.566317,0.611215,20.1452,67.8000,-0.010873,current 202606 sweep; completed 3-seed; status=completed
6,current_1280_sweep_status,YOLO medium,YOLOv11m,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.365713,0.000497,0.584597,0.001170,0.661193,0.572820,0.613816,20.0607,68.2000,-0.011943,current 202606 sweep; completed 3-seed; status=completed
7,current_1280_sweep_status,YOLO medium,YOLOv26m,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.365073,0.000660,0.580107,0.000483,0.652457,0.566787,0.606560,21.7883,74.8000,-0.012583,current 202606 sweep; completed 3-seed; status=completed
8,current_1280_sweep_status,YOLO medium,YOLOv8m,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.360907,0.001714,0.577150,0.001162,0.659263,0.562167,0.606838,25.8621,79.1000,-0.016750,current 202606 sweep; completed 3-seed; status=completed
9,current_1280_sweep_status,YOLO medium,YOLOv10m,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.354643,0.000621,0.567407,0.001634,0.646090,0.553037,0.595939,16.4957,64.0000,-0.023013,current 202606 sweep; completed 3-seed; status=completed
10,current_1280_sweep_status,YOLO medium,YOLOv5mu,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.354633,0.000933,0.567337,0.001168,0.656447,0.550570,0.598846,25.0709,64.4000,-0.023023,current 202606 sweep; completed 3-seed; status=completed
