index,batch,scenario_id,scenario,object_id,candidate_class,should_reobserve,status,valid_schema,schema_issues,web_batch_file,suggested_raw_output
1,1,S0,s0_locked_roi,uavmarine_s0_viewer160_session_recapture:uav_01:car:000,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
2,1,S0,s0_locked_roi,uavmarine_s0_viewer160_session_recapture:uav_02:bus:003,bus,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
3,1,S0,s0_locked_roi,uavmarine_s0_viewer160_session_recapture:uav_02:car:000,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
4,1,S0,s0_locked_roi,uavmarine_s0_viewer160_session_recapture:uav_02:car:001,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
5,1,S0,s0_locked_roi,uavmarine_s0_viewer160_session_recapture:uav_02:car:002,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
6,1,S0,s0_locked_roi,uavmarine_s0_viewer160_session_recapture:uav_02:car:004,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
7,1,S0,s0_locked_roi,uavmarine_s0_viewer160_session_recapture:uav_03:bus:000,bus,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
8,1,S1,s1_adjacent_overlap,uavmarine_s1_viewer160_session_recapture:uav_01:bus:000,bus,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
9,1,S1,s1_adjacent_overlap,uavmarine_s1_viewer160_session_recapture:uav_01:car:001,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
10,1,S1,s1_adjacent_overlap,uavmarine_s1_viewer160_session_recapture:uav_02:bus:003,bus,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_01_001-010.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_01.md
11,2,S1,s1_adjacent_overlap,uavmarine_s1_viewer160_session_recapture:uav_02:car:000,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_02_011-020.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_02.md
12,2,S1,s1_adjacent_overlap,uavmarine_s1_viewer160_session_recapture:uav_02:car:001,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_02_011-020.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_02.md
13,2,S1,s1_adjacent_overlap,uavmarine_s1_viewer160_session_recapture:uav_02:car:002,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_02_011-020.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_02.md
14,2,S1,s1_adjacent_overlap,uavmarine_s1_viewer160_session_recapture:uav_02:car:004,car,True,pending,False,,outputs/reports/live/aerograph_real_capture_prompt_pack/web_batches/aerograph_web_batch_02_011-020.md,outputs/reasoning/aerograph_real_capture_web_raw_batches/batch_02.md
