method,imgsz,best_AP,best_AP50,best_recall,best_F1,FPS,latency_ms
Proposed-CBAM-yolo11s,1280,0.32772,0.53078,0.52371,0.5710246782703094,,
Proposed-Control-yolo11s,1280,0.3276266666666667,0.5303566666666667,0.5198966666666667,0.5694847121510096,,
Proposed-SE-yolo11s,1280,0.3275433333333333,0.5301066666666666,0.5175166666666667,0.5667360857495461,,
Proposed-WaveletStem-yolo11s,1280,0.32637333333333335,0.5280433333333333,0.5177266666666667,0.5681771719902434,,
RT-DETR-L,1280,0.31858,0.52791,0.53818,0.5730142774471043,,
YOLOv10m,1280,0.35393,0.5674566666666667,0.5572566666666666,0.5971016779081006,,
YOLOv10n,1280,0.28382666666666667,0.4665966666666666,0.4697233333333333,0.5136395181913519,,
YOLOv10s,1280,0.32478333333333337,0.5260033333333333,0.5138566666666667,0.5635384141802381,,
YOLOv11n,1280,0.2876633333333333,0.47503,0.4698966666666667,0.5217298866445906,,
YOLOv11s,1280,0.32620333333333335,0.5283666666666667,0.5161566666666667,0.5682324960061548,,
YOLOv12m,1280,0.3668766666666667,0.58482,0.56939,0.6133048513601008,,
YOLOv12n,1280,0.29375666666666667,0.48390333333333335,0.47756333333333334,0.5293836404802507,,
YOLOv12s,1280,0.33218333333333333,0.53857,0.5267833333333333,0.5754853277005191,,
YOLOv26n,1280,0.2838333333333333,0.4667666666666667,0.4625033333333333,0.513838825611535,,
YOLOv26s,1280,0.3229033333333333,0.5229366666666667,0.5120166666666667,0.5551115450540349,,
YOLOv5su,1280,0.32787666666666665,0.5330533333333333,0.5227233333333333,0.5697448064739211,,
YOLOv8n,1280,0.2924733333333333,0.48123999999999995,0.4724466666666667,0.5249153092839609,,
YOLOv8s,1280,0.33286666666666664,0.54006,0.53179,0.576808899435321,,
YOLOv9s,1280,0.3433466666666667,0.5544333333333333,0.5448033333333333,0.5869446178264492,,
