capture_dir,capture_name,image_count,mean_top3_score,mean_top3_black_ratio,best_image,best_score,best_black_ratio,best_bright_ratio,best_mean_luma,capture_status,camera_profile
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_tight_f52_shift_test,uavmarine_s0_viewer160_tight_f52_shift_test,3,0.900651,0.093141,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_tight_f52_shift_test/real_cesium_capture/frame_002_uav_02_rgb.png,0.975456,0.017833,0.981176,146.727,real_cesium_capture_complete,viewer160_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture,uavmarine_s2_viewer160_session_recapture,3,0.900370,0.093141,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture/real_cesium_capture/frame_002_uav_02_rgb.png,0.976343,0.017828,0.981145,148.149,real_cesium_capture_complete,viewer160_clean_fullframe
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture,uavmarine_s1_viewer160_session_recapture,3,0.900005,0.093140,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture/real_cesium_capture/frame_002_uav_02_rgb.png,0.975950,0.017832,0.981207,147.506,real_cesium_capture_complete,viewer160_clean_fullframe
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture,uavmarine_s0_viewer160_session_recapture,3,0.899855,0.093142,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_002_uav_02_rgb.png,0.975721,0.017835,0.980396,147.403,real_cesium_capture_complete,viewer160_clean_fullframe
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_road_roi_diag,uavmarine_s0_viewer160_road_roi_diag,3,0.567099,0.426538,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_road_roi_diag/real_cesium_capture/frame_003_uav_03_rgb.png,0.580899,0.415217,0.583715,87.693,real_cesium_capture_complete,viewer160_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_diag3,uavmarine_s0_viewer160_diag3,3,0.554150,0.436623,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_diag3/real_cesium_capture/frame_001_uav_01_rgb.png,0.578781,0.413056,0.585343,81.362,real_cesium_capture_complete,viewer160_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_alpha_diag,uavmarine_s0_viewer160_alpha_diag,3,0.554105,0.436654,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_alpha_diag/real_cesium_capture/frame_001_uav_01_rgb.png,0.578680,0.413121,0.585230,81.310,real_cesium_capture_complete,viewer160_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_adjacent_overlap_v1,uavmarine_s1_adjacent_overlap_v1,3,0.538493,0.446442,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_adjacent_overlap_v1/real_cesium_capture/frame_001_uav_01_rgb.png,0.658967,0.323296,0.675541,80.266,real_cesium_capture_complete,visible_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_coastline_multiview_v1,uavmarine_s2_coastline_multiview_v1,3,0.536695,0.447329,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_coastline_multiview_v1/real_cesium_capture/frame_001_uav_01_rgb.png,0.656870,0.323593,0.675280,77.327,real_cesium_capture_complete,visible_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi_v5_clustered,uavmarine_s0_visible_roi_v5_clustered,3,0.535658,0.448961,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi_v5_clustered/real_cesium_capture/frame_001_uav_01_rgb.png,0.659089,0.322080,0.676785,78.701,real_cesium_capture_complete,visible_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi_v3_uv_camera,uavmarine_s0_visible_roi_v3_uv_camera,3,0.498232,0.491323,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi_v3_uv_camera/real_cesium_capture/frame_001_uav_01_rgb.png,0.646096,0.342877,0.656332,87.749,real_cesium_capture_complete,visible_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi_v4_centered,uavmarine_s0_visible_roi_v4_centered,3,0.478313,0.508879,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi_v4_centered/real_cesium_capture/frame_001_uav_01_rgb.png,0.603663,0.381417,0.617568,75.426,real_cesium_capture_complete,visible_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi_v2_textured,uavmarine_s0_visible_roi_v2_textured,3,0.330640,0.665517,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi_v2_textured/real_cesium_capture/frame_001_uav_01_rgb.png,0.661223,0.333550,0.665614,98.537,real_cesium_capture_complete,visible_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi,uavmarine_s0_visible_roi,3,0.329553,0.665609,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_visible_roi/real_cesium_capture/frame_001_uav_01_rgb.png,0.659796,0.333573,0.665592,96.286,real_cesium_capture_complete,visible_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture,uavmarine_s0_viewer160_recapture,3,0.318806,0.675596,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,0.370076,0.624539,0.374638,51.721,real_cesium_capture_complete,viewer160_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_locked_roi,uavmarine_s0_locked_roi,3,0.293189,0.700270,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_locked_roi/real_cesium_capture/frame_001_uav_01_rgb.png,0.650670,0.339006,0.657972,90.207,real_cesium_capture_complete,local_marinecity_uav_altitudes
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_locked_roi_georef_fix,uavmarine_s0_locked_roi_georef_fix,3,0.291813,0.701070,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_locked_roi_georef_fix/real_cesium_capture/frame_001_uav_01_rgb.png,0.646378,0.342359,0.655151,87.998,real_cesium_capture_complete,local_marinecity_uav_altitudes
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture,uavmarine_s1_viewer160_recapture,3,0.291581,0.702958,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_recapture/real_cesium_capture/frame_003_uav_03_rgb.png,0.331734,0.663557,0.335455,46.612,real_cesium_capture_complete,viewer160_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture,uavmarine_s2_viewer160_recapture,3,0.290098,0.704427,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_recapture/real_cesium_capture/frame_003_uav_03_rgb.png,0.333473,0.661877,0.337181,46.962,real_cesium_capture_complete,viewer160_marinecity_roi
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_locked_roi_local_enu,uavmarine_s0_locked_roi_local_enu,3,0.000000,1.000000,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_locked_roi_local_enu/real_cesium_capture/frame_001_uav_01_rgb.png,0.000000,1.000000,0.000000,0.000,real_cesium_capture_complete,cesium_anchor_readback
/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_locked_roi_local_enu_offset,uavmarine_s0_locked_roi_local_enu_offset,3,0.000000,1.000000,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_locked_roi_local_enu_offset/real_cesium_capture/frame_001_uav_01_rgb.png,0.000000,1.000000,0.000000,0.000,real_cesium_capture_complete,cesium_anchor_readback
