rank,capture_name,source,crop_path,crop_box,black_ratio,bright_ratio,mean_luma,area_ratio,score
1,uavmarine_s2_viewer160_session_recapture,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture/real_cesium_capture/frame_002_uav_02_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s2_viewer160_session_recapture_frame_002_uav_02_rgb_crop.png,"[0, 0, 1216, 684]",0.003577,0.995416,152.648,0.902500,1.115215
2,uavmarine_s0_viewer160_session_recapture,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_002_uav_02_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s0_viewer160_session_recapture_frame_002_uav_02_rgb_crop.png,"[0, 0, 1216, 684]",0.003582,0.995448,152.474,0.902500,1.115172
3,uavmarine_s0_viewer160_tight_f52_shift_test,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_tight_f52_shift_test/real_cesium_capture/frame_002_uav_02_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s0_viewer160_tight_f52_shift_test_frame_002_uav_02_rgb_crop.png,"[0, 0, 1216, 684]",0.003582,0.995431,152.478,0.902500,1.115171
4,uavmarine_s1_viewer160_session_recapture,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture/real_cesium_capture/frame_002_uav_02_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s1_viewer160_session_recapture_frame_002_uav_02_rgb_crop.png,"[0, 0, 1216, 684]",0.003887,0.994953,152.407,0.902500,1.114870
5,uavmarine_s0_viewer160_session_recapture,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s0_viewer160_session_recapture_frame_001_uav_01_rgb_crop.png,"[0, 0, 1216, 684]",0.013321,0.985764,152.386,0.902500,1.106780
6,uavmarine_s0_viewer160_tight_f52_shift_test,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_tight_f52_shift_test/real_cesium_capture/frame_001_uav_01_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s0_viewer160_tight_f52_shift_test_frame_001_uav_01_rgb_crop.png,"[0, 0, 1216, 684]",0.013323,0.985758,152.389,0.902500,1.106779
7,uavmarine_s2_viewer160_session_recapture,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s2_viewer160_session_recapture_frame_001_uav_01_rgb_crop.png,"[0, 0, 1216, 684]",0.013323,0.985689,152.184,0.902500,1.106720
8,uavmarine_s1_viewer160_session_recapture,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s1_viewer160_session_recapture_frame_001_uav_01_rgb_crop.png,"[0, 0, 1216, 684]",0.013645,0.985351,151.324,0.902500,1.106226
9,uavmarine_s0_viewer160_session_recapture,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_003_uav_03_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s0_viewer160_session_recapture_frame_003_uav_03_rgb_crop.png,"[0, 180, 960, 720]",0.000000,0.998592,160.689,0.562500,1.086081
10,uavmarine_s0_viewer160_tight_f52_shift_test,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_tight_f52_shift_test/real_cesium_capture/frame_003_uav_03_rgb.png,outputs/reports/live/marinecity_real_capture_crops/crops/uavmarine_s0_viewer160_tight_f52_shift_test_frame_003_uav_03_rgb_crop.png,"[0, 180, 960, 720]",0.000000,0.998584,160.723,0.562500,1.086080
