run_dir,scenario,provider,object_id,prompt_chars,predicted_class,llm_confidence,recommended_action,final_should_reobserve,final_decision_source
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_01_bus_3_7,955,bus,0.8231608581542968,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_01_car_6_8,955,car,0.46022036790847776,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_01_pedestrian_13_2,979,pedestrian,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_bus_0_3,956,bus,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_bus_3_4,955,bus,0.4019700002670288,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_bus_5_5,956,bus,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_bus_7_6,957,bus,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_0_3,956,car,0.37480411797761914,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_0_5,952,car,0.88,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_10_6,957,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_10_7,957,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_13_7,958,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_1_5,955,car,0.7276619982719421,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_2_3,957,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_5_6,957,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_7_6,957,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_8_5,955,car,0.8024999213218689,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_car_9_8,956,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_rule_based,s0_locked_roi,rule_based_aerograph,uav_02_van_0_5,957,van,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_01_bus_2_7,970,bus,0.8459081959724426,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_01_car_6_8,971,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_01_pedestrian_13_2,994,pedestrian,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_01_pedestrian_15_3,994,pedestrian,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_bus_0_3,971,bus,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_bus_2_5,970,bus,0.6760626149177551,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_bus_5_5,972,bus,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_car_0_3,970,car,0.5243802753090858,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_car_0_5,970,car,0.88,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_car_10_6,972,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_car_1_5,970,car,0.7983633589744568,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_car_2_3,971,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_car_8_5,970,car,0.7969252777099609,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_rule_based,s1_adjacent_overlap,rule_based_aerograph,uav_02_car_9_8,971,car,0.35,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_01_bus_5_6,974,bus,0.8530606341361999,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_01_car_6_8,977,car,0.5388517093658447,targeted re-observation,True,llm_confirmed
outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_rule_based,s2_coastline_multiview,rule_based_aerograph,uav_01_pedestrian_13_2,1001,pedestrian,0.35,targeted re-observation,True,llm_confirmed
