test_id,scenario,scenario_label,uav_id,image_id,object_id,detector_class,detector_confidence,detector_uncertainty,ambiguity_score,geometry_residual,reasoner_provider,reasoner_class,reasoner_confidence,recommended_action,should_reobserve,input_image,detector_preview,panel
T01,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_bus_9_3,bus,0.2629,0.9617,1.0000,0.6500,rule_based_aerograph,bus,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_01_s0_uav_01_bus_9_3.png
T02,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_car_0_0,car,0.1055,0.9998,1.0000,0.6500,rule_based_aerograph,car,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_02_s0_uav_01_car_0_0.png
T03,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_car_4_7,car,0.0166,0.9826,1.0000,0.6500,rule_based_aerograph,car,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_03_s0_uav_01_car_4_7.png
T04,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_car_5_6,car,0.0148,0.9815,1.0000,0.6500,rule_based_aerograph,car,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_04_s0_uav_01_car_5_6.png
T05,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_car_7_7,car,0.1406,0.9961,1.0000,0.6500,rule_based_aerograph,car,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_05_s0_uav_01_car_7_7.png
T06,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_motor_2_1,motor,0.0297,0.9888,1.0000,0.6500,rule_based_aerograph,motor,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_06_s0_uav_01_motor_2_1.png
T07,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_pedestrian_2_1,pedestrian,0.0202,0.9845,1.0000,0.6500,rule_based_aerograph,pedestrian,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_07_s0_uav_01_pedestrian_2_1.png
T08,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_pedestrian_6_3,pedestrian,0.0261,0.9873,1.0000,0.6500,rule_based_aerograph,pedestrian,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_08_s0_uav_01_pedestrian_6_3.png
T09,s0,S0 locked MarineCity ROI,uav_01,frame_001_uav_01_rgb,uav_01_van_4_5,van,0.0224,0.9856,1.0000,0.6500,rule_based_aerograph,van,0.3500,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_001_uav_01_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_001_uav_01_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_09_s0_uav_01_van_4_5.png
T10,s0,S0 locked MarineCity ROI,uav_02,frame_002_uav_02_rgb,uav_02_bus_9_3,bus,0.2401,0.9702,1.0000,0.6500,rule_based_aerograph,bus,0.3904,targeted re-observation,True,/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture/real_cesium_capture/frame_002_uav_02_rgb.png,/home/oem/projects/multi-uav-marine-city/outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/previews/frame_002_uav_02_rgb_pred.png,/home/oem/projects/multi-uav-marine-city/outputs/reports/live/marinecity_system_test_10plus/token_panels/test_10_s0_uav_02_bus_9_3.png
