Method,Final_Acc,Center_3D_Error,Assoc_F1,Ambiguity_Res,Reobs,VLM_Calls
Single-view detector,0.5,-,-,-,0,0
Multi-view average pooling,0.52,-,0.0,-,0,0
Multi-view max pooling,0.53,-,0.0,-,0,0
Naive 3D fusion,0.54,0.1118033988749895,0.0,-,0,0
Graph-only,0.56,0.07453559924999299,0.0,0.0,0,0
Graph + cross-view alignment,0.58,0.0670820393249937,0.05,0.0,0,0
Graph + ambiguity diagnosis,0.59,0.0670820393249937,0.05,0.2,0,0
Graph + random re-observation,0.5286582776914958,0.06335525936249405,0.05,0.3333333333333333,3.0,0
Graph + uncertainty re-observation,0.542654997220466,0.0596284793999944,0.06,0.3333333333333333,3.0,
Full CoM3D-ACE,0.542654997220466,0.05590169943749475,0.08,0.3333333333333333,3.0,
