a_only,a_only_correct,a_only_false,analysis,auditable_fraction,b_only,b_only_correct,b_only_false,conditional_precision,correct,edge_count,false,family,intersection,jaccard,method_a,method_b,note,posthoc_gt_correctness,protocol,tracker,union,unknown
,,,method_summary,0.04703476482617587,,,,0.7028985507246377,97,2934,41,all_sequences,,,ACE-v1,N/A,,,official_detector,bytetrack,,2796
,,,method_summary,0.0444234404536862,,,,0.75177304964539,106,3174,35,all_sequences,,,Cost-R,N/A,,,official_detector,bytetrack,,3033
,,,method_summary,0.037814157251556374,,,,0.725609756097561,119,4337,45,all_sequences,,,Cost-G,N/A,,,official_detector,bytetrack,,4173
,,,method_summary,0.037703302119270574,,,,0.7124183006535948,109,4058,44,all_sequences,,,Cost-H,N/A,,,official_detector,bytetrack,,3905
714,7,10,pairwise_edge_selection,,954,16,4,,,,,all_sequences,2220,0.5709876543209876,ACE-v1,Cost-R,,,official_detector,bytetrack,3888,
1090,,,pairwise_component_co_membership,,2044,,,,,,,all_sequences,3392,0.5197670855041373,ACE-v1,Cost-R,,,official_detector,bytetrack,6526,
536,3,8,pairwise_edge_selection,,1939,25,12,,,,,all_sequences,2398,0.49209932279909707,ACE-v1,Cost-G,,,official_detector,bytetrack,4873,
722,,,pairwise_component_co_membership,,8448,,,,,,,all_sequences,3760,0.2907965970610982,ACE-v1,Cost-G,,,official_detector,bytetrack,12930,
735,8,10,pairwise_edge_selection,,1859,20,13,,,,,all_sequences,2199,0.4587940746922595,ACE-v1,Cost-H,,,official_detector,bytetrack,4793,
1031,,,pairwise_component_co_membership,,5216,,,,,,,all_sequences,3451,0.35584656630233036,ACE-v1,Cost-H,,,official_detector,bytetrack,9698,
50,0,0,pairwise_edge_selection,,1213,13,10,,,,,all_sequences,3124,0.7121039434693412,Cost-R,Cost-G,,,official_detector,bytetrack,4387,
150,,,pairwise_component_co_membership,,6922,,,,,,,all_sequences,5286,0.42773911636187084,Cost-R,Cost-G,,,official_detector,bytetrack,12358,
315,3,2,pairwise_edge_selection,,1199,6,11,,,,,all_sequences,2859,0.6537845872398811,Cost-R,Cost-H,,,official_detector,bytetrack,4373,
700,,,pairwise_component_co_membership,,3931,,,,,,,all_sequences,4736,0.505604782747945,Cost-R,Cost-H,,,official_detector,bytetrack,9367,
1163,13,8,pairwise_edge_selection,,884,3,7,,,,,all_sequences,3174,0.6079295154185022,Cost-G,Cost-H,,,official_detector,bytetrack,5221,
6173,,,pairwise_component_co_membership,,2632,,,,,,,all_sequences,6035,0.4066711590296496,Cost-G,Cost-H,,,official_detector,bytetrack,14840,
,,,selection_signature,,,,,,,3,,all_sequences,,,ACE-v1,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,7,,all_sequences,,,ACE-v1,N/A,,false,official_detector,bytetrack,,
