atomic_context,class_name,controlled_cost,controlled_cost_in_rank,controlled_cost_out_rank,controlled_greedy_accepted,controlled_reciprocal_accepted,controlled_reciprocal_proposed,cosine_distance,destination_choice_count_across_methods,destination_conflict,destination_gt_purity,destination_majority_gt_identity,earlier,endpoint_center_distance_pixels,endpoint_top_left_distance_pixels,enters_fixed_candidate_graph,family,gap,geometry_first_in_rank,geometry_first_out_rank,historical_reciprocal_accepted,historical_reciprocal_proposed,later,partial_hungarian_selected,passes_appearance_gate,passes_geometry_gate,posthoc_gt_correctness,protocol,selected_methods,selection_count,sequence,source_choice_count_across_methods,source_conflict,source_gt_purity,source_majority_gt_identity,tracker
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.7267650393831304,2,1,True,False,False,0.12995553016662598,2,True,0.75,13,0,53.92438430100175,59.01544322704715,True,legacy12,23,2,2,False,False,341,False,True,True,false,oracle_aabb,Cost-G,1,data28-1,1,False,1.0,1,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5023956255325187,2,1,True,False,False,0.10449135303497314,2,True,1.0,10,1,50.9051968231205,50.87110773974782,True,legacy12,7,2,1,False,False,185,True,True,True,correct,oracle_aabb,Cost-G;Cost-H,2,data28-1,1,False,0.5,10,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.567560438906007,2,1,True,False,False,0.23190230131149292,1,False,0.6666666666666666,7,4,16.29871717905079,19.447392738562257,True,legacy12,19,1,1,True,True,345,True,True,True,false,oracle_aabb,ACE-v1;Cost-G;Cost-H,3,data28-1,1,False,0.8333333333333334,5,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.43204871306498255,1,1,True,True,True,0.09319519996643066,2,True,0.6666666666666666,9,11,28.53558432854316,28.827368885377748,True,legacy12,14,1,1,True,True,294,False,True,True,false,oracle_aabb,ACE-v1;Cost-G;Cost-R,3,data28-1,2,True,1.0,12,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6706235530219106,1,2,False,False,False,0.17146813869476318,1,False,0.5,3,11,38.883727487908665,42.935049061062074,True,legacy12,22,1,3,False,False,342,True,True,True,false,oracle_aabb,Cost-H,1,data28-1,2,True,1.0,12,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6435032650105109,3,1,True,False,False,0.17697864770889282,3,True,1.0,19,18,27.898619980103952,27.55469148566953,True,legacy12,25,1,1,True,True,363,False,True,True,correct,oracle_aabb,ACE-v1;Cost-G,2,data28-1,1,False,1.0,19,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.3122631853024556,1,1,True,True,True,0.08262491226196289,2,True,,,31,29.042191660211984,29.963121569699005,True,legacy12,4,1,2,False,False,158,False,True,True,unknown,oracle_aabb,Cost-G;Cost-R,2,data28-1,2,True,1.0,22,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6235288008943035,1,3,True,False,False,0.1975451111793518,1,False,1.0,13,31,42.832315098012245,42.32901777246402,True,legacy12,13,1,3,False,False,205,True,True,True,false,oracle_aabb,Cost-G;Cost-H,2,data28-1,2,True,1.0,22,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.48383765687632735,2,2,False,False,False,0.10000723600387573,2,True,,,72,52.33188678388346,51.614985728766094,True,legacy12,5,2,2,False,False,158,True,True,True,unknown,oracle_aabb,Cost-H,1,data28-1,2,True,1.0,25,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.3452517224836796,1,1,True,True,True,0.08421695232391357,2,True,1.0,25,72,21.360092950422978,22.078907982504578,True,legacy12,11,1,1,True,True,189,False,True,True,correct,oracle_aabb,ACE-v1;Cost-G;Cost-R,3,data28-1,2,True,1.0,25,bytetrack
