dataset,split,protocol,data_role,input,tracker,method,internal_method,parent_method,sequence_count,sequences,aggregation,IDF1,delta_IDF1_vs_None,delta_IDF1_vs_parent,AssA,delta_AssA_vs_None,delta_AssA_vs_parent,IDSW,delta_IDSW_vs_None,delta_IDSW_vs_parent
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,H,cost_h,None,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.62319496708365,1.7379671216860508,1.7379671216860508,94.19994511113885,1.9201571237026371,1.9201571237026371,5,-15,-15
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,H+V,cost_h_full_reassign,H,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.80703651623246,1.9218086708348636,0.1838415491488128,94.37940271111657,2.09961472368035,0.17945759997771304,9,-11,4
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,None,no_refinement,None,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,96.8852278453976,0.0,0.0,92.27978798743621,0.0,0.0,20,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,P-G,path_g,None,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.50245889372954,1.617231048331952,1.617231048331952,93.93137366122394,1.651585673787725,1.651585673787725,9,-11,-11
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,P-G+V,path_g_full_reassign,P-G,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.80703651623246,1.9218086708348636,0.30457762250291154,94.37940271111657,2.09961472368035,0.44802904989262515,9,-11,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,v1,ace_v1,None,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.5023593141744,1.6171314687768046,1.6171314687768046,93.96168798921353,1.6819000017773185,1.6819000017773185,9,-11,-11
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,H,cost_h,None,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.32558290030127,2.228182523392089,2.228182523392089,97.10249517671116,2.554327112079271,2.554327112079271,6,-15,-15
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,H+V,cost_h_full_reassign,H,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.27593046733205,2.178530090422875,-0.04965243296921429,97.00620471158334,2.458036646951463,-0.09629046512780803,8,-13,2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,None,no_refinement,None,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,96.09740037690918,0.0,0.0,94.54816806463188,0.0,0.0,21,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,P-G,path_g,None,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.24389150795744,2.1464911310482755,2.1464911310482755,96.91729046572033,2.3691224010884397,2.3691224010884397,10,-11,-11
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,P-G+V,path_g_full_reassign,P-G,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.24389150795744,2.1464911310482755,0.0,96.93129086119917,2.3831227965672923,0.014000395478852568,10,-11,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,v1,ace_v1,None,4,M3OT/1/ir/val/1-08T;M3OT/1/rgb/val/1-08;M3OT/2/ir/val/2-08T;M3OT/2/rgb/val/2-08,equal-sequence mean for IDF1/AssA; total for IDSW,98.25991098764476,2.162510610735577,2.162510610735577,96.97591175654252,2.4277436919106314,2.4277436919106314,9,-12,-12
