dataset,split,protocol,data_role,input,sequence,tracker,method,internal_method,parent_method,IDF1,delta_IDF1_vs_None,delta_IDF1_vs_parent,AssA,delta_AssA_vs_None,delta_AssA_vs_parent,IDSW,delta_IDSW_vs_None,delta_IDSW_vs_parent
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,bytetrack,None,no_refinement,None,99.00564364418167,0.0,0.0,94.52264145011814,0.0,0.0,5,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,bytetrack,v1,ace_v1,None,97.94858013078921,-1.057063513392464,-1.057063513392464,92.78653781644401,-1.7361036336741336,-1.7361036336741336,4,-1,-1
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,bytetrack,H,cost_h,None,98.34273940696944,-0.6629042372122314,-0.6629042372122314,93.5742203443645,-0.9484211057536385,-0.9484211057536385,1,-4,-4
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,bytetrack,H+V,cost_h_full_reassign,H,99.25647227447818,0.25082863029651037,0.9137328675087417,94.70438659266016,0.18174514254201313,1.1301662482956516,3,-2,2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,bytetrack,P-G,path_g,None,98.03816178446654,-0.9674818597151358,-0.9674818597151358,92.9860382625666,-1.536603187551549,-1.536603187551549,3,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,bytetrack,P-G+V,path_g_full_reassign,P-G,99.25647227447818,0.25082863029651037,1.2183104900116462,94.70438659266016,0.18174514254201313,1.718348330093562,3,-2,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,ocsort,None,no_refinement,None,97.17432517829737,0.0,0.0,95.68257009533822,0.0,0.0,6,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,ocsort,v1,ace_v1,None,98.56459330143541,1.3902681231380427,1.3902681231380427,97.13314028050411,1.450570185165887,1.450570185165887,4,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,ocsort,H,cost_h,None,98.76320303331227,1.5888778550148999,1.5888778550148999,97.51830214101534,1.8357320456771191,1.8357320456771191,2,-4,-4
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,ocsort,H+V,cost_h_full_reassign,H,98.56459330143541,1.3902681231380427,-0.19860973187685715,97.13314028050411,1.450570185165887,-0.38516186051123213,4,-2,2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,ocsort,P-G,path_g,None,98.56459330143541,1.3902681231380427,1.3902681231380427,97.13314028050411,1.450570185165887,1.450570185165887,4,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/val/1-08T,ocsort,P-G+V,path_g_full_reassign,P-G,98.56459330143541,1.3902681231380427,0.0,97.13314028050411,1.450570185165887,0.0,4,-2,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,bytetrack,None,no_refinement,None,99.0907501311418,0.0,0.0,92.97003547249177,0.0,0.0,3,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,bytetrack,v1,ace_v1,None,99.54537506557091,0.45462493442910556,0.45462493442910556,93.65072633344991,0.680690860958137,0.680690860958137,1,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,bytetrack,H,cost_h,None,99.54537506557091,0.45462493442910556,0.45462493442910556,93.65072633344991,0.680690860958137,0.680690860958137,1,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,bytetrack,H+V,cost_h_full_reassign,H,99.54537506557091,0.45462493442910556,0.0,93.65072633344991,0.680690860958137,0.0,1,-2,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,bytetrack,P-G,path_g,None,99.54537506557091,0.45462493442910556,0.45462493442910556,93.65072633344991,0.680690860958137,0.680690860958137,1,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,bytetrack,P-G+V,path_g_full_reassign,P-G,99.54537506557091,0.45462493442910556,0.0,93.65072633344991,0.680690860958137,0.0,1,-2,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,None,no_refinement,None,98.53847508364149,0.0,0.0,97.27228171910852,0.0,0.0,3,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,v1,ace_v1,None,98.8906497622821,0.35217467864060836,0.35217467864060836,97.77044456021233,0.49816284110380593,0.49816284110380593,1,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,H,cost_h,None,98.8906497622821,0.35217467864060836,0.35217467864060836,97.77044456021233,0.49816284110380593,0.49816284110380593,1,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,H+V,cost_h_full_reassign,H,98.8906497622821,0.35217467864060836,0.0,97.77044456021233,0.49816284110380593,0.0,1,-2,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,P-G,path_g,None,98.8906497622821,0.35217467864060836,0.35217467864060836,97.77044456021233,0.49816284110380593,0.49816284110380593,1,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,P-G+V,path_g_full_reassign,P-G,98.8906497622821,0.35217467864060836,0.0,97.77044456021233,0.49816284110380593,0.0,1,-2,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,bytetrack,None,no_refinement,None,90.86507835393044,0.0,0.0,85.95331180887736,0.0,0.0,11,0,0
