protocol,family,sequence,tracker,table4_method,d16_method,table4_IDF1,d16_IDF1,d16_minus_table4_IDF1,table4_AssA,d16_AssA,d16_minus_table4_AssA,table4_IDSW,d16_IDSW,d16_minus_table4_IDSW,table4_reconstructed_accepted_edges,table4_stored_accepted_edges,table4_reconstruction_count_matches,d16_reconstructed_accepted_edges,d16_stored_accepted_edges,d16_reconstruction_count_matches
oracle_aabb,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,path_g,38.4965496990163,36.734693877551024,-1.761855821465275,18.829242587253866,18.060230413620843,-0.7690121736330227,519,564,45,121,121,True,101,101,True
oracle_aabb,legacy12,data28-1,ocsort,geometry_reid_greedy_guard,path_g,24.826291079812208,24.60093896713615,-0.2253521126760596,15.270845616738518,15.079671793304787,-0.19117382343373102,263,274,11,107,107,True,87,87,True
oracle_aabb,legacy12,data28-1,deepocsort,geometry_reid_greedy_guard,path_g,90.60531361270885,90.60531361270885,0.0,94.61489932301119,94.61489932301119,0.0,13,13,0,1,1,True,1,1,True
oracle_aabb,legacy12,data28-2,bytetrack,geometry_reid_greedy_guard,path_g,83.31388564760793,83.31388564760793,0.0,68.77706658473382,68.77706658473382,0.0,31,31,0,5,5,True,5,5,True
oracle_aabb,legacy12,data28-2,ocsort,geometry_reid_greedy_guard,path_g,65.77777777777779,64.88888888888889,-0.8888888888888999,59.49937948892159,57.445346084165095,-2.0540334047564954,14,21,7,36,36,True,34,34,True
oracle_aabb,legacy12,data28-2,deepocsort,geometry_reid_greedy_guard,path_g,86.46748681898066,86.46748681898066,0.0,97.57605870084122,97.57605870084122,0.0,1,1,0,3,3,True,3,3,True
oracle_aabb,legacy12,data28-3,bytetrack,geometry_reid_greedy_guard,path_g,26.997245179063363,26.997245179063363,0.0,43.67110276343757,43.67110276343757,0.0,9,9,0,0,0,True,0,0,True
oracle_aabb,legacy12,data28-3,ocsort,geometry_reid_greedy_guard,path_g,25.142857142857146,25.142857142857146,0.0,60.53542202478375,60.53542202478375,0.0,3,3,0,0,0,True,0,0,True
oracle_aabb,legacy12,data28-3,deepocsort,geometry_reid_greedy_guard,path_g,12.844036697247708,12.844036697247708,0.0,48.539377289377285,48.539377289377285,0.0,3,3,0,0,0,True,0,0,True
oracle_aabb,legacy12,data28-4,bytetrack,geometry_reid_greedy_guard,path_g,6.557377049180328,6.557377049180328,0.0,23.784580777061972,23.784580777061972,0.0,4,4,0,1,1,True,1,1,True
oracle_aabb,legacy12,data28-4,ocsort,geometry_reid_greedy_guard,path_g,4.201680672268908,4.201680672268908,0.0,23.492578849721706,23.492578849721706,0.0,2,2,0,0,0,True,0,0,True
oracle_aabb,legacy12,data28-4,deepocsort,geometry_reid_greedy_guard,path_g,5.691056910569105,5.691056910569105,0.0,14.029341029341024,14.029341029341024,0.0,8,8,0,1,1,True,1,1,True
oracle_aabb,legacy12,data28-5,bytetrack,geometry_reid_greedy_guard,path_g,13.725490196078432,13.725490196078432,0.0,9.947650539136815,9.947650539136815,0.0,8,8,0,0,0,True,0,0,True
oracle_aabb,legacy12,data28-5,ocsort,geometry_reid_greedy_guard,path_g,19.718309859154928,19.718309859154928,0.0,25.35831626557432,25.3251214138311,-0.033194851743221676,10,9,-1,12,12,True,13,13,True
oracle_aabb,legacy12,data28-5,deepocsort,geometry_reid_greedy_guard,path_g,60.215053763440864,60.215053763440864,0.0,61.5556062254651,61.5556062254651,0.0,9,9,0,12,12,True,12,12,True
oracle_aabb,legacy12,data28-6,bytetrack,geometry_reid_greedy_guard,path_g,74.55919395465995,74.55919395465995,0.0,76.6355653609871,76.62564683021132,-0.009918530775777867,1,1,0,1,1,True,1,1,True
oracle_aabb,legacy12,data28-6,ocsort,geometry_reid_greedy_guard,path_g,73.52185089974293,73.52185089974293,0.0,83.98856184033401,83.98856184033401,0.0,1,1,0,1,1,True,1,1,True
oracle_aabb,legacy12,data28-6,deepocsort,geometry_reid_greedy_guard,path_g,50.90909090909091,50.90909090909091,0.0,86.62462843154397,86.62462843154397,0.0,2,2,0,0,0,True,0,0,True
