split,tracker,historical_method,direct_method,sequence_count,mean_historical_IDF1,mean_direct_IDF1,mean_direct_minus_historical_IDF1,mean_historical_AssA,mean_direct_AssA,mean_direct_minus_historical_AssA,total_historical_IDSW,total_direct_IDSW,total_direct_minus_historical_IDSW
development,bytetrack,controlled_cost_greedy,cost_g_legacy,4,98.47050812293985,98.50245889372954,0.03195077078969888,93.90664819348282,93.93137366122394,0.024725467741113505,11,9,-2
development,bytetrack,controlled_cost_partial_hungarian,cost_h,4,98.54665252856557,98.62319496708365,0.07654243851806797,94.05369371393229,94.19994511113885,0.14625139720655156,9,5,-4
development,bytetrack,historical_geometry_first_reciprocal,ace_v1,4,98.49280395680404,98.5023593141744,0.009555357370366835,93.98683763300306,93.96168798921353,-0.025149643789539766,10,9,-1
development,bytetrack,no_refinement,no_refinement,4,96.8852278453976,96.8852278453976,0.0,92.27978798743621,92.27978798743621,0.0,20,20,0
development,ocsort,controlled_cost_greedy,cost_g_legacy,4,98.24389150795744,98.24389150795744,0.0,96.91729046572033,96.91729046572033,0.0,10,10,0
development,ocsort,controlled_cost_partial_hungarian,cost_h,4,98.32558290030127,98.32558290030127,0.0,97.10249517671116,97.10249517671116,0.0,6,6,0
development,ocsort,historical_geometry_first_reciprocal,ace_v1,4,98.25991098764476,98.25991098764476,0.0,96.97591175654252,96.97591175654252,0.0,9,9,0
development,ocsort,no_refinement,no_refinement,4,96.09740037690918,96.09740037690918,0.0,94.54816806463188,94.54816806463188,0.0,21,21,0
held_out,bytetrack,controlled_cost_greedy,cost_g_legacy,4,92.88909087284723,92.07828006203643,-0.8108108108108105,83.41520468657978,82.24978803296527,-1.1654166536145105,5,4,-1
held_out,bytetrack,controlled_cost_partial_hungarian,cost_h,4,91.86195908990149,91.05114827909068,-0.8108108108108105,82.1764517315798,81.01103507796529,-1.1654166536145105,6,5,-1
held_out,bytetrack,historical_geometry_first_reciprocal,ace_v1,4,92.77281180307979,91.96200099226898,-0.8108108108108105,83.15599515375928,81.99057850014476,-1.165416653614507,6,5,-1
held_out,bytetrack,no_refinement,no_refinement,4,96.77181617937282,96.77181617937282,0.0,88.43210190352059,88.43210190352059,0.0,6,6,0
held_out,ocsort,controlled_cost_greedy,cost_g_legacy,4,94.9196701249713,94.9196701249713,0.0,92.12919012677786,92.12919012677786,0.0,4,4,0
held_out,ocsort,controlled_cost_partial_hungarian,cost_h,4,93.95586209979427,93.95586209979427,0.0,90.82033560464683,90.82033560464683,0.0,5,5,0
held_out,ocsort,historical_geometry_first_reciprocal,ace_v1,4,94.8409919188344,94.8409919188344,0.0,91.90887878844285,91.90887878844285,0.0,5,5,0
held_out,ocsort,no_refinement,no_refinement,4,95.39262475202064,95.39262475202064,0.0,92.76751283708309,92.76751283708309,0.0,5,5,0
