protocol,family,sequence,tracker,base_solver,base_method,reassignment_method,tau_a,tau_m,audit_label,base_edges,postfilter_edges,reassigned_edges,base_correct_rejected_by_verifier,base_false_removed_by_verifier,base_unresolved_rejected_by_verifier,reassignment_added_correct,reassignment_added_false,reassignment_added_unresolved,reassignment_dropped_postfilter_correct,reassignment_dropped_postfilter_false,reassignment_dropped_postfilter_unresolved,stored_H_postfilter_exact
official_detector,confirmation38,data23-1,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,6,6,6,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data23-1,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,6,6,6,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data23-1,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,0,0,0,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data23-1,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,0,0,0,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data23-1,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,3,3,3,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data23-1,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,3,3,3,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data24-1,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,218,200,202,0,0,18,0,0,6,0,0,4,True
official_detector,confirmation38,data24-1,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,213,202,202,0,0,11,0,0,0,0,0,0,N/A
official_detector,confirmation38,data24-1,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,72,57,61,0,0,15,0,0,5,0,0,1,True
official_detector,confirmation38,data24-1,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,66,59,59,0,0,7,0,0,0,0,0,0,N/A
official_detector,confirmation38,data24-1,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,41,40,40,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data24-1,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,41,40,40,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data27-1,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,4,4,4,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data27-1,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,4,4,4,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data27-1,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,0,0,0,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data27-1,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,0,0,0,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data27-1,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,1,1,1,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data27-1,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,1,1,1,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data31-1,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,16,15,16,0,0,1,0,0,2,0,0,1,True
official_detector,confirmation38,data31-1,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,16,16,16,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data31-1,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,0,0,0,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data31-1,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,0,0,0,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data31-1,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,7,6,6,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data31-1,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,7,6,6,0,0,1,0,0,0,0,0,0,N/A
