absolute_difference,metric,new_method,passed,protocol,rerun_value,stored_method,stored_value,tracker
0.0,HOTA,no_refinement,True,oracle_aabb,44.1960817531848,no_refinement,44.1960817531848,bytetrack
0.0,AssA,no_refinement,True,oracle_aabb,44.68986006506537,no_refinement,44.68986006506537,bytetrack
0.0,DetA,no_refinement,True,oracle_aabb,46.25335948027518,no_refinement,46.25335948027518,bytetrack
0.0,IDF1,no_refinement,True,oracle_aabb,47.43747380136743,no_refinement,47.43747380136743,bytetrack
0.0,MOTA,no_refinement,True,oracle_aabb,46.124629032135296,no_refinement,46.124629032135296,bytetrack
0.0,IDSW,no_refinement,True,oracle_aabb,20056,no_refinement,20056,bytetrack
0.0,FP,no_refinement,True,oracle_aabb,310,no_refinement,310,bytetrack
0.0,FN,no_refinement,True,oracle_aabb,73372,no_refinement,73372,bytetrack
0.0,TP,no_refinement,True,oracle_aabb,122822,no_refinement,122822,bytetrack
0.0,Frag,no_refinement,True,oracle_aabb,13455,no_refinement,13455,bytetrack
0.0,accepted_correct,no_refinement,True,oracle_aabb,0,no_refinement,0,bytetrack
0.0,accepted_false,no_refinement,True,oracle_aabb,0,no_refinement,0,bytetrack
0.0,accepted_unknown,no_refinement,True,oracle_aabb,0,no_refinement,0,bytetrack
0.0,eligible_source_tracklets,no_refinement,True,oracle_aabb,12242,no_refinement,12242,bytetrack
0.0,HOTA,ace_v1,True,oracle_aabb,45.19470819459815,com3d_reciprocal_guard,45.19470819459815,bytetrack
0.0,AssA,ace_v1,True,oracle_aabb,46.33654084058153,com3d_reciprocal_guard,46.33654084058153,bytetrack
0.0,DetA,ace_v1,True,oracle_aabb,46.24728048751834,com3d_reciprocal_guard,46.24728048751834,bytetrack
0.0,IDF1,ace_v1,True,oracle_aabb,49.71681428353508,com3d_reciprocal_guard,49.71681428353508,bytetrack
0.0,MOTA,ace_v1,True,oracle_aabb,47.438017804208414,com3d_reciprocal_guard,47.438017804208414,bytetrack
0.0,IDSW,ace_v1,True,oracle_aabb,17511,com3d_reciprocal_guard,17511,bytetrack
0.0,FP,ace_v1,True,oracle_aabb,310,com3d_reciprocal_guard,310,bytetrack
0.0,FN,ace_v1,True,oracle_aabb,73372,com3d_reciprocal_guard,73372,bytetrack
0.0,TP,ace_v1,True,oracle_aabb,122822,com3d_reciprocal_guard,122822,bytetrack
0.0,Frag,ace_v1,True,oracle_aabb,13455,com3d_reciprocal_guard,13455,bytetrack
0.0,accepted_correct,ace_v1,True,oracle_aabb,317,com3d_reciprocal_guard,317,bytetrack
0.0,accepted_false,ace_v1,True,oracle_aabb,255,com3d_reciprocal_guard,255,bytetrack
0.0,accepted_unknown,ace_v1,True,oracle_aabb,3909,com3d_reciprocal_guard,3909,bytetrack
0.0,eligible_source_tracklets,ace_v1,True,oracle_aabb,12242,com3d_reciprocal_guard,12242,bytetrack
0.0,HOTA,cost_r,True,oracle_aabb,45.40956883157397,controlled_cost_reciprocal,45.40956883157397,bytetrack
0.0,AssA,cost_r,True,oracle_aabb,46.686733824410105,controlled_cost_reciprocal,46.686733824410105,bytetrack
0.0,DetA,cost_r,True,oracle_aabb,46.24604555811039,controlled_cost_reciprocal,46.24604555811039,bytetrack
0.0,IDF1,cost_r,True,oracle_aabb,50.3000083290276,controlled_cost_reciprocal,50.3000083290276,bytetrack
0.0,MOTA,cost_r,True,oracle_aabb,47.79142783936156,controlled_cost_reciprocal,47.79142783936156,bytetrack
0.0,IDSW,cost_r,True,oracle_aabb,16710,controlled_cost_reciprocal,16710,bytetrack
0.0,FP,cost_r,True,oracle_aabb,310,controlled_cost_reciprocal,310,bytetrack
0.0,FN,cost_r,True,oracle_aabb,73372,controlled_cost_reciprocal,73372,bytetrack
0.0,TP,cost_r,True,oracle_aabb,122822,controlled_cost_reciprocal,122822,bytetrack
0.0,Frag,cost_r,True,oracle_aabb,13455,controlled_cost_reciprocal,13455,bytetrack
0.0,accepted_correct,cost_r,True,oracle_aabb,369,controlled_cost_reciprocal,369,bytetrack
0.0,accepted_false,cost_r,True,oracle_aabb,281,controlled_cost_reciprocal,281,bytetrack
0.0,accepted_unknown,cost_r,True,oracle_aabb,4226,controlled_cost_reciprocal,4226,bytetrack
0.0,eligible_source_tracklets,cost_r,True,oracle_aabb,12242,controlled_cost_reciprocal,12242,bytetrack
0.0,HOTA,cost_g_legacy,True,oracle_aabb,45.826709460497206,controlled_cost_greedy,45.826709460497206,bytetrack
0.0,AssA,cost_g_legacy,True,oracle_aabb,47.3525730110879,controlled_cost_greedy,47.3525730110879,bytetrack
0.0,DetA,cost_g_legacy,True,oracle_aabb,46.24195186253286,controlled_cost_greedy,46.24195186253286,bytetrack
0.0,IDF1,cost_g_legacy,True,oracle_aabb,51.54147416904981,controlled_cost_greedy,51.54147416904981,bytetrack
0.0,MOTA,cost_g_legacy,True,oracle_aabb,48.58650076355709,controlled_cost_greedy,48.58650076355709,bytetrack
0.0,IDSW,cost_g_legacy,True,oracle_aabb,14929,controlled_cost_greedy,14929,bytetrack
0.0,FP,cost_g_legacy,True,oracle_aabb,310,controlled_cost_greedy,310,bytetrack
0.0,FN,cost_g_legacy,True,oracle_aabb,73372,controlled_cost_greedy,73372,bytetrack
