baseline,bootstrap_95_high_pp,bootstrap_95_low_pp,bootstrap_resamples,bootstrap_seed,bootstrap_unit,contrast,dataset,fresh_confirmation,improved_sequences,mean_idf1_delta_pp,protocol,sequence_count,tied_sequences,total_idsw_delta,tracker,treatment,worsened_sequences
cost_h,-0.02776007319714858,-0.1821052560367601,10000,20260915,released_sequence_with_tracker_variants_paired,primary_H_plus_V_minus_H,MMOT,False,6,-0.1008289470313613,official_detector,50,25,61,bytetrack,cost_h_full_reassign,19
cost_h,0.18152774693818902,-0.062397982996394374,10000,20260915,released_sequence_with_tracker_variants_paired,primary_H_plus_V_minus_H,MMOT,False,15,0.04993681240151524,official_detector,50,25,27,deepocsort,cost_h_full_reassign,10
cost_h,-0.025796086102244497,-0.3010637133033727,10000,20260915,released_sequence_with_tracker_variants_paired,primary_H_plus_V_minus_H,MMOT,False,6,-0.14845282715995428,official_detector,50,20,137,ocsort,cost_h_full_reassign,24
cost_h,0.008075362724266394,-0.14419159273472285,10000,20260915,released_sequence_with_tracker_variants_paired,primary_H_plus_V_minus_H,MMOT,False,13,-0.06644832059660011,official_detector,50,13,225,all_trackers_sequence_mean,cost_h_full_reassign,24
path_g,-0.0189967532323355,-0.13386196382060928,10000,20260915,released_sequence_with_tracker_variants_paired,replication_G_plus_V_minus_G,MMOT,False,5,-0.0671928734697261,official_detector,50,26,93,bytetrack,path_g_full_reassign,19
path_g,0.1536608267799034,-0.04342682470038189,10000,20260915,released_sequence_with_tracker_variants_paired,replication_G_plus_V_minus_G,MMOT,False,15,0.04945244965887362,official_detector,50,27,26,deepocsort,path_g_full_reassign,8
path_g,0.04425752485524573,-0.13155080004198055,10000,20260915,released_sequence_with_tracker_variants_paired,replication_G_plus_V_minus_G,MMOT,False,5,-0.043230155669342504,official_detector,50,25,85,ocsort,path_g_full_reassign,20
path_g,0.0324806409485548,-0.0725603099292667,10000,20260915,released_sequence_with_tracker_variants_paired,replication_G_plus_V_minus_G,MMOT,False,14,-0.020323526493398324,official_detector,50,15,204,all_trackers_sequence_mean,path_g_full_reassign,21
cost_h,0.029826109382118913,-0.0027509266869908283,10000,20260915,released_sequence_with_tracker_variants_paired,motion_only_minus_H,MMOT,False,5,0.01100867111415674,official_detector,50,41,9,bytetrack,cost_h_motion_reassign,4
cost_h,0.16567268668318244,-0.04680734461371702,10000,20260915,released_sequence_with_tracker_variants_paired,motion_only_minus_H,MMOT,False,14,0.051646416768531864,official_detector,50,27,15,deepocsort,cost_h_motion_reassign,9
cost_h,0.075,-0.007524734103216946,10000,20260915,released_sequence_with_tracker_variants_paired,motion_only_minus_H,MMOT,False,2,0.021868255736710154,official_detector,50,45,0,ocsort,cost_h_motion_reassign,3
cost_h,0.07059784931478104,-0.008051362292080496,10000,20260915,released_sequence_with_tracker_variants_paired,motion_only_minus_H,MMOT,False,18,0.028174447873132925,official_detector,50,22,24,all_trackers_sequence_mean,cost_h_motion_reassign,10
cost_h,0.032981896958203465,-0.06344862195220569,10000,20260915,released_sequence_with_tracker_variants_paired,soft_information_minus_H,MMOT,False,14,-0.01255080360687252,official_detector,50,28,-43,bytetrack,cost_h_soft_information,8
cost_h,0.057346665761730094,-0.03661112050156674,10000,20260915,released_sequence_with_tracker_variants_paired,soft_information_minus_H,MMOT,False,5,0.012751198890341583,official_detector,50,42,-7,deepocsort,cost_h_soft_information,3
cost_h,-0.029439480328758462,-0.1695653271749251,10000,20260915,released_sequence_with_tracker_variants_paired,soft_information_minus_H,MMOT,False,5,-0.08987219026183774,official_detector,50,31,22,ocsort,cost_h_soft_information,14
cost_h,0.007288328580661925,-0.07518407860243108,10000,20260915,released_sequence_with_tracker_variants_paired,soft_information_minus_H,MMOT,False,14,-0.02989059832612289,official_detector,50,21,-28,all_trackers_sequence_mean,cost_h_soft_information,15
