AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_links,accepted_unknown,all_box_multisets_preserved,component_rejections,duplicate_frame_identity_count,method,sequence_tracker_units,solver_seconds,split,tau_a,tau_m,tie_ambiguous,tie_excluded_correct,tie_excluded_false
95.46879987287802,96.26877734879501,658,4,40,95.85216035015475,98.38113515090959,18,98.71748625892553,53852,22,8,33,3,True,0,0,ace_v1,8,1.7101209126412868,development,N/A,N/A,0,22,8
95.42433206347212,96.26877734879501,658,4,40,95.82974609333036,98.3731752008435,19,98.7165417918653,53852,20,12,35,3,True,22,0,cost_g_legacy,8,1.7601830419152975,development,N/A,N/A,0,20,12
95.651220143925,96.26877734879501,658,4,40,95.94404552406786,98.47438893369247,11,98.73181880167306,53852,28,6,37,3,True,0,0,cost_h,8,1.7186775179579854,development,N/A,N/A,0,28,6
95.37680765304191,96.26877734879501,658,4,40,95.80357829369656,98.14184799689441,25,98.70637091339708,53852,15,0,16,1,True,0,0,cost_h_full_postfilter,8,1.5477997409179807,development,0.0,1.0,0,15,0
95.72845672620488,96.26877734879501,658,4,40,95.98255075647637,98.44376466568973,20,98.71495388536123,53852,19,3,25,3,True,0,0,cost_h_full_postfilter,8,1.6289164135232568,development,0.0,2.0,0,19,3
95.69065528238795,96.26877734879501,658,4,40,95.9635138020296,98.52546401209496,19,98.7165417918653,53852,20,5,28,3,True,0,0,cost_h_full_postfilter,8,1.6312030805274844,development,0.0,4.0,0,20,5
95.47586174112625,96.26877734879501,658,4,40,95.85576109088154,98.3731752008435,19,98.7165417918653,53852,20,6,29,3,True,0,0,cost_h_full_postfilter,8,1.548792153596878,development,0.0,8.0,0,20,6
95.41050912876061,96.26877734879501,658,4,40,95.82037793537845,98.16200386897181,24,98.70860225934496,53852,16,0,17,1,True,0,0,cost_h_full_postfilter,8,1.7229548348113894,development,0.05,1.0,0,16,0
95.7621582019236,96.26877734879501,658,4,40,95.99934551193165,98.46392053776712,19,98.7171852313091,53852,20,3,26,3,True,0,0,cost_h_full_postfilter,8,1.639463703148067,development,0.05,2.0,0,20,3
95.76017148059965,96.26877734879501,658,4,40,95.99837724229981,98.56477754094809,16,98.72194895082129,53852,23,5,31,3,True,0,0,cost_h_full_postfilter,8,1.5718947434797883,development,0.05,4.0,0,23,5
95.54537793933795,96.26877734879501,658,4,40,95.89077962254376,98.41248872969663,16,98.72194895082129,53852,23,6,32,3,True,0,0,cost_h_full_postfilter,8,1.6484873639419675,development,0.05,8.0,0,23,6
95.43675282018094,96.26877734879501,658,4,40,95.83352404673877,98.17780237037111,23,98.71083360529283,53852,17,0,18,1,True,0,0,cost_h_full_postfilter,8,1.5752606634050608,development,0.1,1.0,0,17,0
95.80361862080875,96.26877734879501,658,4,40,96.020222970937,98.48772877901007,17,98.72100448376105,53852,22,3,28,3,True,0,0,cost_h_full_postfilter,8,1.6509262099862099,development,0.1,2.0,0,22,3
95.8016318994848,96.26877734879501,658,4,40,96.01923681190402,98.58858578219105,14,98.72576820327323,53852,25,5,33,3,True,0,0,cost_h_full_postfilter,8,1.6565641397610307,development,0.1,4.0,0,25,5
95.5868383582231,96.26877734879501,658,4,40,95.91163919214799,98.43629697093958,14,98.72576820327323,53852,25,6,34,3,True,0,0,cost_h_full_postfilter,8,1.6542837880551815,development,0.1,8.0,0,25,6
