admitted_direct_tracker_boxes,crop_admission_uses_gt,descriptor_count,descriptor_path,descriptor_sha256,modality,prediction_path,prediction_sha256,sequence,split,tracker,tracker_observations,tracklets_total,tracklets_with_direct_crops
5561,False,44,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/development/M3OT__1__ir__val__1-08T/bytetrack.npz,bd9ad25faaac99e02561038890dbec2a5ad222c9bf5809f28754ddc6f0e5a803,ir,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/development/M3OT__1__ir__val__1-08T/bytetrack.jsonl.gz,ff81b142c181a12074ad08ebc207a70a1b0a6f363becbd2b2e7d7a387e15456c,M3OT/1/ir/val/1-08T,development,bytetrack,5561,44,44
5475,False,45,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/development/M3OT__1__ir__val__1-08T/ocsort.npz,556aa06565a37c1866345d4dd9baef8202ed86d9414de88c8f33315d8094d069,ir,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/development/M3OT__1__ir__val__1-08T/ocsort.jsonl.gz,03cbeb9e432535afe7d86b63d2dc0c7ea97f96e25c87efd2a04a7646b65fb345,M3OT/1/ir/val/1-08T,development,ocsort,5475,45,45
5700,False,42,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/development/M3OT__1__rgb__val__1-08/bytetrack.npz,246d438a2628123e4983c8753b9c842ed1e4f6b9fbf36af3230dcb0f0a397452,rgb,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/development/M3OT__1__rgb__val__1-08/bytetrack.jsonl.gz,6db1bad65d2a4425a7cc3fd8e35d90614bfbdc413984611cef236889723bc483,M3OT/1/rgb/val/1-08,development,bytetrack,5700,42,42
5620,False,42,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/development/M3OT__1__rgb__val__1-08/ocsort.npz,f3a37247634b0776fe40bfa68b6ae637374997320e3027fab9858b1a1a92ae5f,rgb,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/development/M3OT__1__rgb__val__1-08/ocsort.jsonl.gz,a04aad1c9bb337fe61e7a32261c2d378bd5e253aa20bd328f91ec1a7671a748d,M3OT/1/rgb/val/1-08,development,ocsort,5620,42,42
7826,False,50,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/development/M3OT__2__ir__val__2-08T/bytetrack.npz,726cb26e02fb1c190595947073d7e872bb82412f82fd277a1bc043a0c121473b,ir,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/development/M3OT__2__ir__val__2-08T/bytetrack.jsonl.gz,55d85bdbc0c3cd4bd27fe49df979f41f38e3b1fbd57224ba190bca52bcb3b256,M3OT/2/ir/val/2-08T,development,bytetrack,7826,50,50
7734,False,50,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/development/M3OT__2__ir__val__2-08T/ocsort.npz,11b0a6c6c2b1231ff939d922beaaed54a3f3ae462f8d541800955c7f4bad2e18,ir,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/development/M3OT__2__ir__val__2-08T/ocsort.jsonl.gz,a2c3180396798dc66a33ac2de76ed6afef1a55368bb7b6b959632de3ae96dc32,M3OT/2/ir/val/2-08T,development,ocsort,7734,50,50
8007,False,40,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/development/M3OT__2__rgb__val__2-08/bytetrack.npz,7143a60ff54006875c1a438c8b957aa3accbfcd99e7c2eadb642b8921c9678c7,rgb,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/development/M3OT__2__rgb__val__2-08/bytetrack.jsonl.gz,fdb44af59111fc96c55797cbd563c95bc0dc37a974c932a2204c4c5eee008eef,M3OT/2/rgb/val/2-08,development,bytetrack,8007,40,40
7933,False,40,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/development/M3OT__2__rgb__val__2-08/ocsort.npz,8468b4f45e0e0acde0bcc2550899002c4bbb2045dbe4eec6eaa16b315bcc2869,rgb,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/development/M3OT__2__rgb__val__2-08/ocsort.jsonl.gz,f8d80f316a3e3a14d9a06dccc881948cff3d1351ba0ad2b086484cafcf117ef8,M3OT/2/rgb/val/2-08,development,ocsort,7933,40,40
1279,False,22,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/held_out/M3OT__1__ir__test__1-03T/bytetrack.npz,c6f006ef99281141be820432c8feaa37eeb93d4c04044a83bc3ae1e9c4206cd7,ir,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/held_out/M3OT__1__ir__test__1-03T/bytetrack.jsonl.gz,ec9ba7afb9ebb48dd255ca212119755f6d27a552c0e472e7117f3f6858cf6fc2,M3OT/1/ir/test/1-03T,held_out,bytetrack,1279,22,22
1241,False,21,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/descriptors/held_out/M3OT__1__ir__test__1-03T/ocsort.npz,c717c024a3aaa1855f281c19749df8e9f63283ee4d70d2e2fc0215ac4666cd9b,ir,reproducibility/ace_v_pilot_20260915/results_raw/m3ot_direct_crop_v1/tracker_outputs/held_out/M3OT__1__ir__test__1-03T/ocsort.jsonl.gz,b607f7fdf759043b3f6394caa049dc15d5a438c25e613a44f03f64db4b4e3250,M3OT/1/ir/test/1-03T,held_out,ocsort,1241,21,21
