AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_coverage,accepted_false,accepted_unknown,aggregation,all_box_multisets_preserved,auditable_fraction,conditional_error,duplicate_frame_identity_count,eligible_source_tracklets,method,predicted_boxes,protocol,scope,sequence_count,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_gt_boxes
43.754992136797625,30.955724665701783,104376,12727,7690,35.39909653851582,39.967401330532766,8935,29.61374190453957,91818,97,0.3436401967673928,41,2796,equal_sequence_mean_metrics_total_counts,True,0.04703476482617587,0.2971014492753623,0,8538,ace_v1,104545,official_detector,all_50_sequences,50,0,97,41,bytetrack,196194
44.40712850341626,30.956398267303403,104376,12727,7690,35.75822617012022,40.973999059387516,7604,30.19491531703129,91818,119,0.5079643944717732,45,4173,equal_sequence_mean_metrics_total_counts,True,0.037814157251556374,0.27439024390243905,0,8538,cost_g_legacy,104545,official_detector,all_50_sequences,50,1,118,45,bytetrack,196194
44.10538812617762,30.95569739495098,104376,12727,7690,35.57788558011366,40.56301056770218,8405,29.84725948798606,91818,109,0.47528695244788005,44,3905,equal_sequence_mean_metrics_total_counts,True,0.037703302119270574,0.2875816993464052,0,8538,cost_h,104545,official_detector,all_50_sequences,50,1,108,44,bytetrack,196194
44.028334902429734,30.955706262232514,104376,12727,7690,35.5355148537441,40.409062517876535,8577,29.7700468507269,91818,106,0.36249707191379715,37,2952,equal_sequence_mean_metrics_total_counts,True,0.04620355411954766,0.25874125874125875,0,8538,cost_h_full_postfilter,104545,official_detector,all_50_sequences,50,1,105,37,bytetrack,196194
44.057245126142995,30.9558233317377,104376,12727,7690,35.55085378031302,40.46218162067082,8466,29.813959308397205,91818,110,0.393183415319747,40,3207,equal_sequence_mean_metrics_total_counts,True,0.044682752457551385,0.26666666666666666,0,8538,cost_h_full_reassign,104545,official_detector,all_50_sequences,50,1,109,40,bytetrack,196194
44.08091263555354,30.95647180922929,104376,12727,7690,35.56339638981053,40.51344572196674,8373,29.85406852115964,91818,110,0.42515811665495434,39,3481,equal_sequence_mean_metrics_total_counts,True,0.04104683195592287,0.26174496644295303,0,8538,cost_h_margin_reassign,104545,official_detector,all_50_sequences,50,1,109,39,bytetrack,196194
44.10990951702108,30.955552732450613,104376,12727,7690,35.57955486788312,40.574019238816334,8414,29.844698141948292,91818,109,0.47177324900445067,44,3875,equal_sequence_mean_metrics_total_counts,True,0.03798411122144985,0.2875816993464052,0,8538,cost_h_motion_reassign,104545,official_detector,all_50_sequences,50,1,108,44,bytetrack,196194
44.09271361241085,30.95558460554106,104376,12727,7690,35.569486282755484,40.550459764095315,8362,29.852577220770833,91818,110,0.46205200281096276,42,3793,equal_sequence_mean_metrics_total_counts,True,0.0385297845373891,0.27631578947368424,0,8538,cost_h_soft_information,104545,official_detector,all_50_sequences,50,1,109,42,bytetrack,196194
44.02559361147374,30.955244678149878,104376,12727,7690,35.53279714304084,40.42213108370916,8491,29.804180675357088,91818,106,0.37174982431482784,35,3033,equal_sequence_mean_metrics_total_counts,True,0.0444234404536862,0.24822695035460993,0,8538,cost_r,104545,official_detector,all_50_sequences,50,1,105,35,bytetrack,196194
42.28840199140618,30.95868140253957,104376,12727,7690,34.64553531169412,38.316340731805155,10324,28.830907660110967,91818,0,0.0,0,0,equal_sequence_mean_metrics_total_counts,True,N/A,N/A,0,8538,no_refinement,104545,official_detector,all_50_sequences,50,0,0,0,bytetrack,196194
44.08651165386211,30.956114300567098,104376,12727,7690,35.57045038499436,40.52926314088377,8371,29.85559830076356,91818,111,0.4527992504099321,40,3715,equal_sequence_mean_metrics_total_counts,True,0.039058458354888775,0.26490066225165565,0,8538,path_g,104545,official_detector,all_50_sequences,50,1,110,40,bytetrack,196194
44.05503970337384,30.95516310492433,104376,12727,7690,35.549124669374606,40.46207026741405,8464,29.815291259188797,91818,111,0.39095806980557507,39,3188,equal_sequence_mean_metrics_total_counts,True,0.04493708807669263,0.26,0,8538,path_g_full_reassign,104545,official_detector,all_50_sequences,50,1,110,39,bytetrack,196194
67.83676799973769,45.10611481469242,72677,12281,4881,54.30897702017599,64.08300884293617,1046,50.06578162693367,123517,42,0.2167009703028521,20,675,equal_sequence_mean_metrics_total_counts,True,0.08412483039348712,0.3225806451612903,0,3401,ace_v1,135798,official_detector,all_50_sequences,50,2,40,20,deepocsort,196194
67.95552955927462,45.10513212925513,72677,12281,4881,54.36215458686148,64.16783639486219,945,50.126574446057894,123517,47,0.2637459570714496,20,830,equal_sequence_mean_metrics_total_counts,True,0.07469342251950947,0.29850746268656714,0,3401,cost_g_legacy,135798,official_detector,all_50_sequences,50,2,45,20,deepocsort,196194
67.95142270721477,45.10511650839323,72677,12281,4881,54.360343837545834,64.17182438841735,957,50.126218627951864,123517,46,0.2608056453984122,22,819,equal_sequence_mean_metrics_total_counts,True,0.07666290868094701,0.3235294117647059,0,3401,cost_h,135798,official_detector,all_50_sequences,50,2,44,22,deepocsort,196194
67.98688094161014,45.10478033409111,72677,12281,4881,54.37469877286704,64.22832386278365,997,50.100077165537016,123517,46,0.18406351073213761,17,563,equal_sequence_mean_metrics_total_counts,True,0.10063897763578275,0.2698412698412698,0,3401,cost_h_full_postfilter,135798,official_detector,all_50_sequences,50,2,44,17,deepocsort,196194
67.9791524832778,45.104636116100856,72677,12281,4881,54.371272996725075,64.22176120081886,984,50.10211124063919,123517,47,0.1943546015877683,18,596,equal_sequence_mean_metrics_total_counts,True,0.09833585476550681,0.27692307692307694,0,3401,cost_h_full_reassign,135798,official_detector,all_50_sequences,50,2,45,18,deepocsort,196194
67.97530028281871,45.10458278779363,72677,12281,4881,54.371593891397225,64.20083329353224,959,50.113592377290544,123517,47,0.24022346368715083,19,751,equal_sequence_mean_metrics_total_counts,True,0.08078335373317014,0.2878787878787879,0,3401,cost_h_margin_reassign,135798,official_detector,all_50_sequences,50,2,45,19,deepocsort,196194
67.96938484395172,45.105368110101274,72677,12281,4881,54.36663598937646,64.22347080518587,972,50.118957945741705,123517,46,0.21817112613937079,22,674,equal_sequence_mean_metrics_total_counts,True,0.09164420485175202,0.3235294117647059,0,3401,cost_h_motion_reassign,135798,official_detector,all_50_sequences,50,2,44,22,deepocsort,196194
