AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,box_preserving,class_instances,duplicate_frame_identity_count,duplicate_free,eligible_source_tracklets,family,input_rows,method,output_rows,predicted_boxes,protocol,sequence,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_common_box_protocol,valid_gt_boxes
16.829566687274657,55.178320569014886,1176,55,304,30.389773759204598,33.88636029951549,601,53.80736258194655,2790,0,0,0,True,8,0,True,238,legacy12,2845,no_refinement,2845,2845,oracle_aabb,data28-1,0,0,0,bytetrack,True,3966
18.14532796265034,55.178320569014886,1176,55,304,31.568483359813747,36.734693877551024,571,54.563792233988906,2790,12,16,53,True,8,0,True,238,legacy12,2845,ace_v1,2845,2845,oracle_aabb,data28-1,3,12,13,bytetrack,True,3966
18.41718756807034,55.178320569014886,1176,55,304,31.804145464966606,36.99897225077081,565,54.71507816439738,2790,14,17,56,True,8,0,True,238,legacy12,2845,cost_r,2845,2845,oracle_aabb,data28-1,5,13,13,bytetrack,True,3966
18.83581632095986,55.178320569014886,1176,55,304,32.17015010318135,38.29099985317868,522,55.79929399899143,2790,19,28,74,True,8,0,True,238,legacy12,2845,cost_g_legacy,2845,2845,oracle_aabb,data28-1,6,18,23,bytetrack,True,3966
18.109168044356135,55.178320569014886,1176,55,304,31.539087728837263,36.793422404933196,564,54.74029248613213,2790,15,26,66,True,8,0,True,238,legacy12,2845,cost_h,2845,2845,oracle_aabb,data28-1,7,13,21,bytetrack,True,3966
18.060230413620843,55.178320569014886,1176,55,304,31.49617687294186,36.734693877551024,564,54.74029248613213,2790,14,24,63,True,8,0,True,238,legacy12,2845,path_g,2845,2845,oracle_aabb,data28-1,5,13,20,bytetrack,True,3966
18.340378177894014,55.178320569014886,1176,55,304,31.738651387616212,37.057700778152984,566,54.68986384266263,2790,15,21,62,True,8,0,True,238,legacy12,2845,cost_h_margin_reassign,2845,2845,oracle_aabb,data28-1,5,14,17,bytetrack,True,3966
18.170344640461717,55.178320569014886,1176,55,304,31.592922906754637,36.793422404933196,563,54.76550680786687,2790,15,26,65,True,8,0,True,238,legacy12,2845,cost_h_motion_reassign,2845,2845,oracle_aabb,data28-1,7,13,21,bytetrack,True,3966
18.37013876028577,55.178320569014886,1176,55,304,31.764080716641363,36.96960798707972,566,54.68986384266263,2790,15,17,61,True,8,0,True,238,legacy12,2845,cost_h_full_postfilter,2845,2845,oracle_aabb,data28-1,7,13,12,bytetrack,True,3966
18.339129568214226,55.178320569014886,1176,55,304,31.737552127300095,37.057700778152984,566,54.68986384266263,2790,15,21,61,True,8,0,True,238,legacy12,2845,cost_h_full_reassign,2845,2845,oracle_aabb,data28-1,5,14,17,bytetrack,True,3966
18.140479285711468,55.178320569014886,1176,55,304,31.56598461832309,36.793422404933196,564,54.74029248613213,2790,16,25,64,True,8,0,True,238,legacy12,2845,cost_h_soft_information,2845,2845,oracle_aabb,data28-1,7,14,20,bytetrack,True,3966
18.258073656413362,55.178320569014886,1176,55,304,31.666733231637977,36.99897225077081,564,54.74029248613213,2790,14,21,60,True,8,0,True,238,legacy12,2845,path_g_full_reassign,2845,2845,oracle_aabb,data28-1,5,13,17,bytetrack,True,3966
13.678659672826921,34.26626323751892,2607,0,295,21.649862657428603,22.910798122065728,308,26.500252143217345,1359,0,0,0,True,8,0,True,197,legacy12,1359,no_refinement,1359,1359,oracle_aabb,data28-1,0,0,0,ocsort,True,3966
13.71566877404598,34.26626323751892,2607,0,295,21.679130902554142,23.624413145539904,284,27.105395864851232,1359,15,60,0,True,8,0,True,197,legacy12,1359,ace_v1,1359,1359,oracle_aabb,data28-1,14,15,46,ocsort,True,3966
15.03133431694108,34.26626323751892,2607,0,295,22.69510208206728,24.413145539906104,275,27.332324760463944,1359,22,54,0,True,8,0,True,197,legacy12,1359,cost_r,1359,1359,oracle_aabb,data28-1,13,22,41,ocsort,True,3966
14.911063701215246,34.26626323751892,2607,0,295,22.604124268311185,24.976525821596244,266,27.55925365607665,1359,29,79,0,True,8,0,True,197,legacy12,1359,cost_g_legacy,1359,1359,oracle_aabb,data28-1,18,28,62,ocsort,True,3966
14.6224981333318,34.26626323751892,2607,0,295,22.384333142331407,24.0,276,27.307110438729197,1359,24,71,0,True,8,0,True,197,legacy12,1359,cost_h,1359,1359,oracle_aabb,data28-1,16,23,56,ocsort,True,3966
15.079671793304787,34.26626323751892,2607,0,295,22.731564029005366,24.60093896713615,274,27.35753908219869,1359,25,62,0,True,8,0,True,197,legacy12,1359,path_g,1359,1359,oracle_aabb,data28-1,14,24,49,ocsort,True,3966
15.08839968726407,34.26626323751892,2607,0,295,22.738141426173968,24.525821596244132,276,27.307110438729197,1359,23,56,0,True,8,0,True,197,legacy12,1359,cost_h_margin_reassign,1359,1359,oracle_aabb,data28-1,13,23,43,ocsort,True,3966
14.644801274625962,34.26626323751892,2607,0,295,22.401397624645785,24.0,276,27.307110438729197,1359,24,69,0,True,8,0,True,197,legacy12,1359,cost_h_motion_reassign,1359,1359,oracle_aabb,data28-1,16,23,54,ocsort,True,3966
14.892419876840401,34.26626323751892,2607,0,295,22.58998848480168,23.924882629107984,277,27.281896116994453,1359,22,50,0,True,8,0,True,197,legacy12,1359,cost_h_full_postfilter,1359,1359,oracle_aabb,data28-1,13,22,37,ocsort,True,3966
15.091864526164569,34.26626323751892,2607,0,295,22.740752023592552,24.525821596244132,276,27.307110438729197,1359,23,55,0,True,8,0,True,197,legacy12,1359,cost_h_full_reassign,1359,1359,oracle_aabb,data28-1,13,23,42,ocsort,True,3966
14.765871197033547,34.26626323751892,2607,0,295,22.4938042440324,24.037558685446008,276,27.307110438729197,1359,24,67,0,True,8,0,True,197,legacy12,1359,cost_h_soft_information,1359,1359,oracle_aabb,data28-1,14,24,53,ocsort,True,3966
15.102319833494152,34.26626323751892,2607,0,295,22.748627802830505,24.525821596244132,275,27.332324760463944,1359,23,54,0,True,8,0,True,197,legacy12,1359,path_g_full_reassign,1359,1359,oracle_aabb,data28-1,13,23,41,ocsort,True,3966
94.63322806660976,84.11497730711042,630,0,14,89.21923464882158,90.60531361270885,13,83.78719112455875,3336,0,0,0,True,8,0,True,47,legacy12,3336,no_refinement,3336,3336,oracle_aabb,data28-1,0,0,0,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,ace_v1,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,cost_r,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,cost_g_legacy,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,cost_h,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,path_g,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,cost_h_margin_reassign,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,cost_h_motion_reassign,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,cost_h_full_postfilter,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,cost_h_full_reassign,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,cost_h_soft_information,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,path_g_full_reassign,3336,3336,oracle_aabb,data28-1,0,0,1,deepocsort,True,3966
66.33444904821778,62.32292321344336,222,0,21,64.28195365387226,80.63010501750291,36,73.34710743801654,746,0,0,0,True,6,0,True,32,legacy12,746,no_refinement,746,746,oracle_aabb,data28-2,0,0,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,ace_v1,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,cost_r,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,cost_g_legacy,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,cost_h,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,path_g,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,cost_h_margin_reassign,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,cost_h_motion_reassign,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,cost_h_full_postfilter,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,cost_h_full_reassign,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,cost_h_soft_information,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,path_g_full_reassign,746,746,oracle_aabb,data28-2,0,2,0,bytetrack,True,968
52.72421238221398,62.70661157024794,361,0,26,57.49918874383141,61.58730158730159,49,57.64462809917356,607,0,0,0,True,6,0,True,58,legacy12,607,no_refinement,607,607,oracle_aabb,data28-2,0,0,0,ocsort,True,968
55.251145944440935,62.70661157024794,361,0,26,58.86095605364508,63.87301587301587,29,59.71074380165289,607,20,14,0,True,6,0,True,58,legacy12,607,ace_v1,607,607,oracle_aabb,data28-2,0,20,14,ocsort,True,968
57.445346084165095,62.70661157024794,361,0,26,60.018355554098655,64.88888888888889,21,60.537190082644635,607,28,6,0,True,6,0,True,58,legacy12,607,cost_r,607,607,oracle_aabb,data28-2,0,28,6,ocsort,True,968
57.445346084165095,62.70661157024794,361,0,26,60.018355554098655,64.88888888888889,21,60.537190082644635,607,28,6,0,True,6,0,True,58,legacy12,607,cost_g_legacy,607,607,oracle_aabb,data28-2,0,28,6,ocsort,True,968
59.01574710554115,62.70661157024794,361,0,26,60.83319431260497,65.52380952380953,16,61.053719008264466,607,33,3,0,True,6,0,True,58,legacy12,607,cost_h,607,607,oracle_aabb,data28-2,0,33,3,ocsort,True,968
57.445346084165095,62.70661157024794,361,0,26,60.018355554098655,64.88888888888889,21,60.537190082644635,607,28,6,0,True,6,0,True,58,legacy12,607,path_g,607,607,oracle_aabb,data28-2,0,28,6,ocsort,True,968
59.01574710554115,62.70661157024794,361,0,26,60.83319431260497,65.52380952380953,16,61.053719008264466,607,33,3,0,True,6,0,True,58,legacy12,607,cost_h_margin_reassign,607,607,oracle_aabb,data28-2,0,33,3,ocsort,True,968
59.01574710554115,62.70661157024794,361,0,26,60.83319431260497,65.52380952380953,16,61.053719008264466,607,33,3,0,True,6,0,True,58,legacy12,607,cost_h_motion_reassign,607,607,oracle_aabb,data28-2,0,33,3,ocsort,True,968
57.74243640711263,62.70661157024794,361,0,26,60.17335399411067,64.88888888888889,21,60.537190082644635,607,28,3,0,True,6,0,True,58,legacy12,607,cost_h_full_postfilter,607,607,oracle_aabb,data28-2,0,28,3,ocsort,True,968
57.445346084165095,62.70661157024794,361,0,26,60.018355554098655,64.88888888888889,21,60.537190082644635,607,28,6,0,True,6,0,True,58,legacy12,607,cost_h_full_reassign,607,607,oracle_aabb,data28-2,0,28,6,ocsort,True,968
57.98140005894705,62.70661157024794,361,0,26,60.29773736878975,65.14285714285715,19,60.74380165289256,607,30,5,0,True,6,0,True,58,legacy12,607,cost_h_soft_information,607,607,oracle_aabb,data28-2,0,30,5,ocsort,True,968
57.445346084165095,62.70661157024794,361,0,26,60.018355554098655,64.88888888888889,21,60.537190082644635,607,28,6,0,True,6,0,True,58,legacy12,607,path_g_full_reassign,607,607,oracle_aabb,data28-2,0,28,6,ocsort,True,968
97.534885877917,76.34297520661158,229,0,3,86.29080700953902,86.11599297012302,4,75.92975206611571,739,0,0,0,True,6,0,True,8,legacy12,739,no_refinement,739,739,oracle_aabb,data28-2,0,0,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,ace_v1,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,cost_r,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,cost_g_legacy,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,cost_h,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,path_g,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,cost_h_margin_reassign,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,cost_h_motion_reassign,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,cost_h_full_postfilter,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,cost_h_full_reassign,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,cost_h_soft_information,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,path_g_full_reassign,739,739,oracle_aabb,data28-2,0,3,0,deepocsort,True,968
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,no_refinement,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,ace_v1,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,cost_r,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,cost_g_legacy,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,cost_h,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,path_g,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,cost_h_margin_reassign,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,cost_h_motion_reassign,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,cost_h_full_postfilter,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,cost_h_full_reassign,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,cost_h_soft_information,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
43.67110276343757,16.2829278243805,243,0,6,26.433783708123944,26.997245179063363,9,16.831683168316832,60,0,0,0,True,6,0,True,13,legacy12,60,path_g_full_reassign,60,60,oracle_aabb,data28-3,0,0,0,bytetrack,True,303
60.53542202478375,15.51155115511551,256,0,0,30.643079078870965,25.142857142857146,3,14.521452145214523,47,0,0,0,True,6,0,True,7,legacy12,47,no_refinement,47,47,oracle_aabb,data28-3,0,0,0,ocsort,True,303
60.53542202478375,15.51155115511551,256,0,0,30.643079078870965,25.142857142857146,3,14.521452145214523,47,0,0,0,True,6,0,True,7,legacy12,47,ace_v1,47,47,oracle_aabb,data28-3,0,0,0,ocsort,True,303
60.53542202478375,15.51155115511551,256,0,0,30.643079078870965,25.142857142857146,3,14.521452145214523,47,0,0,0,True,6,0,True,7,legacy12,47,cost_r,47,47,oracle_aabb,data28-3,0,0,0,ocsort,True,303
