accepted_correct,accepted_coverage,accepted_false,accepted_unknown,auditable_fraction,conditional_error,eligible_source_tracklets,method,protocol,scope,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker
97,0.3436401967673928,41,2796,0.04703476482617587,0.2971014492753623,8538,ace_v1,official_detector,all_50_sequences,0,97,41,bytetrack
119,0.5079643944717732,45,4173,0.037814157251556374,0.27439024390243905,8538,cost_g_legacy,official_detector,all_50_sequences,1,118,45,bytetrack
109,0.47528695244788005,44,3905,0.037703302119270574,0.2875816993464052,8538,cost_h,official_detector,all_50_sequences,1,108,44,bytetrack
106,0.36249707191379715,37,2952,0.04620355411954766,0.25874125874125875,8538,cost_h_full_postfilter,official_detector,all_50_sequences,1,105,37,bytetrack
110,0.393183415319747,40,3207,0.044682752457551385,0.26666666666666666,8538,cost_h_full_reassign,official_detector,all_50_sequences,1,109,40,bytetrack
110,0.42515811665495434,39,3481,0.04104683195592287,0.26174496644295303,8538,cost_h_margin_reassign,official_detector,all_50_sequences,1,109,39,bytetrack
109,0.47177324900445067,44,3875,0.03798411122144985,0.2875816993464052,8538,cost_h_motion_reassign,official_detector,all_50_sequences,1,108,44,bytetrack
110,0.46205200281096276,42,3793,0.0385297845373891,0.27631578947368424,8538,cost_h_soft_information,official_detector,all_50_sequences,1,109,42,bytetrack
106,0.37174982431482784,35,3033,0.0444234404536862,0.24822695035460993,8538,cost_r,official_detector,all_50_sequences,1,105,35,bytetrack
0,0.0,0,0,N/A,N/A,8538,no_refinement,official_detector,all_50_sequences,0,0,0,bytetrack
111,0.4527992504099321,40,3715,0.039058458354888775,0.26490066225165565,8538,path_g,official_detector,all_50_sequences,1,110,40,bytetrack
111,0.39095806980557507,39,3188,0.04493708807669263,0.26,8538,path_g_full_reassign,official_detector,all_50_sequences,1,110,39,bytetrack
42,0.2167009703028521,20,675,0.08412483039348712,0.3225806451612903,3401,ace_v1,official_detector,all_50_sequences,2,40,20,deepocsort
47,0.2637459570714496,20,830,0.07469342251950947,0.29850746268656714,3401,cost_g_legacy,official_detector,all_50_sequences,2,45,20,deepocsort
46,0.2608056453984122,22,819,0.07666290868094701,0.3235294117647059,3401,cost_h,official_detector,all_50_sequences,2,44,22,deepocsort
46,0.18406351073213761,17,563,0.10063897763578275,0.2698412698412698,3401,cost_h_full_postfilter,official_detector,all_50_sequences,2,44,17,deepocsort
47,0.1943546015877683,18,596,0.09833585476550681,0.27692307692307694,3401,cost_h_full_reassign,official_detector,all_50_sequences,2,45,18,deepocsort
47,0.24022346368715083,19,751,0.08078335373317014,0.2878787878787879,3401,cost_h_margin_reassign,official_detector,all_50_sequences,2,45,19,deepocsort
46,0.21817112613937079,22,674,0.09164420485175202,0.3235294117647059,3401,cost_h_motion_reassign,official_detector,all_50_sequences,2,44,22,deepocsort
46,0.2546309908850338,20,800,0.07621247113163972,0.30303030303030304,3401,cost_h_soft_information,official_detector,all_50_sequences,2,44,20,deepocsort
47,0.2211114378124081,19,686,0.08776595744680851,0.2878787878787879,3401,cost_r,official_detector,all_50_sequences,2,45,19,deepocsort
0,0.0,0,0,N/A,N/A,3401,no_refinement,official_detector,all_50_sequences,0,0,0,deepocsort
47,0.24992649220817406,20,783,0.07882352941176471,0.29850746268656714,3401,path_g,official_detector,all_50_sequences,2,45,20,deepocsort
47,0.19347250808585711,18,593,0.09878419452887538,0.27692307692307694,3401,path_g_full_reassign,official_detector,all_50_sequences,2,45,18,deepocsort
173,0.3541306602143104,110,1766,0.1381161542215715,0.38869257950530034,5786,ace_v1,official_detector,all_50_sequences,11,172,100,ocsort
