dataset,protocol,family,sequence,class_or_modality,tracker,solver,candidate_edges,baseline_selected_edges,V_off_selected_edges,selected_pairs_identical
M3OT,development,N/A,M3OT/1/ir/val/1-08T,ir,bytetrack,controlled_partial_hungarian,11,6,6,True
M3OT,development,N/A,M3OT/1/ir/val/1-08T,ir,bytetrack,path_constrained_greedy,11,5,5,True
M3OT,development,N/A,M3OT/1/ir/val/1-08T,ir,ocsort,controlled_partial_hungarian,10,6,6,True
M3OT,development,N/A,M3OT/1/ir/val/1-08T,ir,ocsort,path_constrained_greedy,10,5,5,True
M3OT,development,N/A,M3OT/1/rgb/val/1-08,rgb,bytetrack,controlled_partial_hungarian,2,2,2,True
M3OT,development,N/A,M3OT/1/rgb/val/1-08,rgb,bytetrack,path_constrained_greedy,2,2,2,True
M3OT,development,N/A,M3OT/1/rgb/val/1-08,rgb,ocsort,controlled_partial_hungarian,3,3,3,True
M3OT,development,N/A,M3OT/1/rgb/val/1-08,rgb,ocsort,path_constrained_greedy,3,3,3,True
M3OT,development,N/A,M3OT/2/ir/val/2-08T,ir,bytetrack,controlled_partial_hungarian,15,10,10,True
M3OT,development,N/A,M3OT/2/ir/val/2-08T,ir,bytetrack,path_constrained_greedy,15,10,10,True
M3OT,development,N/A,M3OT/2/ir/val/2-08T,ir,ocsort,controlled_partial_hungarian,16,10,10,True
M3OT,development,N/A,M3OT/2/ir/val/2-08T,ir,ocsort,path_constrained_greedy,16,10,10,True
M3OT,held_out,N/A,M3OT/1/ir/test/1-03T,ir,bytetrack,controlled_partial_hungarian,5,4,4,True
M3OT,held_out,N/A,M3OT/1/ir/test/1-03T,ir,bytetrack,path_constrained_greedy,5,3,3,True
M3OT,held_out,N/A,M3OT/1/ir/test/1-03T,ir,ocsort,controlled_partial_hungarian,3,2,2,True
M3OT,held_out,N/A,M3OT/1/ir/test/1-03T,ir,ocsort,path_constrained_greedy,3,1,1,True
M3OT,held_out,N/A,M3OT/1/rgb/test/1-03,rgb,bytetrack,controlled_partial_hungarian,1,1,1,True
M3OT,held_out,N/A,M3OT/1/rgb/test/1-03,rgb,bytetrack,path_constrained_greedy,1,1,1,True
M3OT,held_out,N/A,M3OT/2/ir/test/2-03T,ir,bytetrack,controlled_partial_hungarian,6,4,4,True
M3OT,held_out,N/A,M3OT/2/ir/test/2-03T,ir,bytetrack,path_constrained_greedy,6,4,4,True
M3OT,held_out,N/A,M3OT/2/ir/test/2-03T,ir,ocsort,controlled_partial_hungarian,2,2,2,True
M3OT,held_out,N/A,M3OT/2/ir/test/2-03T,ir,ocsort,path_constrained_greedy,2,2,2,True
M3OT,held_out,N/A,M3OT/2/rgb/test/2-03,rgb,bytetrack,controlled_partial_hungarian,1,1,1,True
M3OT,held_out,N/A,M3OT/2/rgb/test/2-03,rgb,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data23-1,car,bytetrack,controlled_partial_hungarian,4,1,1,True
MMOT,official_detector,confirmation38,data23-1,pedestrian,bytetrack,controlled_partial_hungarian,7,5,5,True
MMOT,official_detector,confirmation38,data23-1,car,bytetrack,path_constrained_greedy,4,1,1,True
