dataset,protocol,data_role,tracker,contrast,description,baseline,treatment,sequence_count,tracker_count,mean_delta_HOTA_pp,mean_delta_AssA_pp,mean_delta_IDF1_pp,IDF1_bootstrap_95_low_pp,IDF1_bootstrap_95_high_pp,improved_sequences,tied_sequences,worsened_sequences,baseline_IDSW_total,treatment_IDSW_total,delta_IDSW_total,baseline_accepted_links,treatment_accepted_links,baseline_conditional_link_error,treatment_conditional_link_error,baseline_auditable_fraction,treatment_auditable_fraction,bootstrap_seed,bootstrap_resamples,fresh_confirmation
M3OT,development,development,all_trackers_sequence_mean,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,4,2,0.1160128288254505,0.23101472268573886,0.15228881125145577,0.0,0.4568664337543673,1,3,0,19,19,0,35,32,0.375,0.3103448275862069,0.9142857142857143,0.90625,20260915,10000,False
M3OT,development,development,bytetrack,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,4,1,0.2249241842833989,0.44802904989262515,0.30457762250291154,0.0,0.9137328675087346,1,3,0,9,9,0,17,15,0.35714285714285715,0.25,0.8235294117647058,0.8,20260915,10000,False
M3OT,development,development,ocsort,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,4,1,0.007101473367502109,0.014000395478852568,0.0,0.0,0.0,0,4,0,10,10,0,18,17,0.3888888888888889,0.35294117647058826,1.0,1.0,20260915,10000,False
M3OT,development,development,all_trackers_sequence_mean,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,4,2,0.02069514998937194,0.041583567424952506,0.06709455808979925,-0.06688750159255896,0.2681711758619567,1,2,1,11,17,6,37,33,0.17647058823529413,0.26666666666666666,0.918918918918919,0.9090909090909091,20260915,10000,False
M3OT,development,development,bytetrack,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,4,1,0.08963617590567097,0.17945759997771304,0.1838415491488128,-0.13377500318511792,0.6852996506315563,1,2,1,5,9,4,18,15,0.13333333333333333,0.25,0.8333333333333334,0.8,20260915,10000,False
M3OT,development,development,ocsort,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,4,1,-0.048245875926927084,-0.09629046512780803,-0.04965243296921429,-0.14895729890764287,0.0,0,3,1,6,8,2,19,18,0.21052631578947367,0.2777777777777778,1.0,1.0,20260915,10000,False
M3OT,development,development,all_trackers_sequence_mean,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,4,2,-0.08711513934446735,-0.17320997383674275,-0.08519425316165652,-0.1886952578924106,0.0,0,2,2,11,17,6,37,34,0.17647058823529413,0.2903225806451613,0.918918918918919,0.9117647058823529,20260915,10000,False
M3OT,development,development,bytetrack,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,4,1,-0.12598440276200762,-0.25012948254567746,-0.12073607335409875,-0.2414721467081975,0.0,0,2,2,5,9,4,18,16,0.13333333333333333,0.3076923076923077,0.8333333333333334,0.8125,20260915,10000,False
M3OT,development,development,ocsort,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,4,1,-0.048245875926927084,-0.09629046512780803,-0.04965243296921429,-0.14895729890764287,0.0,0,3,1,6,8,2,19,18,0.21052631578947367,0.2777777777777778,1.0,1.0,20260915,10000,False
M3OT,development,development,all_trackers_sequence_mean,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,4,2,0.107468346863282,0.21479354126168992,0.15228881125145755,0.0,0.45686643375437264,1,3,0,11,11,0,37,36,0.17647058823529413,0.15151515151515152,0.918918918918919,0.9166666666666666,20260915,10000,False
M3OT,development,development,bytetrack,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,4,1,0.214936693726564,0.42958708252337985,0.3045776225029151,0.0,0.9137328675087453,1,3,0,5,5,0,18,17,0.13333333333333333,0.07142857142857142,0.8333333333333334,0.8235294117647058,20260915,10000,False
M3OT,development,development,ocsort,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,4,1,0.0,0.0,0.0,0.0,0.0,0,4,0,6,6,0,19,19,0.21052631578947367,0.21052631578947367,1.0,1.0,20260915,10000,False
M3OT,development,development,all_trackers_sequence_mean,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,4,2,0.0751912878361729,0.15041175555980324,0.11419684849858669,-0.033443750796282146,0.3760342962920422,1,2,1,11,14,3,37,33,0.17647058823529413,0.16666666666666666,0.918918918918919,0.9090909090909091,20260915,10000,False
M3OT,development,development,bytetrack,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,4,1,0.16620725273926595,0.3324278413232875,0.24644912716779643,-0.06688750159256429,0.8062348830959536,1,2,1,5,7,2,18,15,0.13333333333333333,0.08333333333333333,0.8333333333333334,0.8,20260915,10000,False
M3OT,development,development,ocsort,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,4,1,-0.015824677066920145,-0.03160433020368103,-0.018055430170623055,-0.054166290511869164,0.0,0,3,1,6,7,1,19,18,0.21052631578947367,0.2222222222222222,1.0,1.0,20260915,10000,False
M3OT,development,development,all_trackers_sequence_mean,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,4,2,-0.05449613784680096,-0.10882818813485073,-0.04710229040878744,-0.1078631204300855,0.0,0,2,2,14,17,3,33,33,0.16666666666666666,0.26666666666666666,0.9090909090909091,0.9090909090909091,20260915,10000,False
