protocol,family,sequence,tracker,method,metric,stored_value,rerun_value,absolute_difference,passed
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,HOTA,27.705066872713235,27.705066872713235,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,AssA,15.811455360385478,15.811455360385478,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,DetA,48.90462710669946,48.90462710669946,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,IDF1,32.80297397769517,32.80297397769517,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,MOTA,46.69692385274836,46.69692385274836,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,IDSW,503.0,503.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,FP,202.0,202.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,FN,1409.0,1409.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,TP,2557.0,2557.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,Frag,284.0,284.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,accepted_correct,4.0,4.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,accepted_false,14.0,14.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,accepted_unknown,55.0,55.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,eligible_source_tracklets,200.0,200.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,input_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,output_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,com3d_reciprocal_guard,predicted_boxes,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,controlled_cost_greedy,HOTA,27.96820391406124,27.96820391406124,0.0,True
official_detector,legacy12,data28-1,bytetrack,controlled_cost_greedy,AssA,16.096205447028492,16.096205447028492,0.0,True
official_detector,legacy12,data28-1,bytetrack,controlled_cost_greedy,DetA,48.90462710669946,48.90462710669946,0.0,True
official_detector,legacy12,data28-1,bytetrack,controlled_cost_greedy,IDF1,34.23048327137547,34.23048327137547,0.0,True
