protocol,scope,tracker,method,metric,historical,cache_audit,absolute_difference,exact
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,HOTA,45.194708194598135,45.19470819459815,1.4210854715202004e-14,False
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,AssA,46.33654084058152,46.33654084058153,7.105427357601002e-15,False
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,IDF1,49.716814283535086,49.71681428353508,7.105427357601002e-15,False
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,IDSW,17511,17511,0.0,True
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,MOTA,47.4380178042084,47.438017804208414,1.4210854715202004e-14,False
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,TP,122822,122822,0.0,True
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,FP,310,310,0.0,True
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,FN,73372,73372,0.0,True
oracle_aabb,all_sequences,bytetrack,com3d_reciprocal_guard,predicted_boxes,123132,123132,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_greedy,HOTA,45.59671276856722,45.59671276856722,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_greedy,AssA,46.96597065414651,46.96597065414651,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_greedy,IDF1,51.01810408387921,51.018104083879194,1.4210854715202004e-14,False
oracle_aabb,all_sequences,bytetrack,geometry_greedy,IDSW,15484,15484,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_greedy,MOTA,48.32076845845689,48.320768458456875,1.4210854715202004e-14,False
oracle_aabb,all_sequences,bytetrack,geometry_greedy,TP,122822,122822,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_greedy,FP,310,310,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_greedy,FN,73372,73372,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_greedy,predicted_boxes,123132,123132,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,HOTA,45.547772991265546,45.54777299126555,7.105427357601002e-15,False
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,AssA,46.90468675270364,46.904686752703626,1.4210854715202004e-14,False
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,IDF1,50.78353107074298,50.78353107074298,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,IDSW,16462,16462,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,MOTA,47.9480551624101,47.9480551624101,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,TP,122822,122822,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,FP,310,310,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,FN,73372,73372,0.0,True
oracle_aabb,all_sequences,bytetrack,geometry_reid_hungarian,predicted_boxes,123132,123132,0.0,True
oracle_aabb,all_sequences,bytetrack,no_refinement,HOTA,44.19608175318481,44.1960817531848,7.105427357601002e-15,False
oracle_aabb,all_sequences,bytetrack,no_refinement,AssA,44.68986006506536,44.68986006506537,7.105427357601002e-15,False
oracle_aabb,all_sequences,bytetrack,no_refinement,IDF1,47.43747380136744,47.43747380136743,7.105427357601002e-15,False
oracle_aabb,all_sequences,bytetrack,no_refinement,IDSW,20056,20056,0.0,True
oracle_aabb,all_sequences,bytetrack,no_refinement,MOTA,46.124629032135296,46.124629032135296,0.0,True
oracle_aabb,all_sequences,bytetrack,no_refinement,TP,122822,122822,0.0,True
oracle_aabb,all_sequences,bytetrack,no_refinement,FP,310,310,0.0,True
oracle_aabb,all_sequences,bytetrack,no_refinement,FN,73372,73372,0.0,True
oracle_aabb,all_sequences,bytetrack,no_refinement,predicted_boxes,123132,123132,0.0,True
oracle_aabb,all_sequences,ocsort,com3d_reciprocal_guard,HOTA,45.91677836089797,45.91677836089798,7.105427357601002e-15,False
oracle_aabb,all_sequences,ocsort,com3d_reciprocal_guard,AssA,53.638820450734045,53.63882045073404,7.105427357601002e-15,False
