protocol,tracker,method,method_display,HOTA_equal_sequence_mean,AssA_equal_sequence_mean,IDF1_equal_sequence_mean,IDSW_total,MOTA_equal_sequence_mean,FP_total,FN_total,prediction_boxes,valid_gt_boxes,input_rows,output_rows,valid_common_box_protocol,aggregation,sequence_count
oracle_aabb,bytetrack,no_refinement,None,44.1960817531848,44.68986006506537,47.43747380136743,20056,46.124629032135296,310,73372,123132,196194,123132,123132,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,bytetrack,geometry_greedy,Geometry greedy,45.59671276856722,46.96597065414651,51.018104083879194,15484,48.320768458456875,310,73372,123132,196194,123132,123132,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,bytetrack,geometry_reid_greedy_guard,Geometry+ReID greedy,45.888524526360634,47.466184050116524,51.79997447203956,15064,48.51347501730808,310,73372,123132,196194,123132,123132,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,bytetrack,geometry_reid_hungarian,Partial Hungarian,45.54777299126555,46.904686752703626,50.78353107074298,16462,47.9480551624101,310,73372,123132,196194,123132,123132,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,bytetrack,aflink_cached_overlap_safe,AFLink + common validity adapter,44.30302797490076,44.879375204929865,47.698379417452905,20025,46.13359279802213,310,73372,123132,196194,123132,123132,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,bytetrack,com3d_reciprocal_guard,CoM3D-ACE (historical ranking),45.19470819459815,46.33654084058153,49.71681428353508,17511,47.438017804208414,310,73372,123132,196194,123132,123132,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,ocsort,no_refinement,None,44.91677541362014,51.43059886705896,42.96378760853252,6119,37.41651413877301,0,105736,90458,196194,90458,90458,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,ocsort,geometry_greedy,Geometry greedy,45.9028214082889,53.68158973569891,45.4071021030388,4122,38.65971456012833,0,105736,90458,196194,90458,90458,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,ocsort,geometry_reid_greedy_guard,Geometry+ReID greedy,46.30607610319371,54.549202623218044,46.24969200925806,3481,39.101577990829114,0,105736,90458,196194,90458,90458,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,ocsort,geometry_reid_hungarian,Partial Hungarian,46.25781198007123,54.445377453356286,46.18531957078042,3547,39.110882589738374,0,105736,90458,196194,90458,90458,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,ocsort,aflink_cached_overlap_safe,AFLink + common validity adapter,45.137819910108526,51.91934674425183,43.32956772478262,6082,37.42780620379708,0,105736,90458,196194,90458,90458,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,ocsort,com3d_reciprocal_guard,CoM3D-ACE (historical ranking),45.91677836089798,53.63882045073404,45.25381478226733,4441,38.54715113826074,0,105736,90458,196194,90458,90458,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,deepocsort,no_refinement,None,81.32105008043304,82.06275997135361,81.48609392004403,1962,80.27084974644677,0,22130,174064,196194,174064,174064,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,deepocsort,geometry_greedy,Geometry greedy,82.58391605328,84.52381021823876,83.6933549454696,1294,80.85773863919069,0,22130,174064,196194,174064,174064,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,deepocsort,geometry_reid_greedy_guard,Geometry+ReID greedy,82.82336450858664,84.98119156832203,83.99334285590943,1149,80.9019466975286,0,22130,174064,196194,174064,174064,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,deepocsort,geometry_reid_hungarian,Partial Hungarian,82.79455875979602,84.92829381404248,84.00150888501939,1174,80.89268790675872,0,22130,174064,196194,174064,174064,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,deepocsort,aflink_cached_overlap_safe,AFLink + common validity adapter,81.54485723780357,82.48213458559117,81.93252715746323,1919,80.29235071690916,0,22130,174064,196194,174064,174064,True,equal_sequence_mean_metrics_total_counts,50
oracle_aabb,deepocsort,com3d_reciprocal_guard,CoM3D-ACE (historical ranking),82.59626253428775,84.53797796291823,83.67010459435745,1377,80.80441868738946,0,22130,174064,196194,174064,174064,True,equal_sequence_mean_metrics_total_counts,50
official_detector,bytetrack,no_refinement,None,34.64553531169412,42.28840199140618,38.316340731805155,10324,28.830907660110967,12727,104376,104545,196194,104545,104545,True,equal_sequence_mean_metrics_total_counts,50
official_detector,bytetrack,geometry_greedy,Geometry greedy,35.63613074912635,44.1428561958578,40.75504629806071,7908,30.07113592605398,12727,104376,104545,196194,104545,104545,True,equal_sequence_mean_metrics_total_counts,50
official_detector,bytetrack,geometry_reid_greedy_guard,Geometry+ReID greedy,35.794383657900305,44.490973609756665,41.104059771348645,7711,30.196840373723106,12727,104376,104545,196194,104545,104545,True,equal_sequence_mean_metrics_total_counts,50
official_detector,bytetrack,geometry_reid_hungarian,Partial Hungarian,35.57788558011366,44.10538812617762,40.56301056770218,8405,29.84725948798606,12727,104376,104545,196194,104545,104545,True,equal_sequence_mean_metrics_total_counts,50
official_detector,bytetrack,aflink_cached_overlap_safe,AFLink + common validity adapter,34.72773971294424,42.45347200189254,38.532514274337174,10297,28.838648235597606,12727,104376,104545,196194,104545,104545,True,equal_sequence_mean_metrics_total_counts,50
official_detector,bytetrack,com3d_reciprocal_guard,CoM3D-ACE (historical ranking),35.39909653851582,43.754992136797625,39.967401330532766,8935,29.61374190453957,12727,104376,104545,196194,104545,104545,True,equal_sequence_mean_metrics_total_counts,50
official_detector,ocsort,no_refinement,None,35.886123700292494,47.62000863859625,36.46173728923568,4263,26.949922767249664,7846,118476,85564,196194,85564,85564,True,equal_sequence_mean_metrics_total_counts,50
official_detector,ocsort,geometry_greedy,Geometry greedy,36.50638686926895,49.40353139563374,38.13725985140249,2959,27.779702242007637,7846,118476,85564,196194,85564,85564,True,equal_sequence_mean_metrics_total_counts,50
official_detector,ocsort,geometry_reid_greedy_guard,Geometry+ReID greedy,36.79592243817724,50.115808095114815,38.76435981988647,2585,28.091661078824526,7846,118476,85564,196194,85564,85564,True,equal_sequence_mean_metrics_total_counts,50
official_detector,ocsort,geometry_reid_hungarian,Partial Hungarian,36.770673792906656,49.96778136252241,38.74189746024476,2668,28.063963991780906,7846,118476,85564,196194,85564,85564,True,equal_sequence_mean_metrics_total_counts,50
official_detector,ocsort,aflink_cached_overlap_safe,AFLink + common validity adapter,36.02005634074804,47.953885136830124,36.68569653404391,4240,26.957089600760437,7846,118476,85564,196194,85564,85564,True,equal_sequence_mean_metrics_total_counts,50
official_detector,ocsort,com3d_reciprocal_guard,CoM3D-ACE (historical ranking),36.53185303880642,49.240326489503246,38.08522975758765,3204,27.69874601054166,7846,118476,85564,196194,85564,85564,True,equal_sequence_mean_metrics_total_counts,50
official_detector,deepocsort,no_refinement,None,53.91984765086411,67.00430350974733,63.08515652334443,1370,49.776326938471676,12281,72677,135798,196194,135798,135798,True,equal_sequence_mean_metrics_total_counts,50
official_detector,deepocsort,geometry_greedy,Geometry greedy,54.25346154530702,67.70948240172952,64.0072576166142,1008,50.09258830316176,12281,72677,135798,196194,135798,135798,True,equal_sequence_mean_metrics_total_counts,50
official_detector,deepocsort,geometry_reid_greedy_guard,Geometry+ReID greedy,54.343313548248204,67.91573986466868,64.1460099478798,942,50.13184383970627,12281,72677,135798,196194,135798,135798,True,equal_sequence_mean_metrics_total_counts,50
official_detector,deepocsort,geometry_reid_hungarian,Partial Hungarian,54.360343837545834,67.95142270721477,64.17182438841735,957,50.126218627951864,12281,72677,135798,196194,135798,135798,True,equal_sequence_mean_metrics_total_counts,50
official_detector,deepocsort,aflink_cached_overlap_safe,AFLink + common validity adapter,54.00470611995418,67.1576702969488,63.3339045732378,1342,49.78821325262671,12281,72677,135798,196194,135798,135798,True,equal_sequence_mean_metrics_total_counts,50
official_detector,deepocsort,com3d_reciprocal_guard,CoM3D-ACE (historical ranking),54.30897702017599,67.83676799973769,64.08300884293617,1046,50.06578162693367,12281,72677,135798,196194,135798,135798,True,equal_sequence_mean_metrics_total_counts,50
