descriptor_count,descriptor_path,descriptor_seconds_cpu,descriptor_sha256,modality,sequence,split,tracker
42,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/development/M3OT__1__ir__val__1-08T/bytetrack.npz,3.4151514107361436,21ad06cf03e5ea8e80ab82613e3f2a3faa7457ba6c95123a6244b241803e6bad,ir,M3OT/1/ir/val/1-08T,development,bytetrack
45,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/development/M3OT__1__ir__val__1-08T/ocsort.npz,3.4439978962764144,556aa06565a37c1866345d4dd9baef8202ed86d9414de88c8f33315d8094d069,ir,M3OT/1/ir/val/1-08T,development,ocsort
42,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/development/M3OT__1__rgb__val__1-08/bytetrack.npz,3.220908555202186,35a8d353eedc91b6755b1726b4baffbb4ffe645cf75d7960df9f3eda4bd56879,rgb,M3OT/1/rgb/val/1-08,development,bytetrack
42,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/development/M3OT__1__rgb__val__1-08/ocsort.npz,3.3704716321080923,f3a37247634b0776fe40bfa68b6ae637374997320e3027fab9858b1a1a92ae5f,rgb,M3OT/1/rgb/val/1-08,development,ocsort
49,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/development/M3OT__2__ir__val__2-08T/bytetrack.npz,3.794110375456512,44690f576cc4e0ad36b679da98125946185ded98ee41826be7554caa659878d2,ir,M3OT/2/ir/val/2-08T,development,bytetrack
50,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/development/M3OT__2__ir__val__2-08T/ocsort.npz,3.7022454170510173,11b0a6c6c2b1231ff939d922beaaed54a3f3ae462f8d541800955c7f4bad2e18,ir,M3OT/2/ir/val/2-08T,development,ocsort
40,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/development/M3OT__2__rgb__val__2-08/bytetrack.npz,3.0880640177056193,d1cf0efa43f1ef2b565bbeb36e82b4114ab4959d482b8cf76a7a5d019295d8c0,rgb,M3OT/2/rgb/val/2-08,development,bytetrack
40,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/development/M3OT__2__rgb__val__2-08/ocsort.npz,3.086342060007155,8468b4f45e0e0acde0bcc2550899002c4bbb2045dbe4eec6eaa16b315bcc2869,rgb,M3OT/2/rgb/val/2-08,development,ocsort
19,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/held_out/M3OT__1__ir__test__1-03T/bytetrack.npz,1.3817216474562883,e02c130660fb8a4f092f902e494babc40db85c1fe64de43868aca278cc3f8f80,ir,M3OT/1/ir/test/1-03T,held_out,bytetrack
21,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/held_out/M3OT__1__ir__test__1-03T/ocsort.npz,1.6233604941517115,c717c024a3aaa1855f281c19749df8e9f63283ee4d70d2e2fc0215ac4666cd9b,ir,M3OT/1/ir/test/1-03T,held_out,ocsort
18,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/held_out/M3OT__1__rgb__test__1-03/bytetrack.npz,1.4084001332521439,7a747e6ad425c2edbc31769c6c7721eef2c5be987d426b9482542185bacef350,rgb,M3OT/1/rgb/test/1-03,held_out,bytetrack
19,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/held_out/M3OT__1__rgb__test__1-03/ocsort.npz,1.507258872501552,622403c14ecedc8d79026edfae87ad0c25779cf62ef24abfe2bd44efa669dd48,rgb,M3OT/1/rgb/test/1-03,held_out,ocsort
21,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/held_out/M3OT__2__ir__test__2-03T/bytetrack.npz,1.6244706753641367,27117ed94ba987c8f96f8c5f909bf1b114d4df3972656ffba91956e3fc5e33c8,ir,M3OT/2/ir/test/2-03T,held_out,bytetrack
22,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/held_out/M3OT__2__ir__test__2-03T/ocsort.npz,1.6915734326466918,d52e23047e35f943913081faf3272a24e020d8931d81d47a267cb1867add4f63,ir,M3OT/2/ir/test/2-03T,held_out,ocsort
19,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/held_out/M3OT__2__rgb__test__2-03/bytetrack.npz,1.4919280176982284,3e3d90096cd7fa6bb76f6b3a0ec37675658992456f9f83128facb25584627c8e,rgb,M3OT/2/rgb/test/2-03,held_out,bytetrack
19,/tmp/com3d_professor_review_20260914/results_raw/m3ot_linker_diagnostic_v2/descriptors/held_out/M3OT__2__rgb__test__2-03/ocsort.npz,1.5289565641433,28e30af178f7b89d844945ddfdb6405e90b496c9a6bb07af33ea4679cc1d18e8,rgb,M3OT/2/rgb/test/2-03,held_out,ocsort
