AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,aggregation,method,sequence_count,split,tracker
93.90664819348282,94.399515058602,94.12235852715963,98.47050812293983,11,99.32451701471494,9,5,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_greedy,4,development,bytetrack
94.0536937139323,94.399515058602,94.19652228468166,98.54665252856557,9,99.33344239850645,11,4,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_partial_hungarian,4,development,bytetrack
93.92509016085206,94.399515058602,94.13166452987943,98.47050812293983,11,99.32451701471494,9,4,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_reciprocal,4,development,bytetrack
93.98683763300308,94.399515058602,94.16275289591687,98.49280395680402,10,99.32769282772307,10,3,0,equal_sequence_mean_metrics_total_IDSW,historical_geometry_first_reciprocal,4,development,bytetrack
92.27978798743621,94.399515058602,93.28343631266932,96.8852278453976,20,99.29228560719635,0,0,0,equal_sequence_mean_metrics_total_IDSW,no_refinement,4,development,bytetrack
96.91729046572031,98.138039638988,97.52444999080954,98.24389150795744,10,98.10092806411174,11,7,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_greedy,4,development,ocsort
97.10249517671114,98.138039638988,97.61776084390681,98.32558290030127,6,98.1162050739195,15,4,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_partial_hungarian,4,development,ocsort
96.93129086119917,98.138039638988,97.53155146417704,98.24389150795744,10,98.10092806411174,11,6,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_reciprocal,4,development,ocsort
96.97591175654252,98.138039638988,97.55417080589697,98.25991098764476,9,98.10410387711988,12,5,0,equal_sequence_mean_metrics_total_IDSW,historical_geometry_first_reciprocal,4,development,ocsort
94.54816806463187,98.138039638988,96.30515093447819,96.09740037690918,21,98.06105815168927,0,0,0,equal_sequence_mean_metrics_total_IDSW,no_refinement,4,development,ocsort
83.41520468657978,88.44577888519548,85.68520261622002,92.88909087284723,5,98.23331445413638,1,6,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_greedy,4,held_out,bytetrack
82.1764517315798,88.44577888519548,85.04412728702044,91.8619590899015,6,98.21409846643459,0,8,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_partial_hungarian,4,held_out,bytetrack
83.41520468657978,88.44577888519548,85.68520261622002,92.88909087284723,5,98.23331445413638,1,6,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_reciprocal,4,held_out,bytetrack
83.15599515375928,88.44577888519548,85.55259580253956,92.77281180307979,6,98.21409846643459,0,7,0,equal_sequence_mean_metrics_total_IDSW,historical_geometry_first_reciprocal,4,held_out,bytetrack
88.43210190352058,88.44577888519548,88.30595869519294,96.77181617937282,6,98.21409846643459,0,0,0,equal_sequence_mean_metrics_total_IDSW,no_refinement,4,held_out,bytetrack
92.12919012677786,95.4108595525537,93.7097820768656,94.9196701249713,4,95.32721057516122,1,2,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_greedy,4,held_out,ocsort
90.82033560464683,95.4108595525537,93.04543102492198,93.95586209979427,5,95.30799458745943,0,4,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_partial_hungarian,4,held_out,ocsort
92.12919012677786,95.4108595525537,93.7097820768656,94.9196701249713,4,95.32721057516122,1,2,0,equal_sequence_mean_metrics_total_IDSW,controlled_cost_reciprocal,4,held_out,ocsort
91.90887878844285,95.4108595525537,93.59925886458302,94.84099191883439,5,95.30799458745943,0,3,0,equal_sequence_mean_metrics_total_IDSW,historical_geometry_first_reciprocal,4,held_out,ocsort
92.76751283708309,95.4108595525537,94.05490180420017,95.39262475202062,5,95.30799458745943,0,0,0,equal_sequence_mean_metrics_total_IDSW,no_refinement,4,held_out,ocsort
