class_id,conf,frame,h,id,stage,visibility,w,x,y
0,1.0,10,26.0,52,,1.0,54.0,99.0,644.0
0,1.0,10,56.0,21,,1.0,32.0,667.0,846.0
0,1.0,10,57.0,50,,1.0,28.0,399.0,102.0
0,1.0,10,54.0,49,,1.0,30.0,417.0,672.0
0,1.0,10,25.0,48,,1.0,60.0,-26.0,637.0
0,1.0,10,23.0,47,,1.0,58.0,-4.0,597.0
0,1.0,10,30.0,41,,1.0,62.0,832.0,30.0
0,1.0,10,47.0,40,,1.0,28.0,323.0,372.0
0,1.0,10,29.0,39,,1.0,60.0,27.0,30.0
0,1.0,10,28.0,37,,1.0,59.0,694.0,577.0
0,1.0,10,27.0,36,,1.0,56.0,967.0,185.0
0,1.0,10,28.0,35,,1.0,54.0,969.0,156.0
0,1.0,10,26.0,34,,1.0,49.0,982.0,127.0
0,1.0,10,22.0,33,,1.0,49.0,989.0,101.0
0,1.0,10,40.0,30,,1.0,56.0,116.0,325.0
0,1.0,10,59.0,29,,1.0,30.0,502.0,722.0
0,1.0,10,24.0,28,,1.0,52.0,151.0,156.0
0,1.0,10,28.0,27,,1.0,61.0,13.0,181.0
0,1.0,10,27.0,26,,1.0,56.0,21.0,99.0
0,1.0,10,23.0,25,,1.0,42.0,159.0,128.0
0,1.0,10,35.0,24,,1.0,57.0,198.0,653.0
0,1.0,10,48.0,23,,1.0,52.0,275.0,693.0
0,1.0,10,27.0,22,,1.0,57.0,13.0,130.0
0,1.0,10,58.0,21,,1.0,55.0,698.0,854.0
0,1.0,10,29.0,19,,1.0,57.0,10.0,234.0
0,1.0,10,31.0,18,,1.0,55.0,15.0,206.0
0,1.0,10,52.0,17,,1.0,28.0,506.0,812.0
0,1.0,10,28.0,15,,1.0,53.0,17.0,154.0
0,1.0,10,25.0,13,,1.0,55.0,978.0,58.0
0,1.0,10,54.0,12,,1.0,27.0,438.0,868.0
0,1.0,10,28.0,11,,1.0,56.0,190.0,590.0
0,1.0,10,27.0,10,,1.0,50.0,173.0,65.0
0,1.0,10,50.0,9,,1.0,61.0,94.0,341.0
0,1.0,10,30.0,8,,1.0,55.0,987.0,696.0
0,1.0,10,36.0,7,,1.0,57.0,174.0,497.0
0,1.0,10,55.0,6,,1.0,27.0,325.0,190.0
0,1.0,10,53.0,3,,1.0,56.0,740.0,658.0
0,1.0,10,27.0,2,,1.0,54.0,271.0,587.0
0,1.0,10,28.0,1,,1.0,54.0,768.0,581.0
