class_name,component_guard_rejections,family,guard_and_no_guard_outputs_identical,input_duplicate_frame_identity_count,maximum_indegree,maximum_outdegree,proposal_cycle_present,protocol,reciprocal_proposal_count,sequence,strict_time_order_violations,temporal_candidate_count,tracker
car,0,legacy12,True,0,1,1,False,oracle_aabb,57,data28-1,0,4668,bytetrack
car,0,legacy12,True,0,1,1,False,oracle_aabb,74,data28-1,0,4714,ocsort
car,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,248,deepocsort
bike,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,bytetrack
bike,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,ocsort
bike,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,deepocsort
pedestrian,0,legacy12,True,0,1,1,False,oracle_aabb,13,data28-1,0,386,bytetrack
pedestrian,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,1,ocsort
pedestrian,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,4,deepocsort
van,0,legacy12,True,0,1,1,False,oracle_aabb,5,data28-1,0,15,bytetrack
van,0,legacy12,True,0,1,1,False,oracle_aabb,1,data28-1,0,6,ocsort
van,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,deepocsort
truck,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,18,bytetrack
truck,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,3,ocsort
truck,0,legacy12,True,0,1,1,False,oracle_aabb,1,data28-1,0,5,deepocsort
bus,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,bytetrack
bus,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,ocsort
bus,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,deepocsort
tricycle,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,bytetrack
tricycle,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,ocsort
tricycle,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,deepocsort
awning-bike,0,legacy12,True,0,1,1,False,oracle_aabb,6,data28-1,0,40,bytetrack
awning-bike,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,ocsort
awning-bike,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-1,0,0,deepocsort
car,0,legacy12,True,0,1,1,False,oracle_aabb,2,data28-2,0,146,bytetrack
car,0,legacy12,True,0,1,1,False,oracle_aabb,31,data28-2,0,1131,ocsort
car,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,10,deepocsort
bike,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,0,bytetrack
bike,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,0,ocsort
bike,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,0,deepocsort
pedestrian,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,0,bytetrack
pedestrian,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,0,ocsort
pedestrian,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,0,deepocsort
truck,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,1,bytetrack
truck,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,0,ocsort
truck,0,legacy12,True,0,0,0,False,oracle_aabb,0,data28-2,0,0,deepocsort
tricycle,0,legacy12,True,0,1,1,False,oracle_aabb,3,data28-2,0,7,bytetrack
