aflink_model_scoring_included,aflink_selected_edge_count,candidate_build_ms,class_name,descriptor_extraction_included,family,fixed_gated_edge_count,hungarian_dense_matrix_bytes,method,protocol,repeat_count,sequence,solver_ms_max,solver_ms_mean,solver_ms_median,solver_ms_min,temporal_candidate_count,tracemalloc_peak_bytes,tracker,tracklet_count
False,4,50.561078,car,False,legacy12,225,0,geometry_greedy,oracle_aabb,5,data28-1,2.584691,2.5586026,2.566029,2.525895,4668,1657688,bytetrack,183
False,4,50.561078,car,False,legacy12,225,0,geometry_reid_greedy_guard,oracle_aabb,5,data28-1,2.532541,2.4789592,2.479599,2.437962,4668,1615248,bytetrack,183
False,4,50.561078,car,False,legacy12,225,0,com3d_reciprocal_guard,oracle_aabb,5,data28-1,2.326815,2.2758598,2.276906,2.218721,4668,1507616,bytetrack,183
False,4,50.561078,car,False,legacy12,225,161504,geometry_reid_hungarian,oracle_aabb,5,data28-1,2.754372,2.7104551999999997,2.710688,2.67696,4668,1537264,bytetrack,183
False,4,50.561078,car,False,legacy12,225,0,controlled_cost_greedy,oracle_aabb,5,data28-1,2.77165,2.5546572000000003,2.531265,2.415754,4668,1610592,bytetrack,183
False,4,50.561078,car,False,legacy12,225,0,controlled_cost_reciprocal,oracle_aabb,5,data28-1,2.408412,2.3670850000000003,2.358778,2.340087,4668,1505112,bytetrack,183
False,4,50.561078,car,False,legacy12,225,0,aflink_cached_no_dedup,oracle_aabb,5,data28-1,0.955853,0.9048586000000001,0.901474,0.876306,4668,991400,bytetrack,183
False,4,50.561078,car,False,legacy12,225,0,aflink_cached_overlap_safe,oracle_aabb,5,data28-1,1.81087,1.7615850000000002,1.75224,1.726429,4668,1442312,bytetrack,183
False,2,46.808825,car,False,legacy12,214,0,geometry_greedy,oracle_aabb,5,data28-1,1.716322,1.6210254,1.594331,1.579022,4714,920936,ocsort,192
False,2,46.808825,car,False,legacy12,214,0,geometry_reid_greedy_guard,oracle_aabb,5,data28-1,1.546862,1.5258866000000002,1.521879,1.508466,4714,879168,ocsort,192
False,2,46.808825,car,False,legacy12,214,0,com3d_reciprocal_guard,oracle_aabb,5,data28-1,1.590615,1.428353,1.488449,1.267196,4714,792856,ocsort,192
False,2,46.808825,car,False,legacy12,214,204304,geometry_reid_hungarian,oracle_aabb,5,data28-1,1.871315,1.8476662000000001,1.844669,1.829586,4714,808384,ocsort,192
False,2,46.808825,car,False,legacy12,214,0,controlled_cost_greedy,oracle_aabb,5,data28-1,1.593179,1.5739421999999998,1.573868,1.546014,4714,880328,ocsort,192
False,2,46.808825,car,False,legacy12,214,0,controlled_cost_reciprocal,oracle_aabb,5,data28-1,1.634332,1.5331448,1.516895,1.491383,4714,795008,ocsort,192
False,2,46.808825,car,False,legacy12,214,0,aflink_cached_no_dedup,oracle_aabb,5,data28-1,0.393854,0.3874422,0.389207,0.378588,4714,483200,ocsort,192
False,2,46.808825,car,False,legacy12,214,0,aflink_cached_overlap_safe,oracle_aabb,5,data28-1,0.906072,0.8829857999999999,0.877749,0.868806,4714,744840,ocsort,192
False,0,5.082102,car,False,legacy12,0,0,geometry_greedy,oracle_aabb,5,data28-1,1.86837,1.7876446000000001,1.771384,1.730474,248,1536152,deepocsort,53
False,0,5.082102,car,False,legacy12,0,0,geometry_reid_greedy_guard,oracle_aabb,5,data28-1,1.879361,1.8272165999999999,1.816484,1.79447,248,1535512,deepocsort,53
False,0,5.082102,car,False,legacy12,0,0,com3d_reciprocal_guard,oracle_aabb,5,data28-1,1.81629,1.8041754,1.803091,1.789198,248,1535568,deepocsort,53
False,0,5.082102,car,False,legacy12,0,0,geometry_reid_hungarian,oracle_aabb,5,data28-1,2.290349,1.9173544,1.809372,1.797443,248,1535512,deepocsort,53
False,0,5.082102,car,False,legacy12,0,0,controlled_cost_greedy,oracle_aabb,5,data28-1,1.804994,1.7926625999999999,1.786732,1.784737,248,1535512,deepocsort,53
False,0,5.082102,car,False,legacy12,0,0,controlled_cost_reciprocal,oracle_aabb,5,data28-1,1.892286,1.8136636,1.80283,1.781515,248,1535568,deepocsort,53
False,0,5.082102,car,False,legacy12,0,0,aflink_cached_no_dedup,oracle_aabb,5,data28-1,0.938631,0.9317714,0.930704,0.927586,248,1093104,deepocsort,53
False,0,5.082102,car,False,legacy12,0,0,aflink_cached_overlap_safe,oracle_aabb,5,data28-1,1.773537,1.7480961999999998,1.750317,1.710642,248,1535456,deepocsort,53
False,0,0.031055,bike,False,legacy12,0,0,geometry_greedy,oracle_aabb,5,data28-1,0.003158,0.0022258,0.001998,0.001892,0,680,bytetrack,0
False,0,0.031055,bike,False,legacy12,0,0,geometry_reid_greedy_guard,oracle_aabb,5,data28-1,0.002507,0.0021248,0.002073,0.00194,0,680,bytetrack,0
False,0,0.031055,bike,False,legacy12,0,0,com3d_reciprocal_guard,oracle_aabb,5,data28-1,0.00412,0.003401,0.003206,0.003089,0,704,bytetrack,0
False,0,0.031055,bike,False,legacy12,0,0,geometry_reid_hungarian,oracle_aabb,5,data28-1,0.002863,0.002491,0.002445,0.002294,0,680,bytetrack,0
False,0,0.031055,bike,False,legacy12,0,0,controlled_cost_greedy,oracle_aabb,5,data28-1,0.006012,0.0030158,0.002457,0.002007,0,680,bytetrack,0
False,0,0.031055,bike,False,legacy12,0,0,controlled_cost_reciprocal,oracle_aabb,5,data28-1,0.003609,0.0030972,0.00295,0.002828,0,808,bytetrack,0
False,0,0.031055,bike,False,legacy12,0,0,aflink_cached_no_dedup,oracle_aabb,5,data28-1,0.001707,0.0012309999999999999,0.001138,0.000974,0,304,bytetrack,0
False,0,0.031055,bike,False,legacy12,0,0,aflink_cached_overlap_safe,oracle_aabb,5,data28-1,0.002328,0.0020288,0.001996,0.001779,0,680,bytetrack,0
False,0,0.004184,bike,False,legacy12,0,0,geometry_greedy,oracle_aabb,5,data28-1,0.002448,0.0020236,0.001947,0.001838,0,680,ocsort,0
False,0,0.004184,bike,False,legacy12,0,0,geometry_reid_greedy_guard,oracle_aabb,5,data28-1,0.002098,0.0019716,0.001947,0.001906,0,680,ocsort,0
False,0,0.004184,bike,False,legacy12,0,0,com3d_reciprocal_guard,oracle_aabb,5,data28-1,0.003778,0.0032902,0.003143,0.003068,0,704,ocsort,0
False,0,0.004184,bike,False,legacy12,0,0,geometry_reid_hungarian,oracle_aabb,5,data28-1,0.002683,0.0024386,0.002381,0.002348,0,680,ocsort,0
False,0,0.004184,bike,False,legacy12,0,0,controlled_cost_greedy,oracle_aabb,5,data28-1,0.002839,0.0022014,0.001971,0.00191,0,680,ocsort,0
False,0,0.004184,bike,False,legacy12,0,0,controlled_cost_reciprocal,oracle_aabb,5,data28-1,0.003533,0.003012,0.002879,0.002737,0,808,ocsort,0
False,0,0.004184,bike,False,legacy12,0,0,aflink_cached_no_dedup,oracle_aabb,5,data28-1,0.001508,0.0011578,0.001064,0.001016,0,304,ocsort,0
False,0,0.004184,bike,False,legacy12,0,0,aflink_cached_overlap_safe,oracle_aabb,5,data28-1,0.002385,0.001905,0.001726,0.001662,0,680,ocsort,0
False,0,0.002964,bike,False,legacy12,0,0,geometry_greedy,oracle_aabb,5,data28-1,0.003046,0.0023686,0.00227,0.002085,0,680,deepocsort,0
False,0,0.002964,bike,False,legacy12,0,0,geometry_reid_greedy_guard,oracle_aabb,5,data28-1,0.00283,0.0022232000000000003,0.002137,0.001937,0,680,deepocsort,0
False,0,0.002964,bike,False,legacy12,0,0,com3d_reciprocal_guard,oracle_aabb,5,data28-1,0.003947,0.0033250000000000003,0.00316,0.002994,0,704,deepocsort,0
False,0,0.002964,bike,False,legacy12,0,0,geometry_reid_hungarian,oracle_aabb,5,data28-1,0.002798,0.0023845999999999997,0.002304,0.002239,0,680,deepocsort,0
False,0,0.002964,bike,False,legacy12,0,0,controlled_cost_greedy,oracle_aabb,5,data28-1,0.002513,0.0021546,0.002024,0.001917,0,680,deepocsort,0
