accepted_correct,accepted_false,accepted_known,accepted_total,accepted_unknown,all_accepted_coverage,appearance_threshold,eligible_source_tracklets,ground_truth_use,known_link_coverage,known_link_error_rate,known_link_precision,method,protocol,scope,tracker
53,3,56,1632,1576,0.19114546732255797,0.05,8538,post-hoc edge labels only; grid is descriptive and not selected,0.006558913094401499,0.05357142857142857,0.9464285714285714,com3d_reciprocal_guard,official_detector,all_sequences,bytetrack
91,12,103,2414,2311,0.2827360037479503,0.1,8538,post-hoc edge labels only; grid is descriptive and not selected,0.012063715155774186,0.11650485436893204,0.883495145631068,com3d_reciprocal_guard,official_detector,all_sequences,bytetrack
103,19,122,2710,2588,0.3174045443897868,0.15,8538,post-hoc edge labels only; grid is descriptive and not selected,0.014289060669946124,0.1557377049180328,0.8442622950819673,com3d_reciprocal_guard,official_detector,all_sequences,bytetrack
103,35,138,2831,2693,0.3315764816116186,0.2,8538,post-hoc edge labels only; grid is descriptive and not selected,0.016163035839775124,0.2536231884057971,0.7463768115942029,com3d_reciprocal_guard,official_detector,all_sequences,bytetrack
98,37,135,2895,2760,0.33907238229093467,0.25,8538,post-hoc edge labels only; grid is descriptive and not selected,0.015811665495432184,0.2740740740740741,0.725925925925926,com3d_reciprocal_guard,official_detector,all_sequences,bytetrack
97,41,138,2934,2796,0.3436401967673928,0.3,8538,post-hoc edge labels only; grid is descriptive and not selected,0.016163035839775124,0.2971014492753623,0.7028985507246377,com3d_reciprocal_guard,official_detector,all_sequences,bytetrack
53,3,56,1690,1634,0.1979386273131881,0.05,8538,post-hoc edge labels only; grid is descriptive and not selected,0.006558913094401499,0.05357142857142857,0.9464285714285714,controlled_cost_reciprocal,official_detector,all_sequences,bytetrack
91,12,103,2548,2445,0.29843054579526823,0.1,8538,post-hoc edge labels only; grid is descriptive and not selected,0.012063715155774186,0.11650485436893204,0.883495145631068,controlled_cost_reciprocal,official_detector,all_sequences,bytetrack
105,19,124,2881,2757,0.33743265401733424,0.15,8538,post-hoc edge labels only; grid is descriptive and not selected,0.014523307566174749,0.1532258064516129,0.8467741935483871,controlled_cost_reciprocal,official_detector,all_sequences,bytetrack
107,29,136,3039,2903,0.35593815881939567,0.2,8538,post-hoc edge labels only; grid is descriptive and not selected,0.015928788943546497,0.21323529411764705,0.7867647058823529,controlled_cost_reciprocal,official_detector,all_sequences,bytetrack
106,32,138,3126,2988,0.36612789880534086,0.25,8538,post-hoc edge labels only; grid is descriptive and not selected,0.016163035839775124,0.2318840579710145,0.7681159420289855,controlled_cost_reciprocal,official_detector,all_sequences,bytetrack
106,35,141,3174,3033,0.37174982431482784,0.3,8538,post-hoc edge labels only; grid is descriptive and not selected,0.01651440618411806,0.24822695035460993,0.75177304964539,controlled_cost_reciprocal,official_detector,all_sequences,bytetrack
61,3,64,2114,2050,0.2475989693136566,0.05,8538,post-hoc edge labels only; grid is descriptive and not selected,0.007495900679315999,0.046875,0.953125,geometry_reid_greedy_guard,official_detector,all_sequences,bytetrack
104,12,116,3371,3255,0.3948231435933474,0.1,8538,post-hoc edge labels only; grid is descriptive and not selected,0.013586319981260248,0.10344827586206896,0.896551724137931,geometry_reid_greedy_guard,official_detector,all_sequences,bytetrack
120,20,140,3869,3729,0.453150620754275,0.15,8538,post-hoc edge labels only; grid is descriptive and not selected,0.016397282736003747,0.14285714285714285,0.8571428571428571,geometry_reid_greedy_guard,official_detector,all_sequences,bytetrack
124,32,156,4131,3975,0.48383696416022487,0.2,8538,post-hoc edge labels only; grid is descriptive and not selected,0.018271257905832748,0.20512820512820512,0.7948717948717948,geometry_reid_greedy_guard,official_detector,all_sequences,bytetrack
124,36,160,4281,4121,0.5014054813773717,0.25,8538,post-hoc edge labels only; grid is descriptive and not selected,0.018739751698289998,0.225,0.775,geometry_reid_greedy_guard,official_detector,all_sequences,bytetrack
124,40,164,4370,4206,0.5118294682595456,0.3,8538,post-hoc edge labels only; grid is descriptive and not selected,0.019208245490747247,0.24390243902439024,0.7560975609756098,geometry_reid_greedy_guard,official_detector,all_sequences,bytetrack
53,4,57,1881,1824,0.22030920590302178,0.05,8538,post-hoc edge labels only; grid is descriptive and not selected,0.0066760365425158116,0.07017543859649122,0.9298245614035088,geometry_reid_hungarian,official_detector,all_sequences,bytetrack
90,14,104,3065,2961,0.35898336847036777,0.1,8538,post-hoc edge labels only; grid is descriptive and not selected,0.012180838603888498,0.1346153846153846,0.8653846153846154,geometry_reid_hungarian,official_detector,all_sequences,bytetrack
106,21,127,3579,3452,0.4191848208011244,0.15,8538,post-hoc edge labels only; grid is descriptive and not selected,0.014874677910517685,0.16535433070866143,0.8346456692913385,geometry_reid_hungarian,official_detector,all_sequences,bytetrack
109,32,141,3838,3697,0.44951979386273133,0.2,8538,post-hoc edge labels only; grid is descriptive and not selected,0.01651440618411806,0.22695035460992907,0.7730496453900709,geometry_reid_hungarian,official_detector,all_sequences,bytetrack
110,37,147,3976,3829,0.46568282970250646,0.25,8538,post-hoc edge labels only; grid is descriptive and not selected,0.017217146872803936,0.25170068027210885,0.7482993197278912,geometry_reid_hungarian,official_detector,all_sequences,bytetrack
109,44,153,4058,3905,0.47528695244788005,0.3,8538,post-hoc edge labels only; grid is descriptive and not selected,0.017919887561489812,0.2875816993464052,0.7124183006535948,geometry_reid_hungarian,official_detector,all_sequences,bytetrack
21,1,22,322,300,0.09467803587180242,0.05,3401,post-hoc edge labels only; grid is descriptive and not selected,0.006468685680682152,0.045454545454545456,0.9545454545454546,com3d_reciprocal_guard,official_detector,all_sequences,deepocsort
33,7,40,535,495,0.1573066745074978,0.1,3401,post-hoc edge labels only; grid is descriptive and not selected,0.011761246692149369,0.175,0.825,com3d_reciprocal_guard,official_detector,all_sequences,deepocsort
42,9,51,623,572,0.1831814172302264,0.15,3401,post-hoc edge labels only; grid is descriptive and not selected,0.014995589532490444,0.17647058823529413,0.8235294117647058,com3d_reciprocal_guard,official_detector,all_sequences,deepocsort
43,16,59,689,630,0.20258747427227286,0.2,3401,post-hoc edge labels only; grid is descriptive and not selected,0.017347838870920316,0.2711864406779661,0.7288135593220338,com3d_reciprocal_guard,official_detector,all_sequences,deepocsort
42,21,63,722,659,0.2122905027932961,0.25,3401,post-hoc edge labels only; grid is descriptive and not selected,0.018523963540135253,0.3333333333333333,0.6666666666666666,com3d_reciprocal_guard,official_detector,all_sequences,deepocsort
42,20,62,737,675,0.2167009703028521,0.3,3401,post-hoc edge labels only; grid is descriptive and not selected,0.01822993237283152,0.3225806451612903,0.6774193548387096,com3d_reciprocal_guard,official_detector,all_sequences,deepocsort
21,1,22,328,306,0.09644222287562482,0.05,3401,post-hoc edge labels only; grid is descriptive and not selected,0.006468685680682152,0.045454545454545456,0.9545454545454546,controlled_cost_reciprocal,official_detector,all_sequences,deepocsort
35,8,43,546,503,0.16054101734783888,0.1,3401,post-hoc edge labels only; grid is descriptive and not selected,0.012643340194060571,0.18604651162790697,0.813953488372093,controlled_cost_reciprocal,official_detector,all_sequences,deepocsort
44,9,53,638,585,0.18759188473978242,0.15,3401,post-hoc edge labels only; grid is descriptive and not selected,0.015583651867097913,0.16981132075471697,0.8301886792452831,controlled_cost_reciprocal,official_detector,all_sequences,deepocsort
47,14,61,701,640,0.20611584827991766,0.2,3401,post-hoc edge labels only; grid is descriptive and not selected,0.017935901205527786,0.22950819672131148,0.7704918032786885,controlled_cost_reciprocal,official_detector,all_sequences,deepocsort
47,19,66,735,669,0.21611290796824464,0.25,3401,post-hoc edge labels only; grid is descriptive and not selected,0.019406057042046457,0.2878787878787879,0.7121212121212122,controlled_cost_reciprocal,official_detector,all_sequences,deepocsort
47,19,66,752,686,0.2211114378124081,0.3,3401,post-hoc edge labels only; grid is descriptive and not selected,0.019406057042046457,0.2878787878787879,0.7121212121212122,controlled_cost_reciprocal,official_detector,all_sequences,deepocsort
21,2,23,346,323,0.10173478388709203,0.05,3401,post-hoc edge labels only; grid is descriptive and not selected,0.006762716847985887,0.08695652173913043,0.9130434782608695,geometry_reid_greedy_guard,official_detector,all_sequences,deepocsort
34,9,43,619,576,0.18200529256101147,0.1,3401,post-hoc edge labels only; grid is descriptive and not selected,0.012643340194060571,0.20930232558139536,0.7906976744186046,geometry_reid_greedy_guard,official_detector,all_sequences,deepocsort
42,10,52,744,692,0.21875918847397824,0.15,3401,post-hoc edge labels only; grid is descriptive and not selected,0.015289620699794178,0.19230769230769232,0.8076923076923077,geometry_reid_greedy_guard,official_detector,all_sequences,deepocsort
44,14,58,828,770,0.2434578065274919,0.2,3401,post-hoc edge labels only; grid is descriptive and not selected,0.017053807703616582,0.2413793103448276,0.7586206896551724,geometry_reid_greedy_guard,official_detector,all_sequences,deepocsort
44,20,64,876,812,0.25757130255807115,0.25,3401,post-hoc edge labels only; grid is descriptive and not selected,0.018817994707438987,0.3125,0.6875,geometry_reid_greedy_guard,official_detector,all_sequences,deepocsort
