accepted_correct,accepted_false,accepted_unknown,all_accepted_coverage,eligible_source_tracklets,known_link_precision,method,scope,source_size_bin,tracker
25,23,0,0.023703703703703703,2025,0.5208333333333334,aflink_official,all_sequences,small_32sq_to_96sq,bytetrack
10,41,29,0.00784698381559588,10195,0.19607843137254902,aflink_official,all_sequences,tiny_lt_32sq,bytetrack
0,0,1,0.045454545454545456,22,,com3d_reciprocal_guard,all_sequences,larger_ge_96sq,bytetrack
154,66,216,0.21530864197530863,2025,0.7,com3d_reciprocal_guard,all_sequences,small_32sq_to_96sq,bytetrack
163,189,3692,0.39666503187837177,10195,0.4630681818181818,com3d_reciprocal_guard,all_sequences,tiny_lt_32sq,bytetrack
0,0,2,0.09090909090909091,22,,geometry_greedy,all_sequences,larger_ge_96sq,bytetrack
172,112,292,0.28444444444444444,2025,0.6056338028169014,geometry_greedy,all_sequences,small_32sq_to_96sq,bytetrack
237,447,5974,0.6530652280529672,10195,0.34649122807017546,geometry_greedy,all_sequences,tiny_lt_32sq,bytetrack
0,0,2,0.09090909090909091,22,,geometry_reciprocal_guard,all_sequences,larger_ge_96sq,bytetrack
151,79,239,0.23160493827160494,2025,0.6565217391304348,geometry_reciprocal_guard,all_sequences,small_32sq_to_96sq,bytetrack
159,191,3720,0.39921530161844043,10195,0.4542857142857143,geometry_reciprocal_guard,all_sequences,tiny_lt_32sq,bytetrack
0,0,1,0.045454545454545456,22,,geometry_reid_greedy_guard,all_sequences,larger_ge_96sq,bytetrack
186,82,263,0.26222222222222225,2025,0.6940298507462687,geometry_reid_greedy_guard,all_sequences,small_32sq_to_96sq,bytetrack
318,501,5891,0.6581657675331045,10195,0.3882783882783883,geometry_reid_greedy_guard,all_sequences,tiny_lt_32sq,bytetrack
0,0,1,0.045454545454545456,22,,geometry_reid_hungarian,all_sequences,larger_ge_96sq,bytetrack
164,74,245,0.23851851851851852,2025,0.6890756302521008,geometry_reid_hungarian,all_sequences,small_32sq_to_96sq,bytetrack
253,394,5475,0.6004904364884748,10195,0.3910355486862442,geometry_reid_hungarian,all_sequences,tiny_lt_32sq,bytetrack
0,0,1,0.045454545454545456,22,,geometry_reid_reciprocal_no_guard,all_sequences,larger_ge_96sq,bytetrack
154,66,216,0.21530864197530863,2025,0.7,geometry_reid_reciprocal_no_guard,all_sequences,small_32sq_to_96sq,bytetrack
163,189,3692,0.39666503187837177,10195,0.4630681818181818,geometry_reid_reciprocal_no_guard,all_sequences,tiny_lt_32sq,bytetrack
3,6,0,0.009656652360515022,932,0.3333333333333333,aflink_official,all_sequences,small_32sq_to_96sq,deepocsort
42,64,0,0.039581777445855115,2678,0.39622641509433965,aflink_official,all_sequences,tiny_lt_32sq,deepocsort
44,23,0,0.07188841201716738,932,0.6567164179104478,com3d_reciprocal_guard,all_sequences,small_32sq_to_96sq,deepocsort
531,348,0,0.32823002240477966,2678,0.6040955631399317,com3d_reciprocal_guard,all_sequences,tiny_lt_32sq,deepocsort
45,30,0,0.08047210300429185,932,0.6,geometry_greedy,all_sequences,small_32sq_to_96sq,deepocsort
583,555,0,0.42494398805078415,2678,0.5123022847100176,geometry_greedy,all_sequences,tiny_lt_32sq,deepocsort
45,27,0,0.07725321888412018,932,0.625,geometry_reciprocal_guard,all_sequences,small_32sq_to_96sq,deepocsort
515,367,0,0.32935026138909634,2678,0.5839002267573696,geometry_reciprocal_guard,all_sequences,tiny_lt_32sq,deepocsort
44,24,0,0.07296137339055794,932,0.6470588235294118,geometry_reid_greedy_guard,all_sequences,small_32sq_to_96sq,deepocsort
748,387,0,0.4238237490664675,2678,0.6590308370044052,geometry_reid_greedy_guard,all_sequences,tiny_lt_32sq,deepocsort
45,23,0,0.07296137339055794,932,0.6617647058823529,geometry_reid_hungarian,all_sequences,small_32sq_to_96sq,deepocsort
720,395,0,0.41635548917102316,2678,0.6457399103139013,geometry_reid_hungarian,all_sequences,tiny_lt_32sq,deepocsort
44,23,0,0.07188841201716738,932,0.6567164179104478,geometry_reid_reciprocal_no_guard,all_sequences,small_32sq_to_96sq,deepocsort
531,348,0,0.32823002240477966,2678,0.6040955631399317,geometry_reid_reciprocal_no_guard,all_sequences,tiny_lt_32sq,deepocsort
28,19,0,0.023406374501992032,2008,0.5957446808510638,aflink_official,all_sequences,small_32sq_to_96sq,ocsort
11,9,0,0.004229223937407486,4729,0.55,aflink_official,all_sequences,tiny_lt_32sq,ocsort
0,1,0,0.07142857142857142,14,0.0,com3d_reciprocal_guard,all_sequences,larger_ge_96sq,ocsort
321,190,0,0.2544820717131474,2008,0.6281800391389433,com3d_reciprocal_guard,all_sequences,small_32sq_to_96sq,ocsort
1340,708,0,0.4330725311905265,4729,0.654296875,com3d_reciprocal_guard,all_sequences,tiny_lt_32sq,ocsort
339,311,0,0.3237051792828685,2008,0.5215384615384615,geometry_greedy,all_sequences,small_32sq_to_96sq,ocsort
1463,1369,0,0.5988581095369,4729,0.5165960451977402,geometry_greedy,all_sequences,tiny_lt_32sq,ocsort
305,246,0,0.274402390438247,2008,0.5535390199637024,geometry_reciprocal_guard,all_sequences,small_32sq_to_96sq,ocsort
1249,785,0,0.4301120744343413,4729,0.6140609636184857,geometry_reciprocal_guard,all_sequences,tiny_lt_32sq,ocsort
0,1,0,0.07142857142857142,14,0.0,geometry_reid_greedy_guard,all_sequences,larger_ge_96sq,ocsort
409,192,0,0.2993027888446215,2008,0.6805324459234608,geometry_reid_greedy_guard,all_sequences,small_32sq_to_96sq,ocsort
2132,690,0,0.5967434975681962,4729,0.7554925584691708,geometry_reid_greedy_guard,all_sequences,tiny_lt_32sq,ocsort
0,1,0,0.07142857142857142,14,0.0,geometry_reid_hungarian,all_sequences,larger_ge_96sq,ocsort
384,183,0,0.2823705179282869,2008,0.6772486772486772,geometry_reid_hungarian,all_sequences,small_32sq_to_96sq,ocsort
