adapter_input_detections,class_name,dataset,descriptor_eligible_output_boxes_iou_ge_0_9,descriptor_eligible_track_ids,duplicate_frame_identity_count,evaluated_gt_boxes,evaluated_prediction_boxes,family,frames_with_gt,released_frames,saved_output,saved_output_sha256,score_gate_admitted_detections,sequence,tracker,tracker_output_boxes,tracker_output_track_ids,tracker_runtime_seconds,valid_gt_boxes,zero_gt_frames
3223,car,MMOT,499,128,0,3223,2647,data28,186,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/car/bytetrack.jsonl.gz,ca9a8958f383345d11bdbe7ebe4bda3dfdbe5d9f503cc09fcabc5f4de05df3a5,3223,data28-1,bytetrack,2647,183,0.7702688677236438,3223,0
3223,car,MMOT,1290,192,0,3223,1290,data28,186,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/car/ocsort.jsonl.gz,70b0428db609ab3abd785e95ab61991d87304a4ce1720c7e3ddd963cc2806e45,3223,data28-1,ocsort,1290,192,2.034306760877371,3223,0
18,bike,MMOT,0,0,0,18,0,data28,18,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/bike/bytetrack.jsonl.gz,39622c231dfe37a4672b6f11739e589debfb76475ca67d1a3173de06d28829c2,18,data28-1,bytetrack,0,0,0.016308563761413097,18,168
18,bike,MMOT,0,0,0,18,0,data28,18,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/bike/ocsort.jsonl.gz,b5c5f22e915619a188b771a7c0c0bb40e279bd0f7f2346c9b33a3dce70b4ea23,18,data28-1,ocsort,0,0,0.026960870251059532,18,168
381,pedestrian,MMOT,5,4,0,381,66,data28,148,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/pedestrian/bytetrack.jsonl.gz,e85cfd88cf3461bcc5e12da6d8e5906538f283103d0d47d35641d9b8497792bb,381,data28-1,bytetrack,66,38,0.17062584683299065,381,38
381,pedestrian,MMOT,2,2,0,381,2,data28,148,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/pedestrian/ocsort.jsonl.gz,512282ba39dd7cc323b7e290b09c6e3f2d55633f20a702eb979ebad348d9d8a1,381,data28-1,ocsort,2,2,0.46285081934183836,381,38
118,van,MMOT,17,5,0,118,78,data28,118,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/van/bytetrack.jsonl.gz,bb8ffacaa21488e235ac4db90fbb280a09f6d7301011fac41cab4fb5c75d816d,118,data28-1,bytetrack,78,9,0.06443977914750576,118,68
118,van,MMOT,40,5,0,118,40,data28,118,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/van/ocsort.jsonl.gz,a22502d5814f1fcaf50d1c1cc04dfb1a247e80d0d9f97985c61ea6e8035ea6ba,118,data28-1,ocsort,40,5,0.1048274403437972,118,68
84,truck,MMOT,3,2,0,84,35,data28,72,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/truck/bytetrack.jsonl.gz,00474c9510a5034bf736e7fe25662573c202ca43835024ecb3a27c04d694b4a0,84,data28-1,bytetrack,35,9,0.046803563833236694,84,114
84,truck,MMOT,26,5,0,84,26,data28,72,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/truck/ocsort.jsonl.gz,bbb3c514c89729dae6182b6b8f0431a22b08ffae9d9a600c08613795f4ba6bb9,84,data28-1,ocsort,26,5,0.0806521624326706,84,114
3,bus,MMOT,0,0,0,3,0,data28,3,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/bus/bytetrack.jsonl.gz,6d7fdb98c36bc9fc36bf60119a1142b4ea7f25ff5e57e00806899cd3b3687baa,3,data28-1,bytetrack,0,0,0.021014767698943615,3,183
3,bus,MMOT,0,0,0,3,0,data28,3,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/bus/ocsort.jsonl.gz,e609ce998b079d4740f1308e49879f8a756dedd457643c4bf44aab3cd08c204f,3,data28-1,ocsort,0,0,0.02053885906934738,3,183
36,tricycle,MMOT,0,0,0,36,1,data28,36,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/tricycle/bytetrack.jsonl.gz,77a66a8dc22af252a69305d97295864577c1375ae9217f91eb35736ced47c403,36,data28-1,bytetrack,1,1,0.014774181880056858,36,150
36,tricycle,MMOT,0,0,0,36,0,data28,36,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/tricycle/ocsort.jsonl.gz,e609ce998b079d4740f1308e49879f8a756dedd457643c4bf44aab3cd08c204f,36,data28-1,ocsort,0,0,0.040869991295039654,36,150
103,awning-bike,MMOT,1,1,0,103,18,data28,80,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/awning-bike/bytetrack.jsonl.gz,76b52955d5d44eafa73e4fe3271010e23e46a4a9088c0c9cd784ec0ad401c7d5,103,data28-1,bytetrack,18,12,0.059021735563874245,103,106
103,awning-bike,MMOT,1,1,0,103,1,data28,80,186,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-1/awning-bike/ocsort.jsonl.gz,86ac645f1d2e6771a237691af77d8a14d8c4de4fffd30bfcaa623d51d619c6c6,103,data28-1,ocsort,1,1,0.11816393304616213,103,106
807,car,MMOT,107,38,0,807,707,data28,51,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/car/bytetrack.jsonl.gz,10b100720870935a13275ccc93e9f3b1a3057a898d3779cad807621d0cacac02,807,data28-2,bytetrack,707,38,0.12623894307762384,807,0
807,car,MMOT,564,64,0,807,564,data28,51,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/car/ocsort.jsonl.gz,0f5196682245c8f9a30a0e468a08f12391cfc479242acf8eeda249b3c3ba7c96,807,data28-2,ocsort,564,64,0.2182213319465518,807,0
24,bike,MMOT,0,0,0,24,0,data28,24,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/bike/bytetrack.jsonl.gz,e57fdb5661da629eca801ccad3d7c14052de9ffbd751e507abf1cb61f2f5dade,24,data28-2,bytetrack,0,0,0.012315308675169945,24,27
24,bike,MMOT,0,0,0,24,0,data28,24,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/bike/ocsort.jsonl.gz,6139daa46551d4b79d9e1d3e920687fbba73cce5792c8c05830eb6d8378ea484,24,data28-2,ocsort,0,0,0.024854647926986217,24,27
23,pedestrian,MMOT,0,0,0,23,0,data28,23,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/pedestrian/bytetrack.jsonl.gz,e57fdb5661da629eca801ccad3d7c14052de9ffbd751e507abf1cb61f2f5dade,23,data28-2,bytetrack,0,0,0.011647666804492474,23,28
23,pedestrian,MMOT,0,0,0,23,0,data28,23,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/pedestrian/ocsort.jsonl.gz,6139daa46551d4b79d9e1d3e920687fbba73cce5792c8c05830eb6d8378ea484,23,data28-2,ocsort,0,0,0.02340488415211439,23,28
54,truck,MMOT,6,1,0,54,30,data28,37,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/truck/bytetrack.jsonl.gz,0197239e0b0ef57bbaea91661ffba0d0898b568ba249e3d6e12ac3ba2adb286a,54,data28-2,bytetrack,30,2,0.022946590557694435,54,14
54,truck,MMOT,30,1,0,54,30,data28,37,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/truck/ocsort.jsonl.gz,d62975b0bdd20e09b0388ca657fa421ab5835714876463c13c81b6854d2a28af,54,data28-2,ocsort,30,1,0.028410064056515694,54,14
49,tricycle,MMOT,1,1,0,49,7,data28,49,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/tricycle/bytetrack.jsonl.gz,f199255716547afcc063d8b33af81b687d80e603da4b2a2e92ffb3ab7ed72afc,49,data28-2,bytetrack,7,6,0.025624851696193218,49,2
49,tricycle,MMOT,10,5,0,49,10,data28,49,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/tricycle/ocsort.jsonl.gz,c9f6c9b0123cdf0a10ba3ba661a1de624d5e8986d1bf1dca25ce6f7a9d28c9fa,49,data28-2,ocsort,10,5,0.04451976343989372,49,2
11,awning-bike,MMOT,1,1,0,11,2,data28,11,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/awning-bike/bytetrack.jsonl.gz,e46c169b0985343571cce94a46269d9daac9a525e226892ff9dbbb32d37db887,11,data28-2,bytetrack,2,2,0.0070028482005000114,11,40
11,awning-bike,MMOT,3,3,0,11,3,data28,11,51,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-2/awning-bike/ocsort.jsonl.gz,4a0ad2d301962da680917ea243038dce5e91a21afa840952497118819a7fa7db,11,data28-2,ocsort,3,3,0.008514651097357273,11,40
74,car,MMOT,1,1,0,74,2,data28,54,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/car/bytetrack.jsonl.gz,da4ee35cdc9ff215e236c7244a9503bb3d165eefbc92e43a9914829902fe708a,74,data28-3,bytetrack,2,2,0.02971083577722311,74,15
74,car,MMOT,3,3,0,74,3,data28,54,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/car/ocsort.jsonl.gz,aeb79e0b5ec5414760e3979afdf986146840d89f4375f85d2e2a5d4b6b6a7656,74,data28-3,ocsort,3,3,0.0929279150441289,74,15
