accepted_correct,accepted_false,accepted_link_error_rate,accepted_link_precision,accepted_unknown,all_accepted_coverage,eligible_source_tracklets,known_link_coverage,method,parameter,scope,threshold,tracker,valid_output
41,4,0.08888888888888889,0.9111111111111111,211,0.128,2000,0.0225,com3d_reciprocal_guard,appearance_cosine,legacy12,0.05,bytetrack,True
52,19,0.2676056338028169,0.7323943661971831,421,0.246,2000,0.0355,com3d_reciprocal_guard,appearance_cosine,legacy12,0.1,bytetrack,True
57,31,0.3522727272727273,0.6477272727272727,516,0.302,2000,0.044,com3d_reciprocal_guard,appearance_cosine,legacy12,0.15,bytetrack,True
57,42,0.42424242424242425,0.5757575757575758,559,0.329,2000,0.0495,com3d_reciprocal_guard,appearance_cosine,legacy12,0.2,bytetrack,True
58,46,0.4423076923076923,0.5576923076923077,587,0.3455,2000,0.052,com3d_reciprocal_guard,appearance_cosine,legacy12,0.25,bytetrack,True
57,46,0.44660194174757284,0.5533980582524272,585,0.344,2000,0.0515,com3d_reciprocal_guard,appearance_cosine,legacy12,0.3,bytetrack,True
41,4,0.08888888888888889,0.9111111111111111,216,0.1305,2000,0.0225,geometry_reid_hungarian,appearance_cosine,legacy12,0.05,bytetrack,True
55,22,0.2857142857142857,0.7142857142857143,461,0.269,2000,0.0385,geometry_reid_hungarian,appearance_cosine,legacy12,0.1,bytetrack,True
64,34,0.3469387755102041,0.6530612244897959,600,0.349,2000,0.049,geometry_reid_hungarian,appearance_cosine,legacy12,0.15,bytetrack,True
64,53,0.452991452991453,0.5470085470085471,672,0.3945,2000,0.0585,geometry_reid_hungarian,appearance_cosine,legacy12,0.2,bytetrack,True
66,59,0.472,0.528,717,0.421,2000,0.0625,geometry_reid_hungarian,appearance_cosine,legacy12,0.25,bytetrack,True
66,59,0.472,0.528,737,0.431,2000,0.0625,geometry_reid_hungarian,appearance_cosine,legacy12,0.3,bytetrack,True
1,0,0.0,1.0,0,0.0005,2000,0.0005,aflink_official,aflink_cost,legacy12,0.01,bytetrack,True
2,2,0.5,0.5,0,0.002,2000,0.002,aflink_official,aflink_cost,legacy12,0.025,bytetrack,True
2,8,0.8,0.2,0,0.005,2000,0.005,aflink_official,aflink_cost,legacy12,0.05,bytetrack,True
4,16,0.8,0.2,5,0.0125,2000,0.01,aflink_official,aflink_cost,legacy12,0.1,bytetrack,False
5,29,0.8529411764705882,0.14705882352941177,10,0.022,2000,0.017,aflink_official,aflink_cost,legacy12,0.2,bytetrack,False
12,43,0.7818181818181819,0.21818181818181817,27,0.041,2000,0.0275,aflink_official,aflink_cost,legacy12,0.4,bytetrack,False
352,13,0.03561643835616438,0.9643835616438357,0,0.23145212428662015,1577,0.23145212428662015,com3d_reciprocal_guard,appearance_cosine,legacy12,0.05,ocsort,True
514,57,0.09982486865148861,0.9001751313485113,0,0.36207989854153455,1577,0.36207989854153455,com3d_reciprocal_guard,appearance_cosine,legacy12,0.1,ocsort,True
534,106,0.165625,0.834375,0,0.40583386176284086,1577,0.40583386176284086,com3d_reciprocal_guard,appearance_cosine,legacy12,0.15,ocsort,True
525,142,0.2128935532233883,0.7871064467766117,0,0.4229549778059607,1577,0.4229549778059607,com3d_reciprocal_guard,appearance_cosine,legacy12,0.2,ocsort,True
509,178,0.2590975254730713,0.7409024745269287,0,0.43563728598604945,1577,0.43563728598604945,com3d_reciprocal_guard,appearance_cosine,legacy12,0.25,ocsort,True
478,204,0.2991202346041056,0.7008797653958945,0,0.4324667089410273,1577,0.4324667089410273,com3d_reciprocal_guard,appearance_cosine,legacy12,0.3,ocsort,True
361,12,0.032171581769437,0.967828418230563,0,0.23652504755865567,1577,0.23652504755865567,geometry_reid_hungarian,appearance_cosine,legacy12,0.05,ocsort,True
556,48,0.07947019867549669,0.9205298013245033,0,0.38300570703868103,1577,0.38300570703868103,geometry_reid_hungarian,appearance_cosine,legacy12,0.1,ocsort,True
629,80,0.11283497884344147,0.8871650211565585,0,0.4495878249841471,1577,0.4495878249841471,geometry_reid_hungarian,appearance_cosine,legacy12,0.15,ocsort,True
656,110,0.14360313315926893,0.856396866840731,0,0.48573240329740014,1577,0.48573240329740014,geometry_reid_hungarian,appearance_cosine,legacy12,0.2,ocsort,True
667,134,0.16729088639200998,0.83270911360799,0,0.5079264426125555,1577,0.5079264426125555,geometry_reid_hungarian,appearance_cosine,legacy12,0.25,ocsort,True
671,157,0.18961352657004832,0.8103864734299517,0,0.5250475586556753,1577,0.5250475586556753,geometry_reid_hungarian,appearance_cosine,legacy12,0.3,ocsort,True
1,0,0.0,1.0,0,0.0006341154090044388,1577,0.0006341154090044388,aflink_official,aflink_cost,legacy12,0.01,ocsort,True
1,0,0.0,1.0,0,0.0006341154090044388,1577,0.0006341154090044388,aflink_official,aflink_cost,legacy12,0.025,ocsort,True
1,5,0.8333333333333334,0.16666666666666666,0,0.003804692454026633,1577,0.003804692454026633,aflink_official,aflink_cost,legacy12,0.05,ocsort,True
3,8,0.7272727272727273,0.2727272727272727,0,0.006975269499048827,1577,0.006975269499048827,aflink_official,aflink_cost,legacy12,0.1,ocsort,True
11,19,0.6333333333333333,0.36666666666666664,0,0.019023462270133164,1577,0.019023462270133164,aflink_official,aflink_cost,legacy12,0.2,ocsort,False
20,38,0.6551724137931034,0.3448275862068966,0,0.03677869372225745,1577,0.03677869372225745,aflink_official,aflink_cost,legacy12,0.4,ocsort,False
52,4,0.07142857142857142,0.9285714285714286,0,0.09032258064516129,620,0.09032258064516129,com3d_reciprocal_guard,appearance_cosine,legacy12,0.05,deepocsort,True
97,12,0.11009174311926606,0.8899082568807339,0,0.17580645161290323,620,0.17580645161290323,com3d_reciprocal_guard,appearance_cosine,legacy12,0.1,deepocsort,True
117,12,0.09302325581395349,0.9069767441860465,0,0.20806451612903226,620,0.20806451612903226,com3d_reciprocal_guard,appearance_cosine,legacy12,0.15,deepocsort,True
126,15,0.10638297872340426,0.8936170212765957,0,0.22741935483870968,620,0.22741935483870968,com3d_reciprocal_guard,appearance_cosine,legacy12,0.2,deepocsort,True
125,20,0.13793103448275862,0.8620689655172413,0,0.23387096774193547,620,0.23387096774193547,com3d_reciprocal_guard,appearance_cosine,legacy12,0.25,deepocsort,True
121,29,0.19333333333333333,0.8066666666666666,0,0.24193548387096775,620,0.24193548387096775,com3d_reciprocal_guard,appearance_cosine,legacy12,0.3,deepocsort,True
52,4,0.07142857142857142,0.9285714285714286,0,0.09032258064516129,620,0.09032258064516129,geometry_reid_hungarian,appearance_cosine,legacy12,0.05,deepocsort,True
100,12,0.10714285714285714,0.8928571428571429,0,0.18064516129032257,620,0.18064516129032257,geometry_reid_hungarian,appearance_cosine,legacy12,0.1,deepocsort,True
124,13,0.0948905109489051,0.9051094890510949,0,0.22096774193548388,620,0.22096774193548388,geometry_reid_hungarian,appearance_cosine,legacy12,0.15,deepocsort,True
136,15,0.09933774834437085,0.9006622516556292,0,0.2435483870967742,620,0.2435483870967742,geometry_reid_hungarian,appearance_cosine,legacy12,0.2,deepocsort,True
141,18,0.11320754716981132,0.8867924528301887,0,0.2564516129032258,620,0.2564516129032258,geometry_reid_hungarian,appearance_cosine,legacy12,0.25,deepocsort,True
144,23,0.1377245508982036,0.8622754491017964,0,0.2693548387096774,620,0.2693548387096774,geometry_reid_hungarian,appearance_cosine,legacy12,0.3,deepocsort,True
0,0,,,0,0.0,620,0.0,aflink_official,aflink_cost,legacy12,0.01,deepocsort,True
0,1,1.0,0.0,0,0.0016129032258064516,620,0.0016129032258064516,aflink_official,aflink_cost,legacy12,0.025,deepocsort,True
1,3,0.75,0.25,0,0.0064516129032258064,620,0.0064516129032258064,aflink_official,aflink_cost,legacy12,0.05,deepocsort,False
4,4,0.5,0.5,0,0.012903225806451613,620,0.012903225806451613,aflink_official,aflink_cost,legacy12,0.1,deepocsort,False
8,7,0.4666666666666667,0.5333333333333333,0,0.024193548387096774,620,0.024193548387096774,aflink_official,aflink_cost,legacy12,0.2,deepocsort,False
18,13,0.41935483870967744,0.5806451612903226,0,0.05,620,0.05,aflink_official,aflink_cost,legacy12,0.4,deepocsort,False
